date	location	cases
2022-02-10	India	58077
2022-02-11	India	50407
2022-02-12	India	44877
2022-02-13	India	34113
2022-02-14	India	27409
2022-02-15	India	30615
2022-02-16	India	30757
2022-02-17	India	25920
2022-02-18	India	22270
2022-02-19	India	19968
2022-02-20	India	16051
2022-02-21	India	13405
2022-02-22	India	15102
2022-02-23	India	14148
2022-02-24	India	13166
2022-02-25	India	11499
2022-02-26	India	10273
2022-02-27	India	8013
2022-02-28	India	6915
2022-03-01	India	7554
2022-03-02	India	6561
2022-03-03	India	6396
2022-03-04	India	5921
2022-03-05	India	5476
2022-03-06	India	4362
2022-03-07	India	3993
2022-03-08	India	4575
2022-03-09	India	4184
2022-03-10	India	4194
2022-03-11	India	3614
2022-03-12	India	3116
2022-03-13	India	2503
2022-03-14	India	2568
2022-03-15	India	2876
2022-03-16	India	2539
2022-03-17	India	2528
2022-03-18	India	2075
2022-03-19	India	1761
2022-03-20	India	1549
2022-03-21	India	1581
2022-03-22	India	1778
2022-03-23	India	1938
2022-03-24	India	1685
2022-03-25	India	1660
2022-03-26	India	1421
2022-03-27	India	1270
2022-03-28	India	1259
2022-03-29	India	1233
2022-03-30	India	1225
2022-03-31	India	1335
2022-04-01	India	1260
2022-04-02	India	1096
2022-04-03	India	913
2022-04-04	India	795
2022-04-05	India	1086
2022-04-06	India	1033
2022-04-07	India	1109
2022-04-08	India	1150
2022-04-09	India	1054
2022-04-10	India	861
2022-04-11	India	796
2022-04-12	India	1088
2022-04-13	India	1007
2022-04-14	India	949
2022-04-15	India	975
2022-04-16	India	1150
2022-04-17	India	2183
2022-04-18	India	1247
2022-04-19	India	2067
2022-04-20	India	2380
2022-04-21	India	2451
2022-04-22	India	2527
2022-04-23	India	2593
2022-04-24	India	2541
2022-04-25	India	11
2022-04-26	India	5399
2022-04-27	India	3303
2022-04-28	India	3377
2022-04-29	India	3688
2022-04-30	India	3324
2022-05-01	India	3157
2022-05-02	India	2568
2022-05-03	India	3205
2022-05-04	India	3275
2022-05-05	India	3545
2022-05-06	India	3805
2022-05-07	India	3451
2022-05-08	India	3207
2022-05-09	India	2288
2022-05-10	India	2897
2022-05-11	India	2827
2022-05-12	India	2841
2022-05-13	India	2858
2022-05-14	India	2487
2022-05-15	India	2202
2022-05-16	India	1569
2022-05-17	India	1829
2022-05-18	India	2364
2022-05-19	India	2259
2022-05-20	India	2323
2022-05-21	India	2226
2022-05-22	India	2022
2022-05-23	India	1675
2022-05-24	India	2124
2022-05-25	India	2628
2022-05-26	India	2710
2022-05-27	India	2685
2022-05-28	India	2828
2022-05-29	India	2706
2022-05-30	India	2338
2022-05-31	India	2745
2022-06-01	India	3712
2022-06-02	India	4041
2022-06-03	India	3962
2022-06-04	India	4270
2022-06-05	India	4518
2022-06-06	India	3714
2022-06-07	India	5233
2022-06-08	India	7240
2022-06-09	India	7584
2022-06-10	India	8329
2022-06-11	India	8582
2022-06-12	India	8084
2022-06-13	India	6594
2022-06-14	India	8822
2022-06-15	India	12213
2022-06-16	India	12847
2022-06-17	India	13216
2022-06-18	India	12899
2022-06-19	India	12781
2022-06-20	India	9923
2022-06-21	India	12249
2022-06-22	India	13313
2022-06-23	India	17336
2022-06-24	India	15940
2022-06-25	India	11739
2022-06-26	India	17073
2022-06-27	India	11793
2022-06-28	India	14506
2022-06-29	India	18819
2022-06-30	India	17070
2022-07-01	India	17092
2022-07-02	India	16103
2022-07-03	India	16135
2022-07-04	India	13086
2022-07-05	India	16159
2022-07-06	India	18930
2022-07-07	India	18815
2022-07-08	India	18840
2022-07-09	India	18257
