date	location	variant	sequences
2021-12-03	Australia	other	1
2021-12-21	Australia	other	1
2021-12-23	Australia	other	1
2021-12-24	Australia	other	1
2021-12-25	Australia	other	2
2021-12-29	Australia	other	1
2022-01-01	Australia	other	1
2021-11-15	Australia	Delta	133
2021-11-16	Australia	Delta	127
2021-11-17	Australia	Delta	168
2021-11-18	Australia	Delta	143
2021-11-19	Australia	Delta	144
2021-11-20	Australia	Delta	111
2021-11-21	Australia	Delta	136
2021-11-22	Australia	Delta	205
2021-11-23	Australia	Delta	244
2021-11-24	Australia	Delta	193
2021-11-25	Australia	Delta	189
2021-11-26	Australia	Delta	133
2021-11-27	Australia	Delta	76
2021-11-28	Australia	Delta	112
2021-11-29	Australia	Delta	227
2021-11-30	Australia	Delta	178
2021-12-01	Australia	Delta	238
2021-12-02	Australia	Delta	200
2021-12-03	Australia	Delta	220
2021-12-04	Australia	Delta	213
2021-12-05	Australia	Delta	197
2021-12-06	Australia	Delta	349
2021-12-07	Australia	Delta	227
2021-12-08	Australia	Delta	223
2021-12-09	Australia	Delta	318
2021-12-10	Australia	Delta	252
2021-12-11	Australia	Delta	197
2021-12-12	Australia	Delta	237
2021-12-13	Australia	Delta	194
2021-12-14	Australia	Delta	222
2021-12-15	Australia	Delta	189
2021-12-16	Australia	Delta	193
2021-12-17	Australia	Delta	141
2021-12-18	Australia	Delta	119
2021-12-19	Australia	Delta	138
2021-12-20	Australia	Delta	161
2021-12-21	Australia	Delta	258
2021-12-22	Australia	Delta	200
2021-12-23	Australia	Delta	185
2021-12-24	Australia	Delta	124
2021-12-25	Australia	Delta	112
2021-12-26	Australia	Delta	73
2021-12-27	Australia	Delta	69
2021-12-28	Australia	Delta	78
2021-12-29	Australia	Delta	43
2021-12-30	Australia	Delta	49
2021-12-31	Australia	Delta	27
2022-01-01	Australia	Delta	32
2022-01-02	Australia	Delta	32
2022-01-03	Australia	Delta	31
2022-01-04	Australia	Delta	32
2022-01-05	Australia	Delta	20
2022-01-06	Australia	Delta	13
2022-01-07	Australia	Delta	16
2022-01-08	Australia	Delta	16
2022-01-09	Australia	Delta	24
2022-01-10	Australia	Delta	16
2022-01-11	Australia	Delta	25
2022-01-12	Australia	Delta	10
2022-01-13	Australia	Delta	12
2022-01-14	Australia	Delta	11
2022-01-15	Australia	Delta	9
2022-01-16	Australia	Delta	3
2022-01-17	Australia	Delta	10
2022-01-18	Australia	Delta	4
2022-01-19	Australia	Delta	6
2022-01-20	Australia	Delta	5
2022-01-21	Australia	Delta	5
2022-01-22	Australia	Delta	1
2022-01-23	Australia	Delta	1
2022-01-24	Australia	Delta	2
2022-01-25	Australia	Delta	1
2022-01-26	Australia	Delta	4
2022-01-27	Australia	Delta	1
2022-01-28	Australia	Delta	1
2022-01-30	Australia	Delta	2
2022-01-31	Australia	Delta	1
2022-02-01	Australia	Delta	1
2022-02-02	Australia	Delta	1
2022-02-05	Australia	Delta	1
2022-02-13	Australia	Delta	1
2022-02-15	Australia	Delta	1
2022-03-07	Australia	Delta	1
2021-11-26	Australia	Omicron	2
2021-11-27	Australia	Omicron	3
2021-11-28	Australia	Omicron	4
2021-11-30	Australia	Omicron	2
2021-12-01	Australia	Omicron	5
2021-12-02	Australia	Omicron	9
2021-12-03	Australia	Omicron	9
2021-12-04	Australia	Omicron	8
2021-12-05	Australia	Omicron	11
2021-12-06	Australia	Omicron	12
2021-12-07	Australia	Omicron	16
2021-12-08	Australia	Omicron	25
2021-12-09	Australia	Omicron	30
2021-12-10	Australia	Omicron	41
2021-12-11	Australia	Omicron	47
2021-12-12	Australia	Omicron	201
2021-12-13	Australia	Omicron	96
2021-12-14	Australia	Omicron	214
2021-12-15	Australia	Omicron	169
2021-12-16	Australia	Omicron	154
2021-12-17	Australia	Omicron	128
2021-12-18	Australia	Omicron	198
2021-12-19	Australia	Omicron	143
2021-12-20	Australia	Omicron	155
2021-12-21	Australia	Omicron	403
2021-12-22	Australia	Omicron	521
2021-12-23	Australia	Omicron	506
2021-12-24	Australia	Omicron	416
2021-12-25	Australia	Omicron	424
2021-12-26	Australia	Omicron	508
2021-12-27	Australia	Omicron	350
2021-12-28	Australia	Omicron	496
2021-12-29	Australia	Omicron	489
2021-12-30	Australia	Omicron	559
2021-12-31	Australia	Omicron	342
2022-01-01	Australia	Omicron	362
2022-01-02	Australia	Omicron	345
2022-01-03	Australia	Omicron	611
2022-01-04	Australia	Omicron	988
2022-01-05	Australia	Omicron	422
2022-01-06	Australia	Omicron	446
2022-01-07	Australia	Omicron	371
2022-01-08	Australia	Omicron	297
2022-01-09	Australia	Omicron	427
2022-01-10	Australia	Omicron	348
2022-01-11	Australia	Omicron	602
2022-01-12	Australia	Omicron	422
2022-01-13	Australia	Omicron	341
2022-01-14	Australia	Omicron	305
2022-01-15	Australia	Omicron	403
2022-01-16	Australia	Omicron	259
