date	location	variant	sequences
2021-10-01	Australia	other	1
2021-12-01	Australia	other	1
2021-12-03	Australia	other	1
2021-10-01	Australia	other	1
2021-12-01	Australia	other	1
2021-12-03	Australia	other	1
2021-10-01	Australia	Delta	162
2021-10-02	Australia	Delta	129
2021-10-03	Australia	Delta	255
2021-10-04	Australia	Delta	128
2021-10-05	Australia	Delta	126
2021-10-06	Australia	Delta	284
2021-10-07	Australia	Delta	145
2021-10-08	Australia	Delta	175
2021-10-09	Australia	Delta	86
2021-10-10	Australia	Delta	212
2021-10-11	Australia	Delta	209
2021-10-12	Australia	Delta	213
2021-10-13	Australia	Delta	216
2021-10-14	Australia	Delta	167
2021-10-15	Australia	Delta	139
2021-10-16	Australia	Delta	103
2021-10-17	Australia	Delta	119
2021-10-18	Australia	Delta	153
2021-10-19	Australia	Delta	180
2021-10-20	Australia	Delta	171
2021-10-21	Australia	Delta	196
2021-10-22	Australia	Delta	89
2021-10-23	Australia	Delta	54
2021-10-24	Australia	Delta	116
2021-10-25	Australia	Delta	154
2021-10-26	Australia	Delta	138
2021-10-27	Australia	Delta	109
2021-10-28	Australia	Delta	82
2021-10-29	Australia	Delta	77
2021-10-30	Australia	Delta	58
2021-10-31	Australia	Delta	76
2021-11-01	Australia	Delta	113
2021-11-02	Australia	Delta	131
2021-11-03	Australia	Delta	138
2021-11-04	Australia	Delta	136
2021-11-05	Australia	Delta	99
2021-11-06	Australia	Delta	72
2021-11-07	Australia	Delta	107
2021-11-08	Australia	Delta	137
2021-11-09	Australia	Delta	119
2021-11-10	Australia	Delta	130
2021-11-11	Australia	Delta	110
2021-11-12	Australia	Delta	163
2021-11-13	Australia	Delta	96
2021-11-14	Australia	Delta	107
2021-11-15	Australia	Delta	87
2021-11-16	Australia	Delta	74
2021-11-17	Australia	Delta	83
2021-11-18	Australia	Delta	57
2021-11-19	Australia	Delta	78
2021-11-20	Australia	Delta	49
2021-11-21	Australia	Delta	131
2021-11-22	Australia	Delta	199
2021-11-23	Australia	Delta	228
2021-11-24	Australia	Delta	182
2021-11-25	Australia	Delta	172
2021-11-26	Australia	Delta	119
2021-11-27	Australia	Delta	67
2021-11-28	Australia	Delta	103
2021-11-29	Australia	Delta	217
2021-11-30	Australia	Delta	162
2021-12-01	Australia	Delta	183
2021-12-02	Australia	Delta	167
2021-12-03	Australia	Delta	195
2021-12-04	Australia	Delta	175
2021-12-05	Australia	Delta	182
2021-12-06	Australia	Delta	302
2021-12-07	Australia	Delta	196
2021-12-08	Australia	Delta	150
2021-12-09	Australia	Delta	200
2021-11-26	Australia	Omicron	1
2021-11-27	Australia	Omicron	3
2021-11-28	Australia	Omicron	4
2021-11-30	Australia	Omicron	2
2021-12-01	Australia	Omicron	4
2021-12-02	Australia	Omicron	5
2021-12-03	Australia	Omicron	9
2021-12-04	Australia	Omicron	7
2021-12-05	Australia	Omicron	9
2021-12-06	Australia	Omicron	10
2021-12-07	Australia	Omicron	13
2021-12-08	Australia	Omicron	15
2021-12-09	Australia	Omicron	28
2021-10-01	Belgium	other	1
2021-10-11	Belgium	other	1
2021-10-17	Belgium	other	1
2021-10-18	Belgium	other	1
2021-10-20	Belgium	other	3
2021-10-29	Belgium	other	1
2021-11-09	Belgium	other	1
2021-11-17	Belgium	other	1
2021-11-28	Belgium	other	1
2021-10-01	Belgium	other	1
2021-10-11	Belgium	other	1
2021-10-17	Belgium	other	1
2021-10-18	Belgium	other	1
2021-10-20	Belgium	other	3
2021-10-29	Belgium	other	1
2021-11-09	Belgium	other	1
2021-11-17	Belgium	other	1
2021-11-28	Belgium	other	1
2021-10-01	Belgium	Delta	188
2021-10-02	Belgium	Delta	123
2021-10-03	Belgium	Delta	97
2021-10-04	Belgium	Delta	262
2021-10-05	Belgium	Delta	215
2021-10-06	Belgium	Delta	190
2021-10-07	Belgium	Delta	267
2021-10-08	Belgium	Delta	279
2021-10-09	Belgium	Delta	134
2021-10-10	Belgium	Delta	105
2021-10-11	Belgium	Delta	366
2021-10-12	Belgium	Delta	199
2021-10-13	Belgium	Delta	305
2021-10-14	Belgium	Delta	192
2021-10-15	Belgium	Delta	190
