date	location	cases
2022-07-02	USA	20340
2022-07-03	USA	8444
2022-07-04	USA	76282
2022-07-05	USA	141902
2022-07-06	USA	200734
2022-07-07	USA	138834
2022-07-08	USA	137725
2022-07-09	USA	28983
2022-07-10	USA	24526
2022-07-11	USA	201282
2022-07-12	USA	148234
2022-07-13	USA	204669
2022-07-14	USA	175157
2022-07-15	USA	153177
2022-07-16	USA	39189
2022-07-17	USA	29597
2022-07-18	USA	165267
2022-07-19	USA	117279
2022-07-20	USA	216743
2022-07-21	USA	175441
2022-07-22	USA	131387
2022-07-23	USA	26328
2022-07-24	USA	23247
2022-07-25	USA	189954
2022-07-26	USA	132211
2022-07-27	USA	240124
2022-07-28	USA	177046
2022-07-29	USA	159236
2022-07-30	USA	16015
2022-07-31	USA	12997
2022-08-01	USA	170166
2022-08-02	USA	90973
2022-08-03	USA	200706
2022-08-04	USA	187118
2022-08-05	USA	106026
2022-08-06	USA	14980
2022-08-07	USA	12601
2022-08-08	USA	155667
2022-08-09	USA	99808
2022-08-10	USA	196519
2022-08-11	USA	162711
2022-08-12	USA	96732
2022-08-13	USA	83669
2022-08-14	USA	9742
2022-08-15	USA	123143
2022-08-16	USA	91878
2022-08-17	USA	137020
2022-08-18	USA	149002
2022-08-19	USA	77636
2022-08-20	USA	11054
2022-08-21	USA	9786
2022-08-22	USA	129194
2022-08-23	USA	99340
2022-08-24	USA	151870
2022-08-25	USA	139527
2022-08-26	USA	120680
2022-08-27	USA	11758
2022-08-28	USA	8430
2022-08-29	USA	106215
2022-08-30	USA	75768
2022-08-31	USA	154514
2022-09-01	USA	130617
2022-09-02	USA	64681
2022-09-03	USA	11387
2022-09-04	USA	7420
2022-09-05	USA	33596
2022-09-06	USA	112692
2022-09-07	USA	124040
2022-09-08	USA	107121
2022-09-09	USA	100812
2022-09-10	USA	10117
2022-09-11	USA	8985
2022-09-12	USA	69523
2022-09-13	USA	79724
2022-09-14	USA	103659
2022-09-15	USA	83363
2022-09-16	USA	56241
2022-09-17	USA	8534
2022-09-18	USA	5459
2022-09-19	USA	55797
2022-09-20	USA	69291
2022-09-21	USA	98437
2022-09-22	USA	80990
2022-09-23	USA	83297
2022-09-24	USA	9723
2022-09-25	USA	6708
2022-09-26	USA	45594
2022-09-27	USA	61012
2022-09-28	USA	86837
2022-09-29	USA	84368
2022-09-30	USA	33399
2022-10-01	USA	7894
2022-10-02	USA	5755
2022-10-03	USA	41284
2022-10-04	USA	55195
2022-10-05	USA	71252
2022-10-06	USA	60741
2022-10-07	USA	58200
2022-10-08	USA	7706
2022-10-09	USA	5510
2022-10-10	USA	22907
2022-10-11	USA	60675
2022-10-12	USA	64593
2022-10-13	USA	63335
2022-10-14	USA	26886
2022-10-15	USA	5964
2022-10-16	USA	6652
2022-10-17	USA	38731
2022-10-18	USA	43446
2022-10-19	USA	61292
2022-10-20	USA	57101
2022-10-21	USA	45913
2022-10-22	USA	5356
2022-10-23	USA	8154
2022-10-24	USA	37832
2022-10-25	USA	42113
2022-10-26	USA	70042
2022-10-27	USA	56808
2022-10-28	USA	28229
2022-10-29	USA	8632
