date	location	variant	sequences
2021-11-12	King County	probable Omicron	0
2021-11-12	King County	probable Delta	1
2021-11-13	King County	probable Omicron	0
2021-11-13	King County	probable Delta	1
2021-11-14	King County	probable Omicron	0
2021-11-14	King County	probable Delta	1
2021-11-15	King County	probable Omicron	0
2021-11-15	King County	probable Delta	7
2021-11-16	King County	probable Omicron	0
2021-11-16	King County	probable Delta	29
2021-11-17	King County	probable Omicron	0
2021-11-17	King County	probable Delta	4
2021-11-18	King County	probable Omicron	0
2021-11-18	King County	probable Delta	38
2021-11-19	King County	probable Omicron	0
2021-11-19	King County	probable Delta	54
2021-11-20	King County	probable Omicron	0
2021-11-20	King County	probable Delta	29
2021-11-21	King County	probable Omicron	0
2021-11-21	King County	probable Delta	6
2021-11-22	King County	probable Omicron	0
2021-11-22	King County	probable Delta	1
2021-11-23	King County	probable Omicron	0
2021-11-23	King County	probable Delta	18
2021-11-24	King County	probable Omicron	0
2021-11-24	King County	probable Delta	102
2021-11-25	King County	probable Omicron	0
2021-11-25	King County	probable Delta	7
2021-11-26	King County	probable Omicron	0
2021-11-26	King County	probable Delta	127
2021-11-27	King County	probable Omicron	0
2021-11-27	King County	probable Delta	168
2021-11-28	King County	probable Omicron	0
2021-11-28	King County	probable Delta	47
2021-11-29	King County	probable Omicron	2
2021-11-29	King County	probable Delta	278
2021-11-30	King County	probable Omicron	1
2021-11-30	King County	probable Delta	172
2021-12-01	King County	probable Omicron	1
2021-12-01	King County	probable Delta	130
2021-12-02	King County	probable Omicron	0
2021-12-02	King County	probable Delta	170
2021-12-03	King County	probable Omicron	0
2021-12-03	King County	probable Delta	161
2021-12-04	King County	probable Omicron	0
2021-12-04	King County	probable Delta	82
2021-12-05	King County	probable Omicron	0
2021-12-05	King County	probable Delta	45
2021-12-06	King County	probable Omicron	9
2021-12-06	King County	probable Delta	216
2021-12-07	King County	probable Omicron	16
2021-12-07	King County	probable Delta	134
2021-12-08	King County	probable Omicron	22
2021-12-08	King County	probable Delta	170
2021-12-09	King County	probable Omicron	23
2021-12-09	King County	probable Delta	136
2021-12-10	King County	probable Omicron	56
2021-12-10	King County	probable Delta	152
2021-12-11	King County	probable Omicron	33
2021-12-11	King County	probable Delta	136
2021-12-12	King County	probable Omicron	15
2021-12-12	King County	probable Delta	21
2021-12-13	King County	probable Omicron	117
2021-12-13	King County	probable Delta	159
2021-12-14	King County	probable Omicron	148
2021-12-14	King County	probable Delta	113
2021-12-15	King County	probable Omicron	159
2021-12-15	King County	probable Delta	80
2021-12-16	King County	probable Omicron	187
2021-12-16	King County	probable Delta	80
2021-12-17	King County	probable Omicron	240
2021-12-17	King County	probable Delta	79
2021-12-18	King County	probable Omicron	246
2021-12-18	King County	probable Delta	65
2021-12-19	King County	probable Omicron	138
2021-12-19	King County	probable Delta	33
2021-12-20	King County	probable Omicron	555
2021-12-20	King County	probable Delta	83
2021-12-21	King County	probable Omicron	224
2021-12-21	King County	probable Delta	17
2021-12-22	King County	probable Omicron	30
2021-12-22	King County	probable Delta	2
2021-12-23	King County	probable Omicron	226
2021-12-23	King County	probable Delta	29
2021-12-24	King County	probable Omicron	297
2021-12-24	King County	probable Delta	36
2021-12-26	King County	probable Omicron	1
2021-12-26	King County	probable Delta	0
2021-12-27	King County	probable Omicron	51
2021-12-27	King County	probable Delta	4
2021-12-28	King County	probable Omicron	2
2021-12-28	King County	probable Delta	0
2021-12-29	King County	probable Omicron	110
2021-12-29	King County	probable Delta	10
2021-12-30	King County	probable Omicron	86
2021-12-30	King County	probable Delta	2
2021-12-31	King County	probable Omicron	244
2021-12-31	King County	probable Delta	38
2022-01-01	King County	probable Omicron	52
2022-01-01	King County	probable Delta	13
2022-01-02	King County	probable Omicron	115
2022-01-02	King County	probable Delta	25
2022-01-03	King County	probable Omicron	15
2022-01-03	King County	probable Delta	5
2022-01-04	King County	probable Omicron	273
2022-01-04	King County	probable Delta	10
2022-01-05	King County	probable Omicron	147
2022-01-05	King County	probable Delta	2
2022-01-06	King County	probable Omicron	77
2022-01-06	King County	probable Delta	2
2022-01-07	King County	probable Omicron	138
2022-01-07	King County	probable Delta	0
2022-01-08	King County	probable Omicron	214
2022-01-08	King County	probable Delta	9
2022-01-09	King County	probable Omicron	13
2022-01-09	King County	probable Delta	0
2022-01-10	King County	probable Omicron	101
2022-01-10	King County	probable Delta	1
2022-01-18	King County	probable Omicron	1
2022-01-18	King County	probable Delta	0
2022-01-19	King County	probable Omicron	1
2022-01-19	King County	probable Delta	0
2022-01-20	King County	probable Omicron	113
2022-01-20	King County	probable Delta	3
2022-01-21	King County	probable Omicron	136
2022-01-21	King County	probable Delta	9
2022-01-22	King County	probable Omicron	126
2022-01-22	King County	probable Delta	6
2022-01-23	King County	probable Omicron	30
2022-01-23	King County	probable Delta	5
2022-01-24	King County	probable Omicron	43
2022-01-24	King County	probable Delta	2
2022-01-25	King County	probable Omicron	157
2022-01-25	King County	probable Delta	19
2022-01-26	King County	probable Omicron	26
2022-01-26	King County	probable Delta	1
2022-01-27	King County	probable Omicron	39
2022-01-27	King County	probable Delta	3
2022-01-28	King County	probable Omicron	17
2022-01-28	King County	probable Delta	1
2022-01-29	King County	probable Omicron	18
2022-01-29	King County	probable Delta	0
