date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-07-21	India	Delta	1.0653636	22.056356	0.06130299	7.3827615	0.17599185	3.006659	0.41335836	4.9239123e-05
2022-07-22	India	Delta	0.98792934	22.810835	0.05127032	7.3973627	0.15354845	2.859101	0.37277287	4.418558e-05
2022-07-23	India	Delta	0.9268838	23.522243	0.043346383	7.3996043	0.13679858	2.7725935	0.33372584	3.9535582e-05
2022-07-24	India	Delta	0.8587918	24.161623	0.036957383	7.496919	0.11972431	2.6485457	0.30358863	3.531488e-05
2022-07-25	India	Delta	0.8003775	25.053835	0.031061409	7.4775076	0.105239846	2.549981	0.27369288	3.1463722e-05
2022-07-26	India	Delta	0.74702084	26.2134	0.026000569	7.350674	0.09106407	2.4750066	0.2444777	2.8412629e-05
2022-07-27	India	Delta	0.6957588	27.140665	0.021404754	7.3984594	0.07868694	2.386132	0.21720505	2.5283145e-05
2022-07-21	India	Omicron 21K	0.050827503	4.6211014	0.0006107973	1.0308281	0.0028459297	0.22812879	0.011292369	2.3387602e-06
2022-07-22	India	Omicron 21K	0.04532177	4.4790444	0.0005159494	0.9791497	0.0023648832	0.20946142	0.009456621	2.0037683e-06
2022-07-23	India	Omicron 21K	0.039506268	4.515111	0.0003826238	0.9815636	0.0019122526	0.19179823	0.0079008015	1.7206019e-06
2022-07-24	India	Omicron 21K	0.033976357	4.673979	0.00028734189	0.9412771	0.0015585802	0.17321923	0.00666564	1.4517323e-06
2022-07-25	India	Omicron 21K	0.030210102	4.7271876	0.00022027564	0.90366375	0.0012397281	0.16062881	0.005502099	1.2160731e-06
2022-07-26	India	Omicron 21K	0.026407761	5.008855	0.00016964087	0.86781013	0.0009785993	0.14771713	0.0045331726	1.0261326e-06
