date	location	variant	median_R_forecast	R_forecast_upper_95	R_forecast_lower_95	R_forecast_upper_80	R_forecast_lower_80	R_forecast_upper_50	R_forecast_lower_50	median_freq
2022-09-15	Australia	Omicron 21K	0.34063774	0.40768462	0.28239968	0.38432267	0.30098608	0.3635802	0.31853586	7.4471057e-10
2022-09-16	Australia	Omicron 21K	0.34063774	0.40768462	0.28239968	0.38432267	0.30098608	0.3635802	0.31853586	6.366849e-10
2022-09-17	Australia	Omicron 21K	0.34063774	0.40768462	0.28239968	0.38432267	0.30098608	0.3635802	0.31853586	5.42105e-10
2022-09-18	Australia	Omicron 21K	0.34063774	0.40768462	0.28239968	0.38432267	0.30098608	0.3635802	0.31853586	4.6282916e-10
2022-09-19	Australia	Omicron 21K	0.34063774	0.40768462	0.28239968	0.38432267	0.30098608	0.3635802	0.31853586	3.945913e-10
2022-09-20	Australia	Omicron 21K	0.34063774	0.40768462	0.28239968	0.38432267	0.30098608	0.3635802	0.31853586	3.3623512e-10
2022-09-21	Australia	Omicron 21K	0.34063774	0.40768462	0.28239968	0.38432267	0.30098608	0.3635802	0.31853586	2.8668912e-10
2022-09-15	Australia	Omicron 21L	0.52554345	0.6271981	0.4408901	0.5898264	0.46926466	0.5600145	0.49453592	0.004714904
2022-09-16	Australia	Omicron 21L	0.52554345	0.6271981	0.4408901	0.5898264	0.46926466	0.5600145	0.49453592	0.004464373
2022-09-17	Australia	Omicron 21L	0.52554345	0.6271981	0.4408901	0.5898264	0.46926466	0.5600145	0.49453592	0.004231984
2022-09-18	Australia	Omicron 21L	0.52554345	0.6271981	0.4408901	0.5898264	0.46926466	0.5600145	0.49453592	0.004006688
2022-09-19	Australia	Omicron 21L	0.52554345	0.6271981	0.4408901	0.5898264	0.46926466	0.5600145	0.49453592	0.0037905453
2022-09-20	Australia	Omicron 21L	0.52554345	0.6271981	0.4408901	0.5898264	0.46926466	0.5600145	0.49453592	0.0035823209
2022-09-21	Australia	Omicron 21L	0.52554345	0.6271981	0.4408901	0.5898264	0.46926466	0.5600145	0.49453592	0.0033843552
2022-09-15	Australia	Omicron 22A	0.5852944	0.69444275	0.4930039	0.6540047	0.5236785	0.62161446	0.55087477	0.036520287
