date	location	variant	median_r_forecast	r_forecast_upper_95	r_forecast_lower_95	r_forecast_upper_80	r_forecast_lower_80	r_forecast_upper_50	r_forecast_lower_50	median_freq
2022-07-18	India	Delta	nan	nan	nan	nan	nan	nan	nan	7.078772e-05
2022-07-19	India	Delta	-0.08116922	0.07138287	-0.22862895	0.020867249	-0.17544858	-0.029317334	-0.1322706	6.42861e-05
2022-07-20	India	Delta	-0.08032513	0.058846176	-0.22379905	0.013711423	-0.17030817	-0.03217631	-0.1291211	5.7928788e-05
2022-07-21	India	Delta	-0.079349995	0.041961838	-0.20332997	0.0020704702	-0.15567419	-0.03692888	-0.120850235	5.1921008e-05
2022-07-22	India	Delta	-0.07885194	0.04283271	-0.19863452	0.0021086626	-0.15282628	-0.03717728	-0.11919786	4.6172776e-05
2022-07-23	India	Delta	-0.07971167	0.0527802	-0.20603064	0.008582874	-0.15875438	-0.035444222	-0.12300031	4.1628038e-05
2022-07-24	India	Delta	-0.07984412	0.057722773	-0.21494523	0.013602234	-0.1655602	-0.03312914	-0.12682208	3.738526e-05
2022-07-18	India	Omicron 21K	nan	nan	nan	nan	nan	nan	nan	3.3924239e-06
2022-07-19	India	Omicron 21K	-0.14731431	0.06882995	-0.33749375	-0.00863459	-0.27463737	-0.072664976	-0.21812649	2.8620743e-06
2022-07-20	India	Omicron 21K	-0.1471132	0.06114795	-0.33850247	-0.010858975	-0.27472305	-0.07449284	-0.21766359	2.4314513e-06
2022-07-21	India	Omicron 21K	-0.14635158	0.05087245	-0.32420278	-0.017965924	-0.26460034	-0.07918014	-0.21120495	2.0516384e-06
2022-07-22	India	Omicron 21K	-0.14665341	0.05477385	-0.32211542	-0.016453866	-0.26391867	-0.078169346	-0.2111783	1.7393205e-06
2022-07-23	India	Omicron 21K	-0.14715588	0.058564734	-0.32805833	-0.013678839	-0.26794732	-0.07629776	-0.21364295	1.435701e-06
2022-07-24	India	Omicron 21K	-0.14704692	0.056991525	-0.3307073	-0.0146274995	-0.26912102	-0.07644492	-0.21427816	1.2145325e-06
2022-07-18	India	Omicron 21L	nan	nan	nan	nan	nan	nan	nan	0.32665646
2022-07-19	India	Omicron 21L	-0.04500246	0.14166638	-0.22672886	0.0762967	-0.16660042	0.014468908	-0.1115849	0.30675936
2022-07-20	India	Omicron 21L	-0.044917107	0.13114557	-0.22572546	0.06984766	-0.16478983	0.012943983	-0.109586954	0.2902067
2022-07-21	India	Omicron 21L	-0.043857098	0.11514374	-0.20578972	0.058765978	-0.1503869	0.00822711	-0.100723505	0.27192542
2022-07-22	India	Omicron 21L	-0.04424715	0.121778294	-0.20544896	0.06267718	-0.15105157	0.009581327	-0.101750016	0.25418615
2022-07-23	India	Omicron 21L	-0.044467926	0.12867384	-0.21310458	0.06681277	-0.15742007	0.011537552	-0.10574281	0.23779052
2022-07-24	India	Omicron 21L	-0.04431629	0.12514822	-0.2146819	0.0651137	-0.15795445	0.011116505	-0.10565758	0.22014314
2022-07-18	India	Omicron 22A	nan	nan	nan	nan	nan	nan	nan	0.002007643
2022-07-19	India	Omicron 22A	-0.07257819	0.10091081	-0.23767868	0.039273277	-0.18074565	-0.013022423	-0.13228303	0.0018362242
2022-07-20	India	Omicron 22A	-0.07202363	0.09266749	-0.23724933	0.035339568	-0.17931958	-0.014185727	-0.13100666	0.001664121
2022-07-21	India	Omicron 22A	-0.070433736	0.07939125	-0.21858123	0.027699707	-0.16841947	-0.018720627	-0.12398231	0.0015077018
2022-07-22	India	Omicron 22A	-0.07051206	0.08427848	-0.21786675	0.029522415	-0.16859554	-0.017515123	-0.124575555	0.0013664484
2022-07-23	India	Omicron 22A	-0.07132971	0.08884886	-0.22561929	0.032491703	-0.17274264	-0.015624523	-0.1274243	0.0012359533
2022-07-24	India	Omicron 22A	-0.07113361	0.086727455	-0.22773774	0.031510495	-0.17331353	-0.01593709	-0.12756985	0.0011131421
2022-07-18	India	Omicron 22B	nan	nan	nan	nan	nan	nan	nan	0.07730778
2022-07-19	India	Omicron 22B	-0.04854417	0.14134623	-0.2269967	0.07563344	-0.16197672	0.014951706	-0.11015487	0.07207908
2022-07-20	India	Omicron 22B	-0.04779768	0.13185969	-0.22599217	0.0701343	-0.16040525	0.01341033	-0.10821509	0.06718589
2022-07-21	India	Omicron 22B	-0.046530724	0.119197845	-0.20685051	0.0628105	-0.14800625	0.00968492	-0.100669384	0.062542126
2022-07-22	India	Omicron 22B	-0.046516657	0.12422777	-0.20623638	0.065968834	-0.14850298	0.011172891	-0.101828694	0.058214113
2022-07-23	India	Omicron 22B	-0.047173023	0.1303253	-0.2143758	0.06864165	-0.1532669	0.012136102	-0.10499489	0.054187313
2022-07-24	India	Omicron 22B	-0.04712653	0.12667224	-0.21566744	0.067703314	-0.15398999	0.01179719	-0.104998946	0.049743123
2022-07-18	India	Omicron 22C	nan	nan	nan	nan	nan	nan	nan	0.00011019808
2022-07-19	India	Omicron 22C	-0.17171091	0.055591147	-0.37048942	-0.029078003	-0.30483222	-0.094920516	-0.24300435	9.123984e-05
2022-07-20	India	Omicron 22C	-0.1715831	0.046138413	-0.37187016	-0.031720486	-0.3051799	-0.0963286	-0.24294326	7.481563e-05
2022-07-21	India	Omicron 22C	-0.17106837	0.03450149	-0.35816434	-0.040322416	-0.29515862	-0.10132004	-0.23574868	6.060928e-05
2022-07-22	India	Omicron 22C	-0.1711591	0.04058076	-0.35562515	-0.037908763	-0.29389843	-0.100474045	-0.23534124	4.9425034e-05
2022-07-23	India	Omicron 22C	-0.1708393	0.04340278	-0.36008802	-0.03513485	-0.2977618	-0.098433435	-0.237811	4.041712e-05
2022-07-24	India	Omicron 22C	-0.17086911	0.041859366	-0.363263	-0.035789765	-0.29937193	-0.09845379	-0.23860288	3.3336277e-05
2022-07-18	India	Omicron BA.2.75	nan	nan	nan	nan	nan	nan	nan	0.563198
2022-07-19	India	Omicron BA.2.75	0.050099373	0.211669	-0.094031	0.15382528	-0.04778986	0.10282922	-0.0017735958	0.584182
2022-07-20	India	Omicron BA.2.75	0.050706863	0.20117846	-0.089424394	0.14822431	-0.04396639	0.100456	0.0005145073	0.6051769
2022-07-21	India	Omicron BA.2.75	0.052018166	0.1854853	-0.07289543	0.13881063	-0.031389616	0.096105576	0.006892681	0.6259117
2022-07-22	India	Omicron BA.2.75	0.05150366	0.194305	-0.0755049	0.14344671	-0.033867262	0.09785581	0.0051834583	0.64424276
2022-07-23	India	Omicron BA.2.75	0.05098009	0.1988269	-0.08227956	0.14654289	-0.03901148	0.099496126	0.0025007725	0.6636265
2022-07-24	India	Omicron BA.2.75	0.05128908	0.19515333	-0.081897296	0.14454402	-0.038144495	0.09885311	0.0031793118	0.68175113
2022-07-18	India	other	nan	nan	nan	nan	nan	nan	nan	0.0004521642
2022-07-19	India	other	-0.073292255	0.057757545	-0.20077562	0.012111493	-0.15629432	-0.025782168	-0.11746818	0.00041297945
2022-07-20	India	other	-0.07195991	0.04655588	-0.19425823	0.004980659	-0.15021124	-0.028944552	-0.11342299	0.00037557742
2022-07-21	India	other	-0.069606185	0.026415994	-0.16935922	-0.005945643	-0.13426581	-0.03571403	-0.10424174	0.00034263462
2022-07-22	India	other	-0.06937307	0.027099382	-0.16496442	-0.005693447	-0.1319713	-0.036031842	-0.10275221	0.0003075085
2022-07-23	India	other	-0.0701257	0.037261464	-0.17434968	-0.00062270794	-0.13872273	-0.03309685	-0.10735202	0.0002751227
2022-07-24	India	other	-0.07144636	0.04443978	-0.1856042	0.003471129	-0.14502819	-0.030547589	-0.11051084	0.0002476284
