date	location	variant	median_I_smooth	I_smooth_upper_95	I_smooth_lower_95	I_smooth_upper_80	I_smooth_lower_80	I_smooth_upper_50	I_smooth_lower_50	median_freq
2022-06-17	Australia	Omicron 21L	22934.695	28949.105	18021.943	26886.283	19488.588	24884.74	21039.568	0.48577765
2022-06-18	Australia	Omicron 21L	24405.336	30817.78	19184.973	28613.525	20748.994	26479.479	22393.586	0.4845298
2022-06-19	Australia	Omicron 21L	22826.648	28558.746	18105.26	26553.414	19569.688	24662.871	21026.885	0.4652889
2022-06-20	Australia	Omicron 21L	20344.625	24994.875	16397.201	23444.406	17683.463	21882.479	18902.2	0.4374966
2022-06-21	Australia	Omicron 21L	19816.02	24184.598	16096.251	22707.662	17319.787	21267.223	18477.473	0.42226174
2022-06-22	Australia	Omicron 21L	19568.504	23759.633	15981.391	22347.412	17136.049	21007.21	18296.678	0.41010517
2022-06-23	Australia	Omicron 21L	18692.61	22592.771	15386.315	21224.479	16465.068	20006.793	17507.828	0.39323765
2022-06-24	Australia	Omicron 21L	17697.016	21186.402	14631.607	20010.152	15675.774	18916.64	16618.518	0.37482095
2022-06-25	Australia	Omicron 21L	16997.469	20327.39	14097.237	19147.143	15105.361	18138.162	16001.938	0.35847208
2022-06-26	Australia	Omicron 21L	16414.809	19517.785	13680.566	18421.467	14619.194	17466.934	15470.561	0.34353352
2022-06-27	Australia	Omicron 21L	15742.308	18657.04	13192.874	17635.484	14048.21	16719.203	14843.979	0.32814205
2022-06-28	Australia	Omicron 21L	15062.617	17814.305	12669.699	16839.287	13463.538	15975.477	14219.557	0.31261075
2022-06-29	Australia	Omicron 21L	14432.696	17065.969	12175.132	16121.446	12935.3545	15300.735	13630.461	0.29768676
2022-06-30	Australia	Omicron 21L	13840.737	16333.733	11718.553	15429.598	12428.934	14683.584	13097.018	0.28342986
2022-07-01	Australia	Omicron 21L	13248.613	15638.112	11233.3955	14799.416	11920.355	14048.285	12558.66	0.26954335
2022-07-02	Australia	Omicron 21L	12682.819	14996.751	10752.972	14166.876	11424.535	13453.331	12017.33	0.25588495
2022-07-03	Australia	Omicron 21L	12147.053	14363.256	10280.622	13545.34	10907.63	12882.674	11501.175	0.2429241
2022-07-04	Australia	Omicron 21L	11613.999	13751.021	9853.255	12977.421	10434.155	12302.727	10999.056	0.23031767
2022-07-05	Australia	Omicron 21L	11100.146	13152.858	9418.952	12429.555	9964.435	11756.18	10505.76	0.21814618
2022-07-06	Australia	Omicron 21L	10608.835	12613.764	8978.211	11858.972	9486.509	11229.527	10021.952	0.20654964
2022-07-07	Australia	Omicron 21L	10128.961	12051.524	8568.215	11334.806	9037.951	10724.109	9547.436	0.19543709
2022-07-08	Australia	Omicron 21L	9654.389	11541.191	8135.6436	10827.11	8598.761	10230.783	9093.936	0.18476927
2022-07-09	Australia	Omicron 21L	9194.422	11017.411	7714.3115	10343.328	8172.524	9750.75	8648.1	0.17472473
2022-07-10	Australia	Omicron 21L	8746.59	10503.193	7328.7954	9846.4795	7773.701	9288.559	8226.484	0.16509637
2022-07-11	Australia	Omicron 21L	8312.537	10015.275	6947.6606	9377.596	7378.4717	8834.862	7814.242	0.15596902
2022-07-12	Australia	Omicron 21L	7891.2905	9541.579	6578.529	8916.489	6983.792	8391.169	7407.9365	0.14730944
2022-07-13	Australia	Omicron 21L	7477.258	9078.414	6234.587	8462.466	6612.331	7970.679	7009.5186	0.13917924
2022-07-14	Australia	Omicron 21L	7073.1035	8613.689	5889.7837	8026.1987	6255.4907	7555.492	6632.875	0.13146049
2022-07-15	Australia	Omicron 21L	6690.174	8169.37	5561.906	7592.17	5907.617	7148.6626	6268.8296	0.12416047
2022-07-16	Australia	Omicron 21L	6320.998	7731.6143	5238.8643	7192.5264	5571.4854	6750.869	5912.0464	0.11730226
2022-07-17	Australia	Omicron 21L	5960.4863	7304.101	4938.4653	6793.152	5251.39	6375.3066	5571.158	0.11079564
2022-07-18	Australia	Omicron 21L	5609.8906	6875.789	4640.937	6404.6543	4940.7827	6010.253	5244.614	0.10474348
2022-07-19	Australia	Omicron 21L	5273.657	6477.1553	4362.5137	6027.952	4651.554	5650.2734	4930.5474	0.09898242
2022-07-20	Australia	Omicron 21L	4955.116	6088.0327	4093.2917	5672.796	4359.8667	5303.611	4633.407	0.093627684
2022-07-21	Australia	Omicron 21L	4647.7134	5711.532	3831.7654	5325.892	4088.5344	4972.6865	4345.0264	0.08865805
2022-07-22	Australia	Omicron 21L	4356.588	5353.7837	3603.2754	4984.856	3834.4192	4657.7075	4072.4907	0.08396447
2022-07-23	Australia	Omicron 21L	4077.5366	5004.4297	3366.42	4661.83	3589.5647	4363.833	3814.2163	0.079563454
2022-07-24	Australia	Omicron 21L	3814.6067	4670.78	3151.3142	4352.944	3353.2554	4076.107	3566.7441	0.075414315
2022-07-25	Australia	Omicron 21L	3561.2007	4361.6724	2941.3164	4059.8767	3131.0437	3809.5308	3332.1533	0.071559116
2022-07-26	Australia	Omicron 21L	3321.5215	4061.1536	2742.414	3789.0608	2922.7297	3552.8723	3107.6577	0.06797237
2022-07-27	Australia	Omicron 21L	3095.133	3777.9678	2562.6768	3534.812	2730.4497	3310.3745	2894.3296	0.06467497
2022-07-28	Australia	Omicron 21L	2884.213	3524.0308	2380.702	3298.5847	2546.7026	3082.3296	2698.1646	0.061568342
2022-07-29	Australia	Omicron 21L	2686.0503	3285.6252	2216.4905	3071.6963	2371.494	2876.0518	2510.9224	0.05864445
2022-07-30	Australia	Omicron 21L	2498.2295	3048.9758	2058.1753	2856.5928	2205.2905	2680.6343	2334.8462	0.055979937
2022-07-31	Australia	Omicron 21L	2325.0015	2839.4626	1913.8374	2654.3232	2045.5979	2495.1265	2170.3157	0.05349298
2022-08-01	Australia	Omicron 21L	2160.2544	2646.4932	1778.6201	2467.7776	1900.4795	2317.7969	2016.7794	0.051178493
