date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-05-13	Australia	Delta	0.029016443	4.6925416	0.00013648364	0.89965135	0.00095544854	0.16865882	0.0047129514	5.2423627e-07
2022-05-14	Australia	Delta	0.026814997	4.811226	0.00011722419	0.8987286	0.0008737067	0.16381761	0.0042930082	4.6003615e-07
2022-05-15	Australia	Delta	0.025023483	4.983298	0.00010769665	0.8958545	0.00076876767	0.16042104	0.0038915705	4.100753e-07
2022-05-16	Australia	Delta	0.023491826	4.951632	9.439281e-05	0.88724774	0.00068569306	0.15775305	0.0035716526	3.6476783e-07
2022-05-17	Australia	Delta	0.021823905	5.129751	8.2229024e-05	0.88859445	0.0006181107	0.15210292	0.0032258488	3.2395099e-07
2022-05-18	Australia	Delta	0.020544205	5.2081394	7.17115e-05	0.90702045	0.0005652208	0.14824128	0.0029082461	2.8332732e-07
2022-05-19	Australia	Delta	0.019233884	5.3087974	6.1734405e-05	0.8883394	0.00049944554	0.14309499	0.0026402571	2.467898e-07
2022-05-13	Australia	Omicron 21K	1088.2671	7830.9727	187.99905	3745.768	339.48056	2055.109	588.733	0.020189736
2022-05-14	Australia	Omicron 21K	1066.0171	9199.3955	161.2989	4087.8228	301.677	2093.261	553.5098	0.019131327
2022-05-15	Australia	Omicron 21K	1037.4753	10466.855	134.40839	4417.0713	263.96945	2176.3896	518.1474	0.017795872
2022-05-16	Australia	Omicron 21K	1011.1249	12231.934	116.11088	4827.915	237.02367	2250.858	481.4181	0.016482621
2022-05-17	Australia	Omicron 21K	996.67957	14200.753	97.71509	5228.9526	209.46376	2315.287	441.6832	0.015186196
2022-05-18	Australia	Omicron 21K	970.4437	16403.572	83.627625	5795.8086	179.85068	2411.253	408.93082	0.013853105
2022-05-19	Australia	Omicron 21K	949.4274	18699.03	68.487366	6405.3916	158.56961	2485.3303	381.23044	0.01270541
2022-05-13	Australia	Omicron 21L	44230.4	64344.934	30808.863	56328.008	34747.55	50244.05	38662.92	0.8391206
2022-05-14	Australia	Omicron 21L	44925.96	70979.016	29153.12	60310.61	33741.51	52450.836	38261.07	0.82372516
2022-05-15	Australia	Omicron 21L	45693.273	77944.86	27502.035	64705.793	32636.945	54868.47	37826.23	0.8071184
2022-05-16	Australia	Omicron 21L	46428.0	85361.125	26245.523	69404.86	31682.793	57041.887	37486.656	0.78736216
2022-05-17	Australia	Omicron 21L	47192.72	93946.4	24519.79	74377.72	30648.645	59694.92	37169.582	0.7656248
2022-05-18	Australia	Omicron 21L	47997.023	103101.76	23154.926	79502.89	29708.256	62377.16	36641.58	0.7421676
2022-05-19	Australia	Omicron 21L	48887.555	113765.92	21727.84	84872.6	28665.967	65383.45	36141.312	0.7179552
