date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	median_freq
2021-12-01	Australia	Delta	0.9602238	1.3515564	0.6726507	1.1972071	0.76390016	1.0729764	0.85259485	0.9501804
2021-12-02	Australia	Delta	0.93806297	1.2411553	0.70511556	1.124071	0.77987754	1.0293071	0.85048944	0.9490906
2021-12-03	Australia	Delta	0.9280652	1.1626077	0.73681515	1.0726612	0.7999952	1.0007486	0.85678697	0.9347638
2021-12-04	Australia	Delta	0.9265755	1.1098092	0.7706678	1.0401949	0.82005966	0.9851893	0.8689159	0.9146912
2021-12-05	Australia	Delta	0.93214405	1.079145	0.8042532	1.0246215	0.84340537	0.9797765	0.8854818	0.90475696
2021-12-06	Australia	Delta	0.9458789	1.0676284	0.8345907	1.0215917	0.8710994	0.98434734	0.90574163	0.89488333
2021-12-07	Australia	Delta	0.96435714	1.0692687	0.8664237	1.0308807	0.8986779	0.9995948	0.930578	0.87842214
2021-12-08	Australia	Delta	0.98979324	1.085066	0.90063745	1.0516173	0.9285358	1.0222795	0.9587165	0.8569915
2021-12-09	Australia	Delta	1.0201819	1.1133798	0.934776	1.0809402	0.96095055	1.0518515	0.9891846	0.83202684
2021-12-10	Australia	Delta	1.056387	1.1497582	0.96853006	1.1178426	0.99615747	1.0866212	1.0246284	0.80520713
2021-12-11	Australia	Delta	1.0944703	1.1922864	1.0053433	1.1590492	1.0359013	1.1268482	1.0634699	0.7783528
2021-12-12	Australia	Delta	1.1375785	1.2412697	1.049049	1.2032596	1.0778438	1.1703892	1.1065475	0.75155425
2021-12-13	Australia	Delta	1.1832408	1.2873703	1.0932599	1.2494057	1.1239746	1.2163215	1.1525595	0.72134876
2021-12-14	Australia	Delta	1.2300603	1.3340882	1.1397333	1.297172	1.1716865	1.2636912	1.2006893	0.68652236
2021-12-15	Australia	Delta	1.278336	1.3798252	1.1908945	1.3436288	1.22182	1.3123662	1.2487391	0.65038216
2021-12-16	Australia	Delta	1.3255619	1.4249792	1.2395499	1.3890122	1.2700772	1.358209	1.297749	0.61479646
2021-12-17	Australia	Delta	1.3710611	1.4657319	1.2857318	1.4321567	1.3152572	1.4034989	1.3424437	0.578908
2021-12-18	Australia	Delta	1.4128168	1.5049825	1.3265035	1.4737347	1.3570237	1.4447325	1.3832939	0.5410718
2021-12-19	Australia	Delta	1.4485972	1.5404114	1.3564163	1.5099592	1.3909068	1.48019	1.4172308	0.50079966
2021-12-20	Australia	Delta	1.47701	1.5725901	1.3828349	1.5398461	1.4168365	1.5106587	1.4444726	0.46020305
2021-12-21	Australia	Delta	1.4950254	1.5952412	1.3955919	1.562069	1.4308964	1.5310315	1.4613179	0.42108488
2021-12-22	Australia	Delta	1.5025194	1.6078656	1.3997947	1.5725719	1.4340016	1.5391352	1.4670575	0.38313687
2021-12-23	Australia	Delta	1.4972442	1.6072892	1.3887905	1.5700929	1.4268643	1.5348597	1.4608064	0.34631336
2021-12-24	Australia	Delta	1.4800053	1.5941416	1.3683764	1.5537305	1.409143	1.5177088	1.4433775	0.3105408
2021-12-25	Australia	Delta	1.4522525	1.5666959	1.3416175	1.5264373	1.3813288	1.4900429	1.4155608	0.27710193
2021-12-26	Australia	Delta	1.4154131	1.5274297	1.3082267	1.4903308	1.3454818	1.4528484	1.3797607	0.24620041
2021-12-27	Australia	Delta	1.371436	1.4814142	1.2682576	1.44339	1.3033961	1.4068723	1.3367447	0.21810228
2021-12-28	Australia	Delta	1.3215225	1.4273384	1.222637	1.3906337	1.2570502	1.355372	1.2882779	0.19276744
2021-12-29	Australia	Delta	1.2672818	1.3675764	1.1718127	1.3330994	1.2060121	1.3000927	1.2356868	0.16987348
2021-12-30	Australia	Delta	1.2105451	1.3045541	1.1213136	1.2725173	1.1510024	1.2410421	1.1800556	0.14950192
2021-12-31	Australia	Delta	1.1518701	1.2397028	1.0674555	1.210325	1.0959723	1.1801311	1.1225479	0.13153793
2022-01-01	Australia	Delta	1.0930083	1.1749469	1.0128094	1.1479251	1.040188	1.1193744	1.0645403	0.11584832
2022-01-02	Australia	Delta	1.0344418	1.1128399	0.9590296	1.0861974	0.9839498	1.0595038	1.0070666	0.10215302
2022-01-03	Australia	Delta	0.97692525	1.0523362	0.9065846	1.024775	0.9290332	1.0014122	0.9508312	0.09019062
2022-01-04	Australia	Delta	0.92117876	0.99434847	0.8558373	0.96712565	0.8759196	0.94484377	0.8961525	0.07984128
2022-01-05	Australia	Delta	0.86850727	0.9381451	0.8058537	0.9123452	0.82472616	0.891518	0.84482646	0.070770204
2022-01-06	Australia	Delta	0.81860256	0.88593966	0.7576552	0.86209756	0.77693695	0.84108055	0.7963389	0.06285743
2022-01-07	Australia	Delta	0.7721629	0.83760476	0.71304625	0.81420505	0.7316273	0.7939808	0.7507582	0.055988893
2022-01-08	Australia	Delta	0.7295428	0.7930745	0.6710982	0.77001435	0.6905825	0.7504314	0.70890784	0.050045665
2022-01-09	Australia	Delta	0.6904743	0.7531948	0.63506526	0.72967815	0.6532523	0.71103275	0.6698234	0.04483672
2022-01-10	Australia	Delta	0.65513384	0.71567106	0.6014578	0.6933702	0.61908907	0.67534673	0.63510627	0.040266953
2022-01-11	Australia	Delta	0.62382245	0.68175334	0.5707612	0.66110057	0.588631	0.64301646	0.60393417	0.036298063
2022-01-12	Australia	Delta	0.5957695	0.65188366	0.54505587	0.63194424	0.5618857	0.61463904	0.57695985	0.03280969
2022-01-13	Australia	Delta	0.5717057	0.62582225	0.5217914	0.6060767	0.5387578	0.58958733	0.5534619	0.029775776
2022-01-14	Australia	Delta	0.5507618	0.60210556	0.50238067	0.5839253	0.5188866	0.568078	0.5333676	0.027073856
2022-01-15	Australia	Delta	0.53273475	0.58271515	0.4855962	0.56496716	0.5018934	0.5494317	0.5157722	0.024664536
2022-01-16	Australia	Delta	0.5171174	0.56513727	0.47163206	0.5483784	0.4871044	0.53323305	0.5008384	0.022519875
2022-01-17	Australia	Delta	0.50400984	0.5505451	0.45993012	0.5342156	0.47494438	0.51951694	0.48801798	0.020634945
2022-01-18	Australia	Delta	0.49299988	0.5386411	0.4499563	0.5221286	0.4645084	0.5080325	0.4772941	0.0189072
2022-01-19	Australia	Delta	0.4836921	0.5289713	0.44186863	0.51242846	0.45507115	0.498079	0.46842277	0.017380128
2022-01-20	Australia	Delta	0.47625774	0.52167755	0.4348853	0.5045239	0.44746053	0.49052584	0.46126205	0.015972897
2022-01-21	Australia	Delta	0.47000432	0.5160715	0.42866188	0.49848986	0.44162595	0.48438227	0.45509756	0.014730696
2022-01-22	Australia	Delta	0.4653442	0.5117444	0.42385828	0.4944347	0.43644142	0.4803191	0.45003596	0.01359155
2022-01-23	Australia	Delta	0.461652	0.51024693	0.41961968	0.4915231	0.43310383	0.47753105	0.44627237	0.012558301
2022-01-24	Australia	Delta	0.45939854	0.5082621	0.41597405	0.49007002	0.42988187	0.4756683	0.443528	0.011597393
2022-01-25	Australia	Delta	0.45822135	0.5096765	0.41299447	0.49065593	0.4277269	0.4755528	0.44149178	0.010713132
2022-01-26	Australia	Delta	0.45787966	0.5115683	0.41065913	0.49204245	0.42672572	0.47624496	0.44058454	0.009922589
