date	location	variant	median_R_forecast	R_forecast_upper_95	R_forecast_lower_95	R_forecast_upper_80	R_forecast_lower_80	R_forecast_upper_50	R_forecast_lower_50	median_freq
2022-07-21	Australia	Delta	0.8086215	1.7444773	0.37361318	1.3565495	0.47988868	1.0563648	0.61602014	4.025901e-06
2022-07-22	Australia	Delta	0.8086215	1.7444773	0.37361318	1.3565495	0.47988868	1.0563648	0.61602014	3.766368e-06
2022-07-23	Australia	Delta	0.8086215	1.7444773	0.37361318	1.3565495	0.47988868	1.0563648	0.61602014	3.5514342e-06
2022-07-24	Australia	Delta	0.8086215	1.7444773	0.37361318	1.3565495	0.47988868	1.0563648	0.61602014	3.3700985e-06
2022-07-25	Australia	Delta	0.8086215	1.7444773	0.37361318	1.3565495	0.47988868	1.0563648	0.61602014	3.1836403e-06
2022-07-26	Australia	Delta	0.8086215	1.7444773	0.37361318	1.3565495	0.47988868	1.0563648	0.61602014	2.9868816e-06
2022-07-27	Australia	Delta	0.8086215	1.7444773	0.37361318	1.3565495	0.47988868	1.0563648	0.61602014	2.8161735e-06
2022-07-21	Australia	Omicron 21K	0.59638405	1.077275	0.32811692	0.8848347	0.40026775	0.7320273	0.480991	2.5025533e-06
2022-07-22	Australia	Omicron 21K	0.59638405	1.077275	0.32811692	0.8848347	0.40026775	0.7320273	0.480991	2.1427168e-06
2022-07-23	Australia	Omicron 21K	0.59638405	1.077275	0.32811692	0.8848347	0.40026775	0.7320273	0.480991	1.8357796e-06
2022-07-24	Australia	Omicron 21K	0.59638405	1.077275	0.32811692	0.8848347	0.40026775	0.7320273	0.480991	1.5805308e-06
2022-07-25	Australia	Omicron 21K	0.59638405	1.077275	0.32811692	0.8848347	0.40026775	0.7320273	0.480991	1.3673402e-06
2022-07-26	Australia	Omicron 21K	0.59638405	1.077275	0.32811692	0.8848347	0.40026775	0.7320273	0.480991	1.1740851e-06
2022-07-27	Australia	Omicron 21K	0.59638405	1.077275	0.32811692	0.8848347	0.40026775	0.7320273	0.480991	1.0051094e-06
2022-07-21	Australia	Omicron 21L	0.91023207	1.4977936	0.5684511	1.2531016	0.66462904	1.0765402	0.76894456	0.090475954
2022-07-22	Australia	Omicron 21L	0.91023207	1.4977936	0.5684511	1.2531016	0.66462904	1.0765402	0.76894456	0.08651107
2022-07-23	Australia	Omicron 21L	0.91023207	1.4977936	0.5684511	1.2531016	0.66462904	1.0765402	0.76894456	0.08259103
2022-07-24	Australia	Omicron 21L	0.91023207	1.4977936	0.5684511	1.2531016	0.66462904	1.0765402	0.76894456	0.078996286
2022-07-25	Australia	Omicron 21L	0.91023207	1.4977936	0.5684511	1.2531016	0.66462904	1.0765402	0.76894456	0.07534716
2022-07-26	Australia	Omicron 21L	0.91023207	1.4977936	0.5684511	1.2531016	0.66462904	1.0765402	0.76894456	0.072272375
2022-07-27	Australia	Omicron 21L	0.91023207	1.4977936	0.5684511	1.2531016	0.66462904	1.0765402	0.76894456	0.06901076
2022-07-21	Australia	Omicron 22A	1.0886018	1.5999367	0.73026156	1.3990003	0.84299064	1.2441683	0.95051116	0.14160088
2022-07-22	Australia	Omicron 22A	1.0886018	1.5999367	0.73026156	1.3990003	0.84299064	1.2441683	0.95051116	0.14292744
2022-07-23	Australia	Omicron 22A	1.0886018	1.5999367	0.73026156	1.3990003	0.84299064	1.2441683	0.95051116	0.14332932
2022-07-24	Australia	Omicron 22A	1.0886018	1.5999367	0.73026156	1.3990003	0.84299064	1.2441683	0.95051116	0.14392346
2022-07-25	Australia	Omicron 22A	1.0886018	1.5999367	0.73026156	1.3990003	0.84299064	1.2441683	0.95051116	0.14432141
2022-07-26	Australia	Omicron 22A	1.0886018	1.5999367	0.73026156	1.3990003	0.84299064	1.2441683	0.95051116	0.14458576
2022-07-27	Australia	Omicron 22A	1.0886018	1.5999367	0.73026156	1.3990003	0.84299064	1.2441683	0.95051116	0.14474909
2022-07-21	Australia	Omicron 22B	1.0772934	1.4432129	0.8138139	1.3089045	0.8951584	1.2004781	0.9756489	0.7352048
2022-07-22	Australia	Omicron 22B	1.0772934	1.4432129	0.8138139	1.3089045	0.8951584	1.2004781	0.9756489	0.7364048
2022-07-23	Australia	Omicron 22B	1.0772934	1.4432129	0.8138139	1.3089045	0.8951584	1.2004781	0.9756489	0.73840845
2022-07-24	Australia	Omicron 22B	1.0772934	1.4432129	0.8138139	1.3089045	0.8951584	1.2004781	0.9756489	0.7411061
2022-07-25	Australia	Omicron 22B	1.0772934	1.4432129	0.8138139	1.3089045	0.8951584	1.2004781	0.9756489	0.7425276
2022-07-26	Australia	Omicron 22B	1.0772934	1.4432129	0.8138139	1.3089045	0.8951584	1.2004781	0.9756489	0.7438425
2022-07-27	Australia	Omicron 22B	1.0772934	1.4432129	0.8138139	1.3089045	0.8951584	1.2004781	0.9756489	0.7450068
2022-07-21	Australia	Omicron 22C	0.93818575	1.3286445	0.6673129	1.1765126	0.75354165	1.0574098	0.8318291	0.020864733
2022-07-22	Australia	Omicron 22C	0.93818575	1.3286445	0.6673129	1.1765126	0.75354165	1.0574098	0.8318291	0.020089708
2022-07-23	Australia	Omicron 22C	0.93818575	1.3286445	0.6673129	1.1765126	0.75354165	1.0574098	0.8318291	0.019441847
