date	location	variant	median_freq	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50
2021-11-15	Australia	Delta	0.9924469	0.99572074	0.98817915	0.9948933	0.9899919	0.99405587	0.9915726
2021-11-16	Australia	Delta	0.9910656	0.9946789	0.9858028	0.9939062	0.9881443	0.9929753	0.99006575
2021-11-17	Australia	Delta	0.9910412	0.994686	0.98605984	0.9940559	0.9885541	0.9929057	0.99010646
2021-11-18	Australia	Delta	0.9909569	0.99495625	0.9860682	0.99392414	0.9882892	0.99263775	0.98970324
2021-11-19	Australia	Delta	0.9892973	0.9937843	0.9841337	0.99249446	0.98637545	0.9914	0.98819697
2021-11-20	Australia	Delta	0.9873816	0.9923242	0.98174316	0.9910266	0.9843181	0.98928404	0.9857286
2021-11-21	Australia	Delta	0.98587245	0.99091333	0.9796984	0.98975885	0.98257905	0.98765594	0.9838113
2021-11-22	Australia	Delta	0.9846881	0.99006075	0.9783329	0.98911303	0.981567	0.98746955	0.9834368
2021-11-23	Australia	Delta	0.9837546	0.98908675	0.97672695	0.9880641	0.9800552	0.9861489	0.9819325
2021-11-24	Australia	Delta	0.9826819	0.9885379	0.97553325	0.9875417	0.9792096	0.9853579	0.9809292
2021-11-25	Australia	Delta	0.981353	0.98749363	0.97384727	0.98609674	0.97727394	0.98376817	0.9791161
2021-11-26	Australia	Delta	0.9796578	0.9862912	0.9717923	0.98459274	0.9752095	0.9824407	0.97746545
2021-11-27	Australia	Delta	0.97776014	0.98489606	0.96953434	0.98295766	0.9729765	0.98012394	0.97483677
2021-11-28	Australia	Delta	0.9777584	0.9844225	0.9698626	0.9823195	0.97267115	0.98075384	0.9756996
2021-11-29	Australia	Delta	0.9774318	0.984146	0.97013175	0.98210543	0.9727035	0.97970647	0.97486484
2021-11-30	Australia	Delta	0.9740868	0.9812164	0.9658651	0.9792393	0.96896505	0.9765685	0.97132695
2021-12-01	Australia	Delta	0.9694365	0.9774808	0.96040636	0.97526276	0.9637405	0.972674	0.96674514
2021-12-02	Australia	Delta	0.96430564	0.97331905	0.9542668	0.9702843	0.9576071	0.9684734	0.9618972
2021-12-03	Australia	Delta	0.9579821	0.96808356	0.9472915	0.96502024	0.95104724	0.9619323	0.95458585
2021-12-04	Australia	Delta	0.9486308	0.9603757	0.93599546	0.9567054	0.94057024	0.9539227	0.94544756
2021-12-05	Australia	Delta	0.9358433	0.9496157	0.92056406	0.9451811	0.9261687	0.9421465	0.9321271
2021-12-06	Australia	Delta	0.9192932	0.9349201	0.9002306	0.9314376	0.90878457	0.9249047	0.91311514
2021-12-07	Australia	Delta	0.89762175	0.91820294	0.8768152	0.9124485	0.8855448	0.90489435	0.8911243
2021-12-08	Australia	Delta	0.8706875	0.89503604	0.8462481	0.8881679	0.8563176	0.8797358	0.8634394
2021-12-09	Australia	Delta	0.83883	0.8643139	0.8082689	0.8572513	0.82024133	0.8500676	0.83108413
2021-12-10	Australia	Delta	0.8021639	0.8320124	0.76924103	0.8235464	0.7820996	0.8120497	0.7903415
2021-12-11	Australia	Delta	0.7613316	0.7956823	0.7263346	0.78373706	0.73806465	0.77347225	0.7493999
2021-12-12	Australia	Delta	0.71732694	0.7531029	0.67850256	0.7417895	0.6923697	0.7308619	0.7050888
2021-12-13	Australia	Delta	0.6715894	0.71320343	0.6334962	0.6984814	0.64626926	0.6881378	0.6605235
2021-12-14	Australia	Delta	0.62519383	0.666171	0.58205485	0.6523672	0.59747684	0.6420088	0.6130901
2021-12-15	Australia	Delta	0.5790603	0.6217036	0.5353303	0.6079421	0.5513997	0.59372747	0.5639257
2021-12-16	Australia	Delta	0.5339031	0.5770363	0.48812556	0.56324023	0.5053966	0.5482978	0.5178626
2021-12-17	Australia	Delta	0.4895256	0.5335363	0.44274482	0.52153414	0.46262768	0.5023563	0.47140273
2021-12-18	Australia	Delta	0.44700086	0.4923811	0.40078217	0.4770208	0.41788462	0.46270725	0.43181077
2021-12-19	Australia	Delta	0.405909	0.4509063	0.36059904	0.43347675	0.3745922	0.42085066	0.3905567
2021-12-20	Australia	Delta	0.36695242	0.41086107	0.3223675	0.39607164	0.33840293	0.38320604	0.35392153
2021-12-21	Australia	Delta	0.32974726	0.3725948	0.2888753	0.35756394	0.30199152	0.34492967	0.31703702
2021-12-22	Australia	Delta	0.29472637	0.33513844	0.2568993	0.32186854	0.26949197	0.3091629	0.28303364
2021-12-23	Australia	Delta	0.26188928	0.30017537	0.22705261	0.2882906	0.23954985	0.27314058	0.24841222
2021-12-24	Australia	Delta	0.2315483	0.26750803	0.20138715	0.25535297	0.21110609	0.24338625	0.2203975
2021-12-25	Australia	Delta	0.2036844	0.23520273	0.17420204	0.22232555	0.18239309	0.21478724	0.19354905
2021-12-26	Australia	Delta	0.17863359	0.2079288	0.1519167	0.19623068	0.160261	0.18645753	0.16721775
2021-12-27	Australia	Delta	0.1562058	0.1827439	0.13176522	0.17236471	0.13932775	0.16399796	0.14647096
2021-12-28	Australia	Delta	0.13604265	0.15916747	0.11216314	0.15195553	0.121482834	0.14320435	0.1270712
2021-12-29	Australia	Delta	0.11847696	0.14043206	0.09710132	0.13368998	0.10549448	0.12495793	0.11003542
2021-12-30	Australia	Delta	0.10348418	0.124262296	0.08397689	0.11669665	0.09022626	0.10854961	0.094740674
2021-12-31	Australia	Delta	0.090517744	0.11027121	0.07266218	0.102334596	0.07742749	0.09487275	0.081925176
2022-01-01	Australia	Delta	0.07943143	0.09869813	0.06333412	0.0910672	0.067834675	0.08289504	0.070803866
2022-01-02	Australia	Delta	0.07017288	0.08767772	0.054428875	0.080860995	0.059196405	0.07402862	0.062816076
2022-01-03	Australia	Delta	0.062404636	0.078124546	0.047092263	0.07294301	0.052734368	0.06591034	0.0554325
2022-01-04	Australia	Delta	0.055901453	0.07061252	0.041631952	0.06520084	0.046273153	0.059255145	0.049485095
2022-01-05	Australia	Delta	0.05049856	0.06500769	0.038167886	0.058808118	0.041287124	0.05307097	0.0439322
2022-01-06	Australia	Delta	0.04597403	0.058751065	0.033864025	0.053796045	0.037507556	0.04944934	0.040954605
2022-01-07	Australia	Delta	0.042100683	0.055090286	0.031708874	0.049358673	0.034172222	0.0463154	0.038425177
2022-01-08	Australia	Delta	0.038888045	0.05021512	0.02834606	0.0458521	0.031711232	0.042107787	0.034668665
2022-01-09	Australia	Delta	0.036143776	0.046537176	0.025986744	0.042438995	0.029089555	0.038869336	0.03186712
2022-01-10	Australia	Delta	0.033906788	0.043681074	0.024237126	0.040081747	0.027251394	0.036965568	0.030306175
2022-01-11	Australia	Delta	0.031876605	0.0412609	0.022680568	0.037425708	0.02518241	0.03504263	0.028666835
2022-01-12	Australia	Delta	0.030041989	0.03954385	0.021436593	0.036185656	0.024254233	0.033136573	0.026891546
2022-01-13	Australia	Delta	0.028460827	0.03798214	0.020238912	0.034079596	0.022430206	0.031282417	0.025207048
2022-01-14	Australia	Delta	0.027009035	0.036634617	0.019118143	0.032929067	0.02149043	0.029768197	0.023840362
2022-01-15	Australia	Delta	0.025568083	0.03460447	0.017435241	0.03077814	0.019618135	0.027667299	0.02190815
2022-01-16	Australia	Delta	0.024092296	0.033027187	0.016121244	0.029253783	0.018454744	0.026193209	0.020581568
2022-01-17	Australia	Delta	0.022656487	0.03169164	0.015328898	0.027838862	0.017359246	0.02524466	0.019800805
2022-01-18	Australia	Delta	0.021212427	0.029612465	0.013763276	0.0259552	0.015831724	0.023208257	0.01797597
2022-01-19	Australia	Delta	0.019738805	0.02839834	0.0132435905	0.02438927	0.014707935	0.021670295	0.016682245
2022-01-20	Australia	Delta	0.01832111	0.026369492	0.011935892	0.022799138	0.0135746095	0.020375794	0.015635833
2022-01-21	Australia	Delta	0.016904222	0.024168866	0.010539467	0.021545267	0.012814266	0.0188119	0.014377812
2022-01-22	Australia	Delta	0.015414888	0.022618579	0.009821137	0.019182397	0.011042535	0.017064426	0.0129541615
2022-01-23	Australia	Delta	0.014043367	0.02065973	0.008719457	0.017672498	0.010092048	0.015516332	0.011646401
2022-01-24	Australia	Delta	0.0126712825	0.018757453	0.007653018	0.01585728	0.008839459	0.014341554	0.0107588945
2022-01-25	Australia	Delta	0.011362003	0.017318847	0.007056012	0.01457898	0.008098637	0.01277553	0.009437447
2022-01-26	Australia	Delta	0.010202633	0.01560481	0.006057385	0.013122581	0.007149628	0.011396934	0.008295228
2022-01-27	Australia	Delta	0.009088514	0.014123734	0.005301136	0.011897171	0.006344707	0.0099581005	0.0071062394
2022-01-28	Australia	Delta	0.008051581	0.012856974	0.0047201402	0.010543824	0.0054339417	0.008856102	0.006218015
2022-01-29	Australia	Delta	0.0071356893	0.011525292	0.004024208	0.009567101	0.004854388	0.007960234	0.0055285804
2022-01-30	Australia	Delta	0.006308743	0.010253279	0.0033661367	0.008377146	0.004058699	0.0070607117	0.0048396373
2022-01-31	Australia	Delta	0.0055830264	0.009267444	0.002906424	0.0073874365	0.0034187809	0.006254628	0.004215773
2022-02-01	Australia	Delta	0.0049131745	0.008110949	0.0022031458	0.0067015793	0.003080547	0.005464357	0.0035951606
2022-02-02	Australia	Delta	0.0043299487	0.0073770084	0.0019735151	0.005938757	0.0026028266	0.0048603616	0.0031249363
2022-02-03	Australia	Delta	0.0038170856	0.0066954526	0.001729794	0.0053475923	0.0022581024	0.004357328	0.0027634741
2022-02-04	Australia	Delta	0.0033853867	0.006089559	0.0015238684	0.004873358	0.0020338376	0.003880983	0.00241748
2022-02-05	Australia	Delta	0.0030013127	0.0055417297	0.0013257012	0.0043814885	0.0017605814	0.0036051166	0.0022548698
2022-02-06	Australia	Delta	0.0026836134	0.0050575947	0.0011632048	0.0038326406	0.0014138978	0.0030060704	0.0017641601
2022-02-07	Australia	Delta	0.0023984401	0.0046253507	0.0010327385	0.003416217	0.0011843041	0.0027156903	0.0015664797
2022-02-08	Australia	Delta	0.0021441565	0.004196393	0.000853645	0.0031065147	0.0010418607	0.0025198504	0.0014555878
2022-02-09	Australia	Delta	0.0019224253	0.0038873358	0.0007338122	0.0027788403	0.0008595272	0.002225871	0.0012322324
2022-02-10	Australia	Delta	0.0017320396	0.0035084335	0.0005649565	0.0025269196	0.0007367815	0.002065522	0.0011275678
2022-02-11	Australia	Delta	0.0015662943	0.0032739874	0.0004952387	0.0023750833	0.0007024995	0.0018462734	0.0009677923
2022-02-12	Australia	Delta	0.0014150224	0.003001056	0.00037713593	0.0021534062	0.0005855899	0.0016069985	0.00079949526
2022-02-13	Australia	Delta	0.001283753	0.002838451	0.00032135868	0.0019840798	0.0005128896	0.0014727315	0.0007133381
2022-02-14	Australia	Delta	0.0011631583	0.002673342	0.0002836136	0.0018535688	0.0004583808	0.001364638	0.00065400946
2022-02-15	Australia	Delta	0.0010651462	0.0024862944	0.00022691194	0.0017112993	0.00040218668	0.0012259142	0.0005608595
2022-02-16	Australia	Delta	0.0009763851	0.0023630576	0.0002379943	0.0015734379	0.00034416936	0.0011185077	0.00049947726
2022-02-17	Australia	Delta	0.00089274935	0.0021869862	0.00018187765	0.0014907827	0.00032857936	0.0010161547	0.00043518422
2022-02-18	Australia	Delta	0.00082347903	0.0020641033	0.0001654258	0.0013881015	0.00029006528	0.00094811857	0.00039925336
2022-02-19	Australia	Delta	0.00075999787	0.0019695924	0.00015148423	0.0012587229	0.00022140998	0.0008725336	0.00035567637
2022-02-20	Australia	Delta	0.0007092342	0.0018930109	0.00013967654	0.0011906123	0.00019835286	0.00081860885	0.00033085982
2022-02-21	Australia	Delta	0.00066395436	0.0018153982	0.000119853226	0.0011390952	0.0001898497	0.0007331765	0.00026937737
2022-02-22	Australia	Delta	0.00062207435	0.0017405287	9.072895e-05	0.0010558363	0.00014366268	0.0007025875	0.00026139338
2022-02-23	Australia	Delta	0.00058206136	0.0017071186	9.164678e-05	0.0010148954	0.00013993074	0.0006552963	0.00023198464
2022-02-24	Australia	Delta	0.00054707984	0.0016662369	9.333156e-05	0.0009821332	0.00014256718	0.00060478953	0.0001951179
2022-02-25	Australia	Delta	0.000515671	0.0016005554	7.017981e-05	0.0009348232	0.00011759112	0.0005721541	0.00017281744
