date	location	variant	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-07-28	Australia	Delta	2.8651748e-06	0.0002954405	2.9180887e-08	5.6246114e-05	1.3508823e-07	1.36857725e-05	5.726125e-07
2022-07-29	Australia	Delta	2.7939548e-06	0.00032279754	2.4856945e-08	5.8232225e-05	1.2092329e-07	1.3471354e-05	5.3947696e-07
2022-07-30	Australia	Delta	2.6724797e-06	0.00034184416	2.1278526e-08	5.971878e-05	1.09225006e-07	1.3393319e-05	5.099974e-07
2022-07-31	Australia	Delta	2.5770064e-06	0.00038579758	1.9130065e-08	6.1629726e-05	1.01469745e-07	1.3379673e-05	4.731514e-07
2022-08-01	Australia	Delta	2.468831e-06	0.000425104	1.6718031e-08	6.3801315e-05	9.052063e-08	1.3261878e-05	4.3405277e-07
2022-08-02	Australia	Delta	2.363945e-06	0.00043662539	1.4409083e-08	6.402731e-05	8.023175e-08	1.3188898e-05	4.0096376e-07
2022-08-03	Australia	Delta	2.2683105e-06	0.00046608126	1.2379942e-08	6.727895e-05	7.3476166e-08	1.3130937e-05	3.7363162e-07
2022-07-28	Australia	Omicron 21K	1.3952451e-06	3.7594175e-05	4.8393577e-08	1.2464671e-05	1.6507366e-07	4.1845697e-06	4.374328e-07
2022-07-29	Australia	Omicron 21K	1.2329222e-06	3.585054e-05	4.0705768e-08	1.150632e-05	1.3570364e-07	3.8098037e-06	3.7230433e-07
2022-07-30	Australia	Omicron 21K	1.0728055e-06	3.5008114e-05	3.2528757e-08	1.0871101e-05	1.1192927e-07	3.4307532e-06	3.1540947e-07
2022-07-31	Australia	Omicron 21K	9.377162e-07	3.374113e-05	2.6193243e-08	1.0136539e-05	9.0105274e-08	3.1085922e-06	2.665264e-07
2022-08-01	Australia	Omicron 21K	8.230605e-07	3.2271146e-05	2.0835374e-08	9.544214e-06	7.415668e-08	2.8569946e-06	2.2839738e-07
2022-08-02	Australia	Omicron 21K	7.2224054e-07	3.1937747e-05	1.6144911e-08	8.911266e-06	6.0260426e-08	2.6103432e-06	1.9386833e-07
2022-08-03	Australia	Omicron 21K	6.254029e-07	3.0975967e-05	1.26224515e-08	8.249075e-06	4.929566e-08	2.3764687e-06	1.6269951e-07
2022-07-28	Australia	Omicron 21L	0.033049494	0.07627679	0.013641072	0.05829353	0.018888548	0.04397703	0.02477108
2022-07-29	Australia	Omicron 21L	0.030733213	0.07720814	0.011718269	0.057296153	0.016660202	0.04236473	0.022301437
2022-07-30	Australia	Omicron 21L	0.02853005	0.078033745	0.00993353	0.056720436	0.01456089	0.040653694	0.020008678
2022-07-31	Australia	Omicron 21L	0.026524685	0.0788919	0.008307152	0.05594056	0.0127207395	0.03882909	0.01805815
2022-08-01	Australia	Omicron 21L	0.02458306	0.080359094	0.007034771	0.05477695	0.0111425165	0.037308503	0.016208112
2022-08-02	Australia	Omicron 21L	0.022810312	0.08102527	0.005996386	0.053794976	0.009702624	0.03581266	0.014432781
2022-08-03	Australia	Omicron 21L	0.021105751	0.08264896	0.005009895	0.053122062	0.00843907	0.034393635	0.01302468
2022-07-28	Australia	Omicron 22A	0.12857075	0.25182393	0.06067054	0.20251322	0.07858539	0.16465071	0.09993323
2022-07-29	Australia	Omicron 22A	0.13037843	0.27243322	0.05562006	0.2113168	0.075300604	0.17074664	0.097639605
2022-07-30	Australia	Omicron 22A	0.13246459	0.29191527	0.050900552	0.22379129	0.0711103	0.17774007	0.09562377
2022-07-31	Australia	Omicron 22A	0.13375537	0.31438956	0.046612598	0.23656411	0.067418285	0.1833028	0.093730636
2022-08-01	Australia	Omicron 22A	0.1350598	0.33895582	0.042313386	0.24839044	0.06429369	0.19016457	0.091747284
2022-08-02	Australia	Omicron 22A	0.13672264	0.36343208	0.038465302	0.26224846	0.06121997	0.19711544	0.089978874
2022-08-03	Australia	Omicron 22A	0.13796943	0.38890034	0.03512729	0.2759099	0.058320075	0.20353629	0.08801332
2022-07-28	Australia	Omicron 22B	0.8228915	0.90810806	0.6856986	0.88532716	0.7411007	0.8583021	0.7825224
2022-07-29	Australia	Omicron 22B	0.82403696	0.9160642	0.6640897	0.8917474	0.7312767	0.8632716	0.7777621
