date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	median_freq
2022-09-16	Australia	22A	nan	nan	nan	nan	nan	nan	nan	0.07017941
2022-09-17	Australia	22A	0.06273508	0.064251006	0.061332665	0.063685656	0.0618114	0.06325483	0.062266827	0.07010488
2022-09-18	Australia	22A	-0.06013441	-0.03510282	-0.08382833	-0.044475034	-0.07565689	-0.051487923	-0.068003654	0.06927928
2022-09-19	Australia	22A	-0.10187173	-0.06561797	-0.13887757	-0.078636415	-0.1255858	-0.08937836	-0.11392248	0.06802296
2022-09-20	Australia	22A	-0.018287182	0.00029627176	-0.036903404	-0.0066656596	-0.030232286	-0.011914492	-0.024575591	0.067269504
2022-09-21	Australia	22A	-0.0061092377	0.007031518	-0.018591559	0.0020393352	-0.014054775	-0.0017591715	-0.010413289	0.06664756
2022-09-22	Australia	22A	-0.037740946	-0.019324232	-0.05473081	-0.026318265	-0.04884968	-0.031655192	-0.043467045	0.06593159
2022-09-23	Australia	22A	-0.04369712	-0.023337897	-0.06300314	-0.031015549	-0.05618353	-0.037000537	-0.050096035	0.065105975
2022-09-24	Australia	22A	-0.02918458	-0.012043165	-0.0457018	-0.01860776	-0.039869737	-0.023538709	-0.034754395	0.064303175
2022-09-25	Australia	22A	-0.024711132	-0.0093458975	-0.03866457	-0.0153111955	-0.034101676	-0.019652367	-0.02945447	0.06350793
2022-09-26	Australia	22A	-0.029118538	-0.013797514	-0.04279108	-0.019648604	-0.038483668	-0.024023414	-0.033814073	0.06272012
2022-09-27	Australia	22A	-0.029715538	-0.01461747	-0.043353938	-0.020335246	-0.03903403	-0.024714112	-0.034387827	0.06188886
2022-09-28	Australia	22A	-0.026180744	-0.012375483	-0.039286055	-0.017513849	-0.034971666	-0.02144742	-0.030688047	0.061081655
2022-09-29	Australia	22A	-0.024196625	-0.011470222	-0.03618016	-0.015951872	-0.032272864	-0.019778728	-0.02832973	0.060260408
2022-09-30	Australia	22A	-0.02383852	-0.011893926	-0.035384573	-0.015943289	-0.031491853	-0.019709945	-0.027866125	0.059417136
2022-10-01	Australia	22A	-0.02298522	-0.011438209	-0.034010552	-0.015435171	-0.030414963	-0.019069433	-0.026888013	0.058603324
2022-10-02	Australia	22A	-0.021425486	-0.010467928	-0.03178246	-0.014216805	-0.028403616	-0.017626286	-0.025147319	0.057765562
2022-10-03	Australia	22A	-0.019984484	-0.009605941	-0.029858613	-0.0130860815	-0.02663722	-0.016427279	-0.023520827	0.056904256
2022-10-04	Australia	22A	-0.01886487	-0.00889457	-0.028394604	-0.012144519	-0.025350427	-0.015348792	-0.022359967	0.056051537
2022-10-05	Australia	22A	-0.017698288	-0.008108659	-0.027286017	-0.01121021	-0.023984527	-0.014351726	-0.021101117	0.055188105
2022-10-06	Australia	22A	-0.016409874	-0.0070252456	-0.02579999	-0.010147763	-0.022633934	-0.013191462	-0.019755483	0.054320686
2022-10-07	Australia	22A	-0.015223026	-0.0059394715	-0.024450373	-0.009035969	-0.021280766	-0.011960983	-0.018371582	0.05345801
2022-10-08	Australia	22A	-0.01407361	-0.004889857	-0.023229014	-0.007936528	-0.02011981	-0.010874987	-0.01721251	0.052574508
2022-10-09	Australia	22A	-0.012968302	-0.003719768	-0.022123074	-0.006945278	-0.019037247	-0.009708285	-0.01615858	0.051692706
2022-10-10	Australia	22A	-0.011892319	-0.0026384932	-0.020943642	-0.005741742	-0.018037796	-0.00854516	-0.01505363	0.050774463
2022-10-11	Australia	22A	-0.010854483	-0.001646123	-0.01997838	-0.004685213	-0.016926002	-0.007520199	-0.014025331	0.049865738
2022-10-12	Australia	22A	-0.009887695	-0.000603982	-0.018918049	-0.0036664493	-0.015957927	-0.006614685	-0.013108969	0.048963346
2022-10-13	Australia	22A	-0.008925438	0.00029537803	-0.017901814	-0.0027138728	-0.015092373	-0.005662799	-0.01228261	0.048042785
2022-10-14	Australia	22A	-0.007996798	0.0011454948	-0.017072689	-0.0017856599	-0.01417799	-0.0047785044	-0.011358976	0.047115363
2022-10-15	Australia	22A	-0.0071799755	0.0019732122	-0.016182577	-0.0009620193	-0.013241624	-0.003916979	-0.010476589	0.046196386
2022-10-16	Australia	22A	-0.006412506	0.002736562	-0.015408111	-0.00017867179	-0.012449026	-0.003221631	-0.009636879	0.0452635
2022-10-17	Australia	22A	-0.0056943893	0.0034116914	-0.01470356	0.00046605687	-0.011707449	-0.0025376081	-0.008867383	0.044343233
2022-10-18	Australia	22A	-0.0050182343	0.004114355	-0.0139259575	0.0011159418	-0.011027431	-0.001881361	-0.008143783	0.043421075
2022-10-19	Australia	22A	-0.0044198036	0.004813746	-0.0131046055	0.0017242425	-0.010362578	-0.0012751818	-0.0075029135	0.04248096
2022-10-20	Australia	22A	-0.0038063526	0.0054752985	-0.012403572	0.002212238	-0.009814883	-0.0007106066	-0.0069134235	0.04153451
2022-10-21	Australia	22A	-0.0033137798	0.006049912	-0.011915123	0.0026605595	-0.009250164	-0.00020313263	-0.006378293	0.04059314
2022-10-22	Australia	22A	-0.0027987957	0.0065552867	-0.011571896	0.003046988	-0.008825397	0.00020217896	-0.0058346987	0.039643005
2022-10-23	Australia	22A	-0.0024003983	0.0069767963	-0.011225045	0.003423786	-0.008382368	0.0005694628	-0.0054428577	0.038692642
2022-10-24	Australia	22A	-0.002008915	0.0072745224	-0.010927844	0.0036991108	-0.007944107	0.00087952614	-0.0050719976	0.037749924
2022-10-25	Australia	22A	-0.0017504692	0.007562019	-0.010708761	0.0040379036	-0.007644606	0.0011259317	-0.004860997	0.03681255
2022-10-26	Australia	22A	-0.0015397072	0.007817116	-0.010443866	0.004218673	-0.0074248314	0.0013449192	-0.004688263	0.03586649
2022-10-27	Australia	22A	-0.001390934	0.008022158	-0.010198439	0.0043450813	-0.0073456764	0.0015459061	-0.004534483	0.034921773
2022-10-28	Australia	22A	-0.0012750626	0.008149521	-0.010214234	0.00445852	-0.0072100163	0.0016405582	-0.004446268	0.033986207
2022-10-29	Australia	22A	-0.0012762547	0.008076253	-0.0101649165	0.004523372	-0.007103062	0.001699686	-0.004408002	0.033035427
2022-10-30	Australia	22A	-0.0013222694	0.007861862	-0.010203302	0.004363535	-0.0071598054	0.001634717	-0.00444901	0.03209761
2022-10-31	Australia	22A	-0.0014603138	0.0076972856	-0.01020633	0.004203987	-0.007219553	0.0015090704	-0.004535556	0.031182151
2022-11-01	Australia	22A	-0.0016682148	0.0074368124	-0.010139966	0.0039594644	-0.007420063	0.001393199	-0.0047163963	0.0302729
2022-11-02	Australia	22A	-0.0019145012	0.007030202	-0.010364068	0.0037113663	-0.007616663	0.0010988712	-0.004934311	0.029357739
2022-11-03	Australia	22A	-0.0022454262	0.0065898085	-0.010564089	0.0033278458	-0.00793457	0.00071787834	-0.0051385164	0.028452806
2022-11-04	Australia	22A	-0.00269866	0.006061566	-0.01087476	0.0029377434	-0.008336401	0.0002924204	-0.0055314302	0.027546989
2022-11-05	Australia	22A	-0.0031080246	0.005352725	-0.011397839	0.0025688163	-0.008739901	-0.00019204617	-0.006020069	0.02666253
2022-11-06	Australia	22A	-0.0036284924	0.004836301	-0.012000322	0.0019806372	-0.00925231	-0.0007561445	-0.0065140724	0.025794618
2022-11-07	Australia	22A	-0.004219055	0.0042813434	-0.012696278	0.0013693321	-0.009804773	-0.0013949871	-0.0071054697	0.024935901
2022-11-08	Australia	22A	-0.0049562454	0.0037342557	-0.013483619	0.0007616994	-0.010550118	-0.0020530224	-0.007826924	0.024082486
2022-11-09	Australia	22A	-0.005636215	0.0029626428	-0.014230681	2.8463895e-05	-0.011357307	-0.00279212	-0.00860703	0.02324932
2022-11-10	Australia	22A	-0.0064918995	0.0021812716	-0.015007186	-0.0007370481	-0.012239074	-0.003555417	-0.009467125	0.022435637
2022-11-11	Australia	22A	-0.0073969364	0.0013550929	-0.016138554	-0.001579048	-0.013185215	-0.004382968	-0.0103702545	0.021642089
2022-11-12	Australia	22A	-0.008404493	0.00059877837	-0.017258417	-0.0024060272	-0.014178705	-0.0053440332	-0.011435866	0.020857155
