date	location	variant	median_r_forecast	r_forecast_upper_95	r_forecast_lower_95	r_forecast_upper_80	r_forecast_lower_80	r_forecast_upper_50	r_forecast_lower_50	median_freq
2022-05-28	Australia	Delta	nan	nan	nan	nan	nan	nan	nan	3.9382634e-08
2022-05-29	Australia	Delta	-0.11278343	0.049388446	-0.2620486	-0.0105939945	-0.2091176	-0.06083858	-0.1635549	3.681413e-08
2022-05-30	Australia	Delta	-0.11105609	0.043832768	-0.2599362	-0.012798672	-0.20681505	-0.061188817	-0.161381	3.3602312e-08
2022-05-31	Australia	Delta	-0.1073246	0.036501545	-0.25000867	-0.016574211	-0.19872503	-0.062238455	-0.15633631	3.1014654e-08
2022-06-01	Australia	Delta	-0.107506275	0.03660022	-0.24838936	-0.01626166	-0.1985404	-0.0625906	-0.15625334	2.8940356e-08
2022-06-02	Australia	Delta	-0.109053135	0.040128145	-0.25115034	-0.015741767	-0.20042907	-0.06252575	-0.15848875	2.6375947e-08
2022-06-03	Australia	Delta	-0.11065672	0.04200606	-0.25646022	-0.013733858	-0.20373258	-0.0622406	-0.1605376	2.436965e-08
2022-05-28	Australia	Omicron 21K	nan	nan	nan	nan	nan	nan	nan	0.0018663082
2022-05-29	Australia	Omicron 21K	-0.111641765	0.08095831	-0.29011622	0.015935782	-0.23363337	-0.046215773	-0.17311567	0.0017474429
2022-05-30	Australia	Omicron 21K	-0.11129606	0.07484378	-0.28954464	0.013704232	-0.23264535	-0.046495795	-0.17230141	0.0016167341
2022-05-31	Australia	Omicron 21K	-0.10972953	0.06571891	-0.27687767	0.009096809	-0.22214894	-0.048354864	-0.16711104	0.0014981311
2022-06-01	Australia	Omicron 21K	-0.109954596	0.06801021	-0.275476	0.01053827	-0.22240578	-0.048097074	-0.16749853	0.0013788802
2022-06-02	Australia	Omicron 21K	-0.11024761	0.07425603	-0.28119603	0.012952697	-0.226096	-0.046678007	-0.16952008	0.0012658515
2022-06-03	Australia	Omicron 21K	-0.110284925	0.07135078	-0.28296527	0.011990501	-0.22693707	-0.04674089	-0.16966057	0.0011578997
2022-05-28	Australia	Omicron 21L	nan	nan	nan	nan	nan	nan	nan	0.74554074
2022-05-29	Australia	Omicron 21L	-0.08914566	0.016298074	-0.18030074	-0.022714341	-0.1491088	-0.05649042	-0.12059784	0.718745
2022-05-30	Australia	Omicron 21L	-0.08776331	0.013152248	-0.17818864	-0.02403441	-0.1465993	-0.0561769	-0.11872506	0.69016916
2022-05-31	Australia	Omicron 21L	-0.08477259	0.003847947	-0.16375895	-0.028649906	-0.13672057	-0.057634354	-0.11249876	0.65917915
2022-06-01	Australia	Omicron 21L	-0.08541489	0.006160572	-0.16432893	-0.028008005	-0.13764057	-0.057435513	-0.113390684	0.6282198
