date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2021-10-15	Australia	Delta	2440.0	2646.0	2216.0	2589.0	2303.0	2508.0	2358.0
2021-10-16	Australia	Delta	2432.0	2633.0	2210.0	2574.0	2291.0	2496.0	2348.0
2021-10-17	Australia	Delta	2306.0	2482.0	2125.0	2413.0	2172.0	2363.0	2237.0
2021-10-18	Australia	Delta	2147.0	2307.0	1996.0	2246.0	2044.0	2194.0	2088.0
2021-10-19	Australia	Delta	2074.0	2219.0	1929.0	2162.0	1978.0	2116.0	2016.0
2021-10-20	Australia	Delta	2043.0	2183.0	1907.0	2127.0	1948.0	2090.0	1996.0
2021-10-21	Australia	Delta	2013.0	2146.0	1871.0	2094.0	1916.0	2065.0	1971.0
2021-10-22	Australia	Delta	1962.0	2101.0	1833.0	2051.0	1877.0	2012.0	1919.0
2021-10-23	Australia	Delta	1890.0	2027.0	1765.0	1976.0	1806.0	1942.0	1852.0
2021-10-24	Australia	Delta	1817.0	1955.0	1690.0	1896.0	1728.0	1858.0	1768.0
2021-10-25	Australia	Delta	1754.0	1888.0	1621.0	1831.0	1662.0	1794.0	1704.0
2021-10-26	Australia	Delta	1702.0	1840.0	1569.0	1787.0	1616.0	1749.0	1659.0
2021-10-27	Australia	Delta	1655.0	1793.0	1520.0	1737.0	1565.0	1700.0	1611.0
2021-10-28	Australia	Delta	1611.0	1753.0	1477.0	1690.0	1516.0	1657.0	1566.0
2021-10-29	Australia	Delta	1563.0	1704.0	1429.0	1642.0	1466.0	1600.0	1507.0
2021-10-30	Australia	Delta	1516.0	1657.0	1380.0	1603.0	1426.0	1549.0	1456.0
2021-10-31	Australia	Delta	1474.0	1614.0	1336.0	1565.0	1386.0	1525.0	1431.0
2021-11-01	Australia	Delta	1437.0	1578.0	1300.0	1522.0	1342.0	1489.0	1395.0
2021-11-02	Australia	Delta	1404.0	1540.0	1261.0	1491.0	1309.0	1458.0	1364.0
2021-11-03	Australia	Delta	1374.0	1512.0	1232.0	1456.0	1272.0	1413.0	1317.0
2021-11-04	Australia	Delta	1346.0	1485.0	1201.0	1431.0	1246.0	1390.0	1294.0
2021-11-05	Australia	Delta	1320.0	1466.0	1179.0	1404.0	1217.0	1364.0	1267.0
2021-11-06	Australia	Delta	1297.0	1443.0	1154.0	1384.0	1195.0	1347.0	1249.0
2021-11-07	Australia	Delta	1276.0	1422.0	1130.0	1366.0	1175.0	1325.0	1225.0
2021-11-08	Australia	Delta	1259.0	1407.0	1110.0	1355.0	1160.0	1309.0	1208.0
2021-11-09	Australia	Delta	1243.0	1398.0	1099.0	1342.0	1146.0	1285.0	1182.0
2021-11-10	Australia	Delta	1229.0	1380.0	1077.0	1324.0	1126.0	1273.0	1169.0
2021-11-11	Australia	Delta	1218.0	1379.0	1073.0	1316.0	1115.0	1264.0	1158.0
2021-11-12	Australia	Delta	1208.0	1364.0	1055.0	1310.0	1106.0	1259.0	1151.0
2021-11-13	Australia	Delta	1200.0	1357.0	1048.0	1306.0	1099.0	1237.0	1127.0
2021-11-14	Australia	Delta	1194.0	1355.0	1040.0	1302.0	1093.0	1241.0	1130.0
2021-11-15	Australia	Delta	1189.0	1357.0	1037.0	1303.0	1092.0	1240.0	1127.0
2021-11-16	Australia	Delta	1185.0	1350.0	1025.0	1299.0	1085.0	1238.0	1124.0
2021-11-17	Australia	Delta	1182.0	1349.0	1020.0	1301.0	1084.0	1236.0	1120.0
2021-11-18	Australia	Delta	1181.0	1347.0	1014.0	1299.0	1079.0	1239.0	1121.0
2021-11-19	Australia	Delta	1182.0	1349.0	1011.0	1299.0	1075.0	1237.0	1117.0
2021-11-20	Australia	Delta	1182.0	1350.0	1005.0	1300.0	1072.0	1236.0	1114.0
2021-11-21	Australia	Delta	1183.0	1353.0	999.0	1302.0	1069.0	1237.0	1113.0
2021-11-22	Australia	Delta	1185.0	1377.0	1016.0	1306.0	1068.0	1237.0	1111.0
2021-11-23	Australia	Delta	1186.0	1382.0	1012.0	1305.0	1062.0	1240.0	1112.0
2021-11-24	Australia	Delta	1188.0	1376.0	999.0	1311.0	1063.0	1254.0	1123.0
2021-11-25	Australia	Delta	1189.0	1380.0	994.0	1315.0	1063.0	1246.0	1113.0
2021-11-26	Australia	Delta	1191.0	1384.0	989.0	1321.0	1062.0	1250.0	1114.0
2021-11-27	Australia	Delta	1190.0	1389.0	987.0	1311.0	1047.0	1251.0	1112.0
2021-11-28	Australia	Delta	1189.0	1392.0	985.0	1315.0	1047.0	1244.0	1101.0
2021-11-29	Australia	Delta	1187.0	1391.0	978.0	1311.0	1039.0	1265.0	1119.0
2021-11-30	Australia	Delta	1185.0	1397.0	978.0	1321.0	1045.0	1268.0	1121.0
2021-12-01	Australia	Delta	1182.0	1395.0	972.0	1324.0	1043.0	1262.0	1114.0
2021-12-02	Australia	Delta	1178.0	1408.0	979.0	1318.0	1033.0	1252.0	1102.0
2021-12-03	Australia	Delta	1172.0	1404.0	969.0	1319.0	1031.0	1260.0	1108.0
2021-12-04	Australia	Delta	1167.0	1393.0	954.0	1317.0	1025.0	1249.0	1096.0
2021-12-05	Australia	Delta	1161.0	1390.0	944.0	1325.0	1028.0	1244.0	1089.0
2021-12-06	Australia	Delta	1156.0	1389.0	936.0	1305.0	1006.0	1235.0	1080.0
2021-12-07	Australia	Delta	1149.0	1379.0	917.0	1301.0	997.0	1229.0	1072.0
2021-12-08	Australia	Delta	1143.0	1388.0	919.0	1293.0	986.0	1219.0	1057.0
2021-12-09	Australia	Delta	1137.0	1383.0	911.0	1292.0	981.0	1215.0	1051.0
2021-12-10	Australia	Delta	1130.0	1385.0	905.0	1290.0	974.0	1211.0	1044.0
2021-12-11	Australia	Delta	1126.0	1382.0	895.0	1282.0	960.0	1206.0	1036.0
2021-12-12	Australia	Delta	1123.0	1386.0	890.0	1286.0	958.0	1204.0	1031.0
2021-12-13	Australia	Delta	1120.0	1390.0	885.0	1279.0	945.0	1196.0	1020.0
2021-12-14	Australia	Delta	1118.0	1385.0	871.0	1274.0	934.0	1196.0	1018.0
2021-12-15	Australia	Delta	1118.0	1381.0	857.0	1277.0	929.0	1200.0	1018.0
2021-12-16	Australia	Delta	1117.0	1389.0	855.0	1283.0	928.0	1202.0	1016.0
2021-12-17	Australia	Delta	1118.0	1393.0	847.0	1291.0	928.0	1207.0	1017.0
2021-12-18	Australia	Delta	1119.0	1410.0	849.0	1299.0	927.0	1210.0	1015.0
2021-12-19	Australia	Delta	1121.0	1421.0	841.0	1318.0	934.0	1221.0	1018.0
2021-12-20	Australia	Delta	1125.0	1430.0	834.0	1324.0	928.0	1210.0	1001.0
2021-12-21	Australia	Delta	1129.0	1442.0	829.0	1339.0	933.0	1219.0	1003.0
