date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2022-03-15	Australia	Delta	3.0	11.0	0.0	6.0	1.0	3.0	1.0
2022-03-16	Australia	Delta	3.0	11.0	0.0	6.0	1.0	3.0	1.0
2022-03-17	Australia	Delta	3.0	10.0	0.0	5.0	0.0	3.0	1.0
2022-03-18	Australia	Delta	2.0	10.0	0.0	5.0	0.0	2.0	1.0
2022-03-19	Australia	Delta	2.0	9.0	0.0	5.0	0.0	2.0	0.0
2022-03-20	Australia	Delta	2.0	8.0	0.0	4.0	0.0	2.0	0.0
2022-03-21	Australia	Delta	2.0	8.0	0.0	4.0	0.0	2.0	0.0
2022-03-15	Australia	Omicron	27675.0	38235.0	19554.0	33833.0	22013.0	29616.0	23382.0
2022-03-16	Australia	Omicron	27736.0	39825.0	18076.0	34532.0	20763.0	30726.0	23424.0
2022-03-17	Australia	Omicron	27968.0	41736.0	16956.0	36334.0	20285.0	30438.0	22025.0
2022-03-18	Australia	Omicron	28121.0	43524.0	15521.0	37150.0	18877.0	31123.0	21686.0
2022-03-19	Australia	Omicron	28268.0	46317.0	14713.0	37677.0	17151.0	31603.0	21020.0
2022-03-20	Australia	Omicron	28356.0	48863.0	12998.0	40173.0	17166.0	32277.0	20458.0
2022-03-21	Australia	Omicron	28546.0	52107.0	12271.0	41373.0	15871.0	32955.0	19706.0
2022-03-15	Australia	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-16	Australia	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-17	Australia	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-18	Australia	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-19	Australia	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-20	Australia	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-21	Australia	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-15	Austria	Delta	10.0	24.0	2.0	17.0	4.0	12.0	5.0
2022-03-16	Austria	Delta	10.0	24.0	3.0	16.0	3.0	11.0	5.0
2022-03-17	Austria	Delta	9.0	23.0	2.0	15.0	3.0	10.0	4.0
2022-03-18	Austria	Delta	9.0	22.0	2.0	14.0	3.0	10.0	4.0
2022-03-19	Austria	Delta	8.0	21.0	1.0	13.0	2.0	9.0	4.0
2022-03-20	Austria	Delta	7.0	20.0	1.0	13.0	2.0	9.0	3.0
2022-03-21	Austria	Delta	7.0	19.0	1.0	12.0	2.0	8.0	3.0
2022-03-15	Austria	Omicron	41086.0	55290.0	28829.0	49710.0	32530.0	45179.0	36085.0
2022-03-16	Austria	Omicron	42420.0	59375.0	26996.0	52491.0	31793.0	46142.0	35021.0
2022-03-17	Austria	Omicron	43544.0	65185.0	26063.0	56215.0	31140.0	48615.0	35319.0
2022-03-18	Austria	Omicron	44899.0	71697.0	25944.0	58445.0	29123.0	49580.0	33887.0
2022-03-19	Austria	Omicron	46250.0	78489.0	24776.0	62567.0	28307.0	51375.0	33274.0
2022-03-20	Austria	Omicron	47768.0	84413.0	21508.0	68710.0	28911.0	55007.0	34025.0
2022-03-21	Austria	Omicron	49179.0	93214.0	20381.0	70973.0	25603.0	55015.0	31165.0
2022-03-15	Austria	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-16	Austria	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-17	Austria	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-18	Austria	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-19	Austria	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-20	Austria	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-21	Austria	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-15	Brazil	Delta	5.0	71.0	0.0	20.0	0.0	5.0	0.0
