date	location	variant	median_R	median_freq	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50
2021-10-15	Australia	Delta	1.0309381	1.0	1.2370491	0.8212215	1.1728973	0.89895344	1.0807586	0.9355653
2021-10-16	Australia	Delta	0.9953307	1.0	1.1444371	0.8536605	1.0843889	0.8972598	1.0457376	0.9464042
2021-10-17	Australia	Delta	0.9627043	1.0	1.0699692	0.8513144	1.0313901	0.8927415	0.99503446	0.9223817
2021-10-18	Australia	Delta	0.9342916	1.0	1.0221292	0.846392	0.98539567	0.8716574	0.9634725	0.9044896
2021-10-19	Australia	Delta	0.90860474	1.0	0.98562837	0.83755386	0.95684725	0.86138296	0.9330338	0.8839422
2021-10-20	Australia	Delta	0.8865732	1.0	0.94292897	0.8221432	0.9230715	0.84348893	0.90781844	0.86740863
2021-10-21	Australia	Delta	0.8683735	1.0	0.92094356	0.8206723	0.9008811	0.83501375	0.8854806	0.85110855
2021-10-22	Australia	Delta	0.85366297	1.0	0.9004991	0.8125356	0.8825008	0.8244321	0.8665054	0.8361745
2021-10-23	Australia	Delta	0.84325856	1.0	0.88882977	0.8018664	0.8724377	0.81583863	0.85990214	0.83031225
2021-10-24	Australia	Delta	0.8371688	1.0	0.8802919	0.7912887	0.86399716	0.80698204	0.848925	0.8187361
2021-10-25	Australia	Delta	0.83443844	1.0	0.87752515	0.78980815	0.86337143	0.8070131	0.84810627	0.81874764
2021-10-26	Australia	Delta	0.8344861	1.0	0.87614053	0.79238266	0.86438525	0.80947554	0.847695	0.8198643
2021-10-27	Australia	Delta	0.8376157	1.0	0.8775764	0.7993751	0.86528647	0.8133596	0.84891105	0.82218623
2021-10-28	Australia	Delta	0.84260106	1.0	0.8792236	0.8049878	0.8691802	0.82038325	0.85584027	0.830088
2021-10-29	Australia	Delta	0.84979784	1.0	0.8865628	0.81566674	0.8740105	0.82706857	0.862587	0.8373618
2021-10-30	Australia	Delta	0.8584889	1.0	0.89307314	0.8231449	0.8835043	0.8368699	0.87075984	0.8462071
2021-10-31	Australia	Delta	0.8682736	1.0	0.9031079	0.8341187	0.8912372	0.8458162	0.87964016	0.85539544
2021-11-01	Australia	Delta	0.87889373	1.0	0.9112955	0.84568566	0.9006654	0.8573246	0.8879167	0.8645924
2021-11-02	Australia	Delta	0.8900917	1.0	0.9220686	0.8603213	0.91177344	0.87137306	0.9030969	0.8815024
2021-11-03	Australia	Delta	0.9023007	1.0	0.9304404	0.8738066	0.9208659	0.883862	0.91312164	0.8932944
2021-11-04	Australia	Delta	0.9146887	1.0	0.94259036	0.8871246	0.93114644	0.8951124	0.9242202	0.9053904
2021-11-05	Australia	Delta	0.92689335	1.0	0.9552716	0.89773464	0.9447529	0.9083079	0.9404562	0.92069507
2021-11-06	Australia	Delta	0.93926644	1.0	0.96973485	0.9077951	0.95892936	0.9189419	0.9491778	0.9281457
2021-11-07	Australia	Delta	0.9516953	1.0	0.9865053	0.91964924	0.9749181	0.9312318	0.9600979	0.93728286
2021-11-08	Australia	Delta	0.96310127	1.0	0.9987647	0.9285415	0.9861185	0.9410173	0.97622377	0.95212615
2021-11-09	Australia	Delta	0.97440314	1.0	1.009977	0.94052947	0.99786156	0.9529756	0.98652995	0.9633253
2021-11-10	Australia	Delta	0.9846674	1.0	1.0179712	0.95274043	1.0059408	0.9635221	0.9961851	0.9741488
2021-11-11	Australia	Delta	0.9942616	1.0	1.0251029	0.96540546	1.0145222	0.97538126	1.0037869	0.98376936
2021-11-12	Australia	Delta	1.0027449	1.0	1.032195	0.976495	1.0206356	0.98500896	1.0112219	0.9921938
2021-11-13	Australia	Delta	1.0106211	0.99997824	1.0389503	0.9842643	1.0281111	0.9929829	1.0195194	1.0001881
2021-11-14	Australia	Delta	1.0172186	0.99963963	1.0448979	0.98907286	1.0345843	0.9968424	1.0281147	1.008104
2021-11-15	Australia	Delta	1.0224838	0.99922067	1.0526807	0.9912937	1.0420628	1.0010388	1.0351325	1.0132307
2021-11-16	Australia	Delta	1.0263584	0.9989766	1.0591556	0.99197024	1.0460787	1.0021218	1.0402901	1.0168813
2021-11-17	Australia	Delta	1.0289993	0.9986237	1.0627234	0.9943379	1.0523183	1.007198	1.0407722	1.0169402
2021-11-18	Australia	Delta	1.0302517	0.99805707	1.0638182	0.99608546	1.0543935	1.0097858	1.041565	1.0183102
2021-11-19	Australia	Delta	1.0301819	0.99742085	1.0618271	0.9963072	1.0520221	1.0089251	1.0409245	1.0187398
2021-11-20	Australia	Delta	1.0292974	0.9967129	1.0606401	0.9978255	1.0490252	1.0084636	1.0402279	1.0187728
2021-11-21	Australia	Delta	1.0277405	0.9956938	1.0573435	0.9963783	1.0498396	1.0101638	1.0363452	1.015347
2021-11-22	Australia	Delta	1.0256122	0.99441653	1.0564526	0.99631846	1.0450314	1.0058467	1.0362138	1.0155134
2021-11-23	Australia	Delta	1.023283	0.99300754	1.0514516	0.9915242	1.042763	1.0034916	1.0336059	1.0128187
2021-11-24	Australia	Delta	1.0206878	0.9913644	1.0498718	0.98975366	1.0398887	1.000827	1.0297301	1.0085895
2021-11-25	Australia	Delta	1.017484	0.9893126	1.0468124	0.98734313	1.0361916	0.9976908	1.0296092	1.0090075
2021-11-26	Australia	Delta	1.0152068	0.9867452	1.0443938	0.9864641	1.0342499	0.99720913	1.0236241	1.0036452
2021-11-27	Australia	Delta	1.0129411	0.98367107	1.0408683	0.98498935	1.0321355	0.9960556	1.0218998	1.0024645
2021-11-28	Australia	Delta	1.012543	0.9802802	1.0402199	0.9853605	1.0323353	0.9961119	1.0212837	1.0021363
2021-11-29	Australia	Delta	1.0137341	0.9762059	1.041961	0.9858629	1.0322157	0.9952647	1.0219302	1.0022725
2021-11-30	Australia	Delta	1.017018	0.9710469	1.0455474	0.98735666	1.0356007	0.9972318	1.0271627	1.0070021
2021-12-01	Australia	Delta	1.0229924	0.9648495	1.0538259	0.9941866	1.0415974	1.0020838	1.0324786	1.0118408
2021-12-02	Australia	Delta	1.0322428	0.9575872	1.062267	1.0014243	1.0535808	1.0133623	1.0436407	1.0221909
2021-12-03	Australia	Delta	1.0451069	0.9487863	1.073852	1.012496	1.0659548	1.025763	1.0566009	1.0353508
2021-12-04	Australia	Delta	1.0610628	0.9382356	1.0886406	1.0284749	1.0803143	1.0408142	1.0719824	1.0510522
2021-12-05	Australia	Delta	1.0787165	0.9258239	1.1072819	1.0466665	1.097347	1.0572673	1.0902288	1.0689116
2021-12-06	Australia	Delta	1.0972707	0.9110919	1.1283026	1.0658159	1.1188285	1.0774468	1.1093569	1.0873268
2021-12-07	Australia	Delta	1.1155772	0.8936362	1.1471404	1.0800169	1.1380746	1.0931833	1.1279948	1.1042621
2021-12-08	Australia	Delta	1.1328293	0.87316823	1.1678296	1.0946543	1.1570723	1.1082857	1.1444381	1.1188878
2021-12-09	Australia	Delta	1.147818	0.8493394	1.1857892	1.1067975	1.1731954	1.1203594	1.1647171	1.1368078
2021-12-10	Australia	Delta	1.1592541	0.8220551	1.200362	1.1158298	1.1909382	1.1342795	1.1751553	1.1460238
2021-12-11	Australia	Delta	1.1663958	0.79112357	1.2112685	1.1229666	1.195082	1.1370296	1.1834188	1.1531001
2021-12-12	Australia	Delta	1.1694562	0.7563984	1.2111747	1.1210282	1.1980772	1.1391858	1.1838825	1.1529514
2021-12-13	Australia	Delta	1.1696079	0.71867764	1.2148169	1.1217935	1.199248	1.1393306	1.185885	1.1545671
2021-12-14	Australia	Delta	1.1678145	0.67790043	1.2138196	1.1173061	1.1989664	1.1371585	1.1837215	1.1512395
2021-12-15	Australia	Delta	1.1642342	0.6347562	1.217877	1.1176462	1.1974615	1.1328895	1.1817776	1.1478359
2021-12-16	Australia	Delta	1.1617961	0.5902842	1.2129018	1.1086416	1.1969346	1.1294959	1.182539	1.1473253
2021-12-17	Australia	Delta	1.159451	0.54505825	1.2149355	1.1065522	1.1973858	1.126848	1.1729333	1.1366832
2021-12-18	Australia	Delta	1.1592184	0.5000115	1.2203108	1.1075451	1.1984037	1.1251796	1.176326	1.139177
2021-12-19	Australia	Delta	1.1622291	0.4557085	1.2206798	1.1062769	1.1975428	1.1228696	1.1807214	1.1420901
2021-12-20	Australia	Delta	1.1672117	0.41322106	1.2320852	1.1154448	1.2060972	1.1306628	1.1904469	1.1506876
2021-12-21	Australia	Delta	1.1751051	0.37270594	1.2363142	1.1154095	1.2133754	1.1354748	1.1951011	1.1542462
2021-12-22	Australia	Delta	1.1862773	0.3345151	1.2502248	1.1250123	1.2285339	1.1472466	1.205303	1.1630976
2021-12-23	Australia	Delta	1.1995535	0.29912633	1.2640412	1.1310232	1.2407529	1.1550459	1.2180215	1.173803
2021-12-24	Australia	Delta	1.215946	0.26657963	1.2850505	1.1435972	1.2593278	1.1686739	1.2396543	1.1923447
2021-12-25	Australia	Delta	1.2352208	0.23688585	1.3086756	1.1562842	1.2881447	1.1910523	1.2620057	1.2115513
2021-12-26	Australia	Delta	1.2576809	0.2099728	1.3411444	1.1800947	1.3147782	1.2125539	1.2833791	1.2297751
2021-12-27	Australia	Delta	1.2820909	0.18561369	1.3690358	1.2000234	1.3371128	1.2288938	1.305821	1.248886
2021-12-28	Australia	Delta	1.3061831	0.16388428	1.3939228	1.2124686	1.3627148	1.2468942	1.3434579	1.2820853
2021-12-29	Australia	Delta	1.3265791	0.1446152	1.4216691	1.2284211	1.3880606	1.2631559	1.3657256	1.3004818
2021-12-30	Australia	Delta	1.3396573	0.1274297	1.4446473	1.2380551	1.4006348	1.2655048	1.3702354	1.2994609
2021-12-31	Australia	Delta	1.3405757	0.11230669	1.4502614	1.2294865	1.4216292	1.2758455	1.3711321	1.2945449
2022-01-01	Australia	Delta	1.3264194	0.09877297	1.4380829	1.2038792	1.3997699	1.2461162	1.3550029	1.2737436
2022-01-02	Australia	Delta	1.2937415	0.08693156	1.4167686	1.1704768	1.3744841	1.2140129	1.3283944	1.2449157
2022-01-03	Australia	Delta	1.2402015	0.07660442	1.3678672	1.1166458	1.3212178	1.1579428	1.2838367	1.1986504
2022-01-04	Australia	Delta	1.1669058	0.067584634	1.2974018	1.0514467	1.2479136	1.0859629	1.2102757	1.1265473
2022-01-05	Australia	Delta	1.0815866	0.05989949	1.1958315	0.95816654	1.1566277	1.000025	1.1247263	1.0442289
2022-01-06	Australia	Delta	0.9922508	0.053270686	1.1010718	0.8748018	1.0618776	0.912533	1.0327231	0.95644253
2022-01-07	Australia	Delta	0.9044081	0.04764531	1.0124211	0.79650766	0.97309524	0.8305462	0.9396068	0.86689955
2022-01-08	Australia	Delta	0.8232002	0.04287365	0.9241976	0.7202531	0.89213604	0.7583158	0.8607781	0.7918874
2022-01-09	Australia	Delta	0.7512285	0.03886509	0.84853035	0.6561363	0.81254596	0.6861255	0.7824749	0.7176111
2022-01-10	Australia	Delta	0.68994236	0.03550521	0.782926	0.6002047	0.75048846	0.63075405	0.7169919	0.6553588
2022-01-11	Australia	Delta	0.64035517	0.032722235	0.7271084	0.5520298	0.69732237	0.5830126	0.6711977	0.61184895
2022-01-12	Australia	Delta	0.60380614	0.030377982	0.68542606	0.51575047	0.6580115	0.5480858	0.62838197	0.57097375
2022-01-13	Australia	Delta	0.5777699	0.028366635	0.6606052	0.49386147	0.6301502	0.5230069	0.6026322	0.546614
2022-01-14	Australia	Delta	0.55978215	0.026637606	0.6394165	0.47323856	0.61214423	0.50563234	0.5854174	0.5294854
2022-01-15	Australia	Delta	0.54959357	0.025202297	0.6323621	0.46374908	0.60059583	0.4935462	0.5746261	0.5181089
2022-01-16	Australia	Delta	0.5451562	0.02400409	0.63485295	0.46293253	0.5974138	0.48728544	0.57565147	0.51761377
2022-01-17	Australia	Delta	0.54685885	0.022868484	0.6287869	0.45201433	0.60116214	0.48824862	0.5754611	0.51595724
2022-01-18	Australia	Delta	0.5541954	0.021787092	0.646417	0.4661351	0.61226475	0.4949025	0.58604956	0.5247369
2022-01-19	Australia	Delta	0.56573635	0.020831157	0.657995	0.472063	0.6214058	0.50023615	0.5986793	0.5349899
2022-01-20	Australia	Delta	0.581721	0.01996031	0.67635804	0.48695835	0.6381119	0.51395404	0.6170404	0.55215645
2022-01-21	Australia	Delta	0.6005738	0.019080026	0.70223975	0.508554	0.6622278	0.53450817	0.6307975	0.5637385
2022-01-22	Australia	Delta	0.6187735	0.018227903	0.7221788	0.51789564	0.68490267	0.5500773	0.65867865	0.58873874
2022-01-23	Australia	Delta	0.63471746	0.017395835	0.7489134	0.5358768	0.7050579	0.56317717	0.6795381	0.60673285
2022-01-24	Australia	Delta	0.6439862	0.016544983	0.7568416	0.534832	0.7124046	0.564901	0.67614084	0.6000658
2022-01-25	Australia	Delta	0.6444205	0.015739977	0.7589949	0.53046	0.714335	0.56393886	0.6814457	0.6033268
2022-01-26	Australia	Delta	0.63408023	0.014938686	0.7591447	0.527714	0.702628	0.55019957	0.67158806	0.59306085
2022-01-27	Australia	Delta	0.60956144	0.014086624	0.7255811	0.49590963	0.68975645	0.5384692	0.6504884	0.5725609
2022-01-28	Australia	Delta	0.5705404	0.013312303	0.682973	0.4569034	0.6486032	0.50046474	0.6090554	0.532692
2022-01-29	Australia	Delta	0.5246872	0.012561108	0.64010656	0.41748914	0.59825945	0.44954237	0.56077677	0.4850468
2022-01-30	Australia	Delta	0.47639793	0.011869971	0.6036543	0.37259895	0.5488908	0.39871895	0.5125401	0.4368847
2022-01-31	Australia	Delta	0.4296112	0.011270359	0.5504806	0.3153963	0.50188804	0.35140494	0.46136844	0.38200057
2022-02-01	Australia	Delta	0.3904342	0.010733003	0.5173362	0.2747183	0.46635535	0.30719304	0.42787707	0.3464061
2022-02-02	Australia	Delta	0.3575577	0.010287873	0.49631605	0.23974669	0.4323483	0.2607891	0.39528382	0.30701706
2022-02-03	Australia	Delta	0.33421123	0.00997836	0.49610752	0.19906738	0.42310405	0.22576945	0.36811787	0.2664154
2021-10-15	Australia	Omicron	2.0358	0.0	2.4793344	1.6192932	2.3292408	1.760974	2.163605	1.8685681
2021-10-16	Australia	Omicron	1.9780345	0.0	2.2984858	1.6545949	2.1996772	1.7808876	2.0996559	1.8815626
2021-10-17	Australia	Omicron	1.9273486	0.0	2.1960423	1.6650184	2.0999682	1.7612383	2.0064242	1.8271298
2021-10-18	Australia	Omicron	1.879691	0.0	2.11304	1.6478202	2.0337574	1.7318513	1.9457209	1.7902997
2021-10-19	Australia	Omicron	1.8366289	0.0	2.0514328	1.6298326	1.9710523	1.6979904	1.9069633	1.7661066
2021-10-20	Australia	Omicron	1.7988575	0.0	1.9887164	1.6094905	1.9281843	1.6794813	1.8580062	1.731173
2021-10-21	Australia	Omicron	1.7697644	0.0	1.942411	1.5913262	1.8831285	1.6549653	1.8162267	1.7004775
2021-10-22	Australia	Omicron	1.7439797	0.0	1.9017959	1.5685902	1.8614664	1.6452513	1.7964971	1.6863306
2021-10-23	Australia	Omicron	1.7276995	0.0	1.8871132	1.5653362	1.8343315	1.6230619	1.7765762	1.6690564
2021-10-24	Australia	Omicron	1.718677	0.0	1.8763609	1.5584996	1.8245946	1.6138942	1.7661968	1.6592696
2021-10-25	Australia	Omicron	1.7153046	0.0	1.8767753	1.5571414	1.8187094	1.6093872	1.7555186	1.6487639
2021-10-26	Australia	Omicron	1.7197843	0.0	1.8897715	1.5727509	1.8241835	1.6162195	1.7667532	1.6591094
2021-10-27	Australia	Omicron	1.7280698	0.0	1.8906696	1.5783135	1.8288739	1.6222091	1.7816826	1.6741647
2021-10-28	Australia	Omicron	1.7412276	0.0	1.8949857	1.5861177	1.8412324	1.6343158	1.7798611	1.6733241
2021-10-29	Australia	Omicron	1.7566588	0.0	1.9080541	1.5977576	1.8604949	1.6546867	1.8009989	1.695903
2021-10-30	Australia	Omicron	1.7761109	0.0	1.9320102	1.6190159	1.8855945	1.6783469	1.8177264	1.7117665
2021-10-31	Australia	Omicron	1.7967609	0.0	1.9671253	1.6498688	1.90952	1.7032019	1.8488306	1.742652
2021-11-01	Australia	Omicron	1.819077	0.0	1.9704369	1.6571395	1.9270782	1.7227821	1.8688225	1.7633902
