date	location	variant	median_R	median_freq	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50
2022-01-20	Australia	Delta	0.20192403	0.003443905	0.27941403	0.1363546	0.24874017	0.15486604	0.21897016	0.16970375
2022-01-21	Australia	Delta	0.20192403	0.0029508779	0.27941403	0.1363546	0.24874017	0.15486604	0.21897016	0.16970375
2022-01-22	Australia	Delta	0.20192403	0.0025250404	0.27941403	0.1363546	0.24874017	0.15486604	0.21897016	0.16970375
2022-01-23	Australia	Delta	0.20192403	0.002162986	0.27941403	0.1363546	0.24874017	0.15486604	0.21897016	0.16970375
2022-01-24	Australia	Delta	0.20192403	0.0018540478	0.27941403	0.1363546	0.24874017	0.15486604	0.21897016	0.16970375
2022-01-25	Australia	Delta	0.20192403	0.0015888847	0.27941403	0.1363546	0.24874017	0.15486604	0.21897016	0.16970375
2022-01-26	Australia	Delta	0.20192403	0.0013639824	0.27941403	0.1363546	0.24874017	0.15486604	0.21897016	0.16970375
2022-01-20	Australia	Omicron	0.5668591	0.99644977	0.7723213	0.3873379	0.6980633	0.44298142	0.6195031	0.48707542
2022-01-21	Australia	Omicron	0.5668591	0.99695396	0.7723213	0.3873379	0.6980633	0.44298142	0.6195031	0.48707542
2022-01-22	Australia	Omicron	0.5668591	0.99738735	0.7723213	0.3873379	0.6980633	0.44298142	0.6195031	0.48707542
2022-01-23	Australia	Omicron	0.5668591	0.99775565	0.7723213	0.3873379	0.6980633	0.44298142	0.6195031	0.48707542
2022-01-24	Australia	Omicron	0.5668591	0.9980714	0.7723213	0.3873379	0.6980633	0.44298142	0.6195031	0.48707542
2022-01-25	Australia	Omicron	0.5668591	0.9983437	0.7723213	0.3873379	0.6980633	0.44298142	0.6195031	0.48707542
2022-01-26	Australia	Omicron	0.5668591	0.9985763	0.7723213	0.3873379	0.6980633	0.44298142	0.6195031	0.48707542
2022-01-20	Australia	other	0.28926474	9.9180485e-05	0.39565155	0.19830033	0.3534773	0.22364464	0.3138618	0.24580957
2022-01-21	Australia	other	0.28926474	8.96073e-05	0.39565155	0.19830033	0.3534773	0.22364464	0.3138618	0.24580957
2022-01-22	Australia	other	0.28926474	8.068935e-05	0.39565155	0.19830033	0.3534773	0.22364464	0.3138618	0.24580957
2022-01-23	Australia	other	0.28926474	7.2913244e-05	0.39565155	0.19830033	0.3534773	0.22364464	0.3138618	0.24580957
2022-01-24	Australia	other	0.28926474	6.587937e-05	0.39565155	0.19830033	0.3534773	0.22364464	0.3138618	0.24580957
2022-01-25	Australia	other	0.28926474	5.948256e-05	0.39565155	0.19830033	0.3534773	0.22364464	0.3138618	0.24580957
2022-01-26	Australia	other	0.28926474	5.374938e-05	0.39565155	0.19830033	0.3534773	0.22364464	0.3138618	0.24580957
2022-01-20	Brazil	Delta	0.81949174	0.0003971213	2.1573434	0.17587619	1.4324005	0.27017716	0.90187407	0.35979718
2022-01-21	Brazil	Delta	0.81949174	0.00030422187	2.1573434	0.17587619	1.4324005	0.27017716	0.90187407	0.35979718
