date	location	variant	median_R	median_freq	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50
2021-10-01	Denmark	Delta	1.496986	0.99713033	1.8846737	1.1279839	1.7400208	1.236684	1.6205065	1.3566874
2021-10-02	Denmark	Delta	1.418536	0.9971303	1.7048593	1.1291093	1.5995929	1.2274615	1.5178719	1.3190887
2021-10-03	Denmark	Delta	1.3541552	0.9971311	1.5996602	1.126097	1.504035	1.1940472	1.4339206	1.2677231
2021-10-04	Denmark	Delta	1.3041376	0.997162	1.5058595	1.122582	1.4284399	1.1716875	1.3686424	1.234509
2021-10-05	Denmark	Delta	1.2714889	0.9973391	1.4379221	1.097164	1.3797508	1.1545048	1.3234189	1.2036693
2021-10-06	Denmark	Delta	1.2521746	0.9976818	1.4102969	1.0995066	1.3497434	1.1452954	1.3083285	1.2008533
2021-10-07	Denmark	Delta	1.2444855	0.9980498	1.3850005	1.0972815	1.336076	1.1457067	1.2813425	1.1822267
2021-10-08	Denmark	Delta	1.2458649	0.99832094	1.3919097	1.1193444	1.3391784	1.1600236	1.281121	1.1901752
2021-10-09	Denmark	Delta	1.2561514	0.99849033	1.3911666	1.127545	1.3443811	1.1743182	1.2928213	1.2024666
2021-10-10	Denmark	Delta	1.2767963	0.9986139	1.4097085	1.1471775	1.3602874	1.1913029	1.3286965	1.2394941
2021-10-11	Denmark	Delta	1.3054614	0.998726	1.4415046	1.1767195	1.3855348	1.2179468	1.3477368	1.2597276
2021-10-12	Denmark	Delta	1.3420203	0.99884003	1.4773562	1.2233864	1.4256635	1.2626212	1.3784051	1.2922348
2021-10-13	Denmark	Delta	1.3838749	0.99895394	1.5144589	1.2721031	1.4594303	1.3036726	1.4189727	1.335365
2021-10-14	Denmark	Delta	1.4278541	0.99905795	1.5536487	1.3039665	1.5079422	1.3441983	1.4592094	1.3735958
2021-10-15	Denmark	Delta	1.4666704	0.99914896	1.6120319	1.3396404	1.5537045	1.3745165	1.5129457	1.4191208
2021-10-16	Denmark	Delta	1.4978406	0.9992285	1.6419327	1.3493598	1.5986063	1.4050194	1.5505537	1.4485536
2021-10-17	Denmark	Delta	1.5116551	0.9993019	1.6612194	1.3546891	1.6094291	1.4105263	1.5586082	1.4536672
2021-10-18	Denmark	Delta	1.5111206	0.9993694	1.6640676	1.3595988	1.6061242	1.4085513	1.5529121	1.4479039
2021-10-19	Denmark	Delta	1.4973258	0.9994283	1.66012	1.3649192	1.5881562	1.3996392	1.5422926	1.4417229
2021-10-20	Denmark	Delta	1.4692423	0.9994823	1.6089787	1.3383088	1.5589521	1.3830822	1.5043011	1.4115827
2021-10-21	Denmark	Delta	1.4316232	0.9995284	1.554306	1.3076693	1.5177088	1.3548045	1.4687927	1.3829485
2021-10-22	Denmark	Delta	1.3906958	0.999569	1.5203615	1.2819543	1.4754066	1.3180373	1.4343622	1.3490914
2021-10-23	Denmark	Delta	1.3522513	0.99960715	1.4759523	1.2266704	1.4332621	1.2722954	1.3924377	1.3051057
2021-10-24	Denmark	Delta	1.3195148	0.9996377	1.4435675	1.1877043	1.4077005	1.2404526	1.3592341	1.27204
2021-10-25	Denmark	Delta	1.294476	0.99966353	1.4214408	1.165473	1.3727026	1.2065248	1.3366157	1.2507004
2021-10-26	Denmark	Delta	1.2783961	0.9996855	1.3972223	1.155159	1.3664473	1.2074978	1.3147455	1.23212
2021-10-27	Denmark	Delta	1.2705948	0.9997029	1.384928	1.154056	1.3457618	1.1954486	1.305347	1.2250466
2021-10-28	Denmark	Delta	1.2696984	0.999717	1.3792129	1.1612659	1.3512571	1.2043159	1.3142791	1.2369775
2021-10-29	Denmark	Delta	1.2758355	0.9997268	1.3843868	1.1701678	1.3433043	1.2037666	1.3089288	1.2345874
2021-10-30	Denmark	Delta	1.2842298	0.99973667	1.3897684	1.1760769	1.352598	1.2145774	1.3261931	1.2534504
2021-10-31	Denmark	Delta	1.296716	0.99974525	1.4049282	1.1837332	1.3677342	1.2245322	1.3362405	1.2632906
2021-11-01	Denmark	Delta	1.3102102	0.9997517	1.421757	1.1948656	1.3864012	1.240567	1.3522439	1.2759874
2021-11-02	Denmark	Delta	1.3225636	0.9997562	1.4417324	1.2136072	1.3966622	1.2497061	1.3636347	1.2859741
2021-11-03	Denmark	Delta	1.3329238	0.9997578	1.4546297	1.2269074	1.4059228	1.2571689	1.3746626	1.2972419
2021-11-04	Denmark	Delta	1.3409969	0.9997598	1.4604838	1.2243351	1.4193188	1.2662339	1.3794366	1.2984141
2021-11-05	Denmark	Delta	1.3454285	0.99975955	1.4639678	1.2216195	1.4272748	1.2699627	1.3850929	1.3009423
2021-11-06	Denmark	Delta	1.3450865	0.9997591	1.4674857	1.2188537	1.4236406	1.2645367	1.3739121	1.2902797
2021-11-07	Denmark	Delta	1.3357823	0.9997572	1.4646188	1.2125558	1.4106156	1.2463275	1.3704042	1.2863927
2021-11-08	Denmark	Delta	1.3214257	0.99975455	1.4449561	1.1842293	1.4075325	1.238222	1.3680183	1.2829186
2021-11-09	Denmark	Delta	1.2992301	0.9997488	1.4296279	1.1747848	1.3731043	1.2074068	1.3471386	1.2604051
2021-11-10	Denmark	Delta	1.270869	0.99974304	1.3908964	1.1504016	1.3420694	1.1852386	1.3090184	1.2243994
2021-11-11	Denmark	Delta	1.2390852	0.99973476	1.3670055	1.1384134	1.3155715	1.1645303	1.2836804	1.2015592
2021-11-12	Denmark	Delta	1.2064722	0.9997225	1.3321671	1.1010634	1.2865665	1.134588	1.235381	1.1537168
2021-11-13	Denmark	Delta	1.1740146	0.99970526	1.2886139	1.053291	1.2488852	1.0961072	1.2093723	1.1259421
2021-11-14	Denmark	Delta	1.1462257	0.99968266	1.2647612	1.0342643	1.2228541	1.0717365	1.1846896	1.1037897
2021-11-15	Denmark	Delta	1.1200486	0.99965614	1.238985	1.0163748	1.1921592	1.0483159	1.154973	1.0803512
2021-11-16	Denmark	Delta	1.1001911	0.99961877	1.2011334	0.9900854	1.1710768	1.0353795	1.1308402	1.0602783
2021-11-17	Denmark	Delta	1.083842	0.9995682	1.187832	0.98337245	1.1496758	1.0154202	1.1139439	1.0444747
2021-11-18	Denmark	Delta	1.0716225	0.99951136	1.1696613	0.97287047	1.1353481	1.0049298	1.1068243	1.0386672
2021-11-19	Denmark	Delta	1.0628147	0.99943405	1.1569245	0.96325606	1.1254262	0.99743944	1.1076418	1.0395356
2021-11-20	Denmark	Delta	1.0571563	0.99933875	1.1512352	0.95906264	1.1130399	0.98649925	1.0929153	1.0278741
2021-11-21	Denmark	Delta	1.0533384	0.9992125	1.1459656	0.9523787	1.1090204	0.98254424	1.0965145	1.0319357
2021-11-22	Denmark	Delta	1.0520761	0.9990463	1.147654	0.95437324	1.1169192	0.9901607	1.08658	1.0225528
2021-11-23	Denmark	Delta	1.0538511	0.9988462	1.1525658	0.95859706	1.1151063	0.9885216	1.0826628	1.0163682
2021-11-24	Denmark	Delta	1.0603473	0.99858373	1.157078	0.95414716	1.1251454	0.99313843	1.0862986	1.0151955
2021-11-25	Denmark	Delta	1.0695736	0.9982285	1.177944	0.95760316	1.133518	0.9888423	1.1123406	1.0345654
2021-11-26	Denmark	Delta	1.0863535	0.99777067	1.2101883	0.9687565	1.1581059	1.0014755	1.1241108	1.0414649
2021-11-27	Denmark	Delta	1.1090071	0.99719507	1.2398419	0.9744735	1.1959381	1.021903	1.1557109	1.0662471
2021-11-28	Denmark	Delta	1.1357665	0.99645686	1.2853303	0.9818119	1.2287105	1.0275688	1.1852111	1.0832485
2021-11-29	Denmark	Delta	1.1672081	0.9954739	1.3668013	0.9983368	1.2892945	1.0488304	1.2288594	1.1049782
2021-11-30	Denmark	Delta	1.2028928	0.9941904	1.4480336	0.97580415	1.3537176	1.0473859	1.2570817	1.0993482
2021-12-01	Denmark	Delta	1.2430507	0.99259	1.578407	0.958049	1.455647	1.0485928	1.3104092	1.101891
2021-12-02	Denmark	Delta	1.2810116	0.99054253	1.7298906	0.90588176	1.5370435	1.0051712	1.3857691	1.1126101
2021-12-03	Denmark	Delta	1.3196788	0.98797995	1.9094797	0.84642696	1.6724709	0.99075615	1.4716511	1.1207938
2021-12-04	Denmark	Delta	1.3589501	0.98462987	2.1435652	0.79614675	1.7421033	0.8877897	1.5097218	1.074795
2021-12-05	Denmark	Delta	1.3658721	0.9803857	2.32593	0.64690614	1.8556203	0.8009528	1.5312939	1.0048097
2021-12-06	Denmark	Delta	1.3294213	0.97514224	2.66579	0.42804858	1.9070921	0.57208806	1.5637927	0.9097371
2021-10-01	Denmark	Omicron	0.5109816	0.0013873326	0.8221743	0.26844874	0.671494	0.3166923	0.58198315	0.3960418
2021-10-02	Denmark	Omicron	0.4969148	0.0013873326	0.7866446	0.27821004	0.65287334	0.33184934	0.56927323	0.4073661
2021-10-03	Denmark	Omicron	0.49373186	0.0013869789	0.7874481	0.2838201	0.64700216	0.33002824	0.5603801	0.40148443
2021-10-04	Denmark	Omicron	0.49735773	0.0013708323	0.7796316	0.28904772	0.6640476	0.34955734	0.54880846	0.39199144
2021-10-05	Denmark	Omicron	0.5027899	0.0012749819	0.7816299	0.29458392	0.6459341	0.33037275	0.5393428	0.37783277
2021-10-06	Denmark	Omicron	0.51045734	0.0010831761	0.80294406	0.30930936	0.6833581	0.3631328	0.5709847	0.40695614
2021-10-07	Denmark	Omicron	0.51975876	0.00088492467	0.815106	0.31100792	0.68491375	0.36136687	0.5921445	0.42502236
2021-10-08	Denmark	Omicron	0.5315348	0.000733573	0.82059413	0.3097623	0.70176345	0.3724143	0.5956009	0.42730135
2021-10-09	Denmark	Omicron	0.5454687	0.000631299	0.8436091	0.33371675	0.69589	0.3656292	0.61230254	0.4443997
2021-10-10	Denmark	Omicron	0.56006944	0.00056129426	0.8518015	0.34291178	0.71370393	0.38511065	0.6235984	0.45408025
2021-10-11	Denmark	Omicron	0.5750729	0.0005040787	0.8595953	0.347243	0.7328645	0.40159458	0.6437644	0.4729162
2021-10-12	Denmark	Omicron	0.59174323	0.00044373004	0.89082074	0.378785	0.73829603	0.407238	0.65716594	0.48385447
2021-10-13	Denmark	Omicron	0.60843754	0.00038705	0.90173346	0.38419962	0.7707007	0.43803298	0.66827655	0.49322608
2021-10-14	Denmark	Omicron	0.6259272	0.0003351768	0.93682116	0.40884566	0.7967702	0.46006933	0.68438697	0.50682706
2021-10-15	Denmark	Omicron	0.64479804	0.00029260368	0.943872	0.40406144	0.8224146	0.47988063	0.7012535	0.524179
2021-10-16	Denmark	Omicron	0.6669979	0.00025606508	0.96570796	0.41323245	0.84819686	0.49619156	0.7312151	0.5514549
2021-10-17	Denmark	Omicron	0.6927556	0.00022477144	1.0154977	0.44707775	0.86528563	0.5081063	0.76577127	0.58013415
2021-10-18	Denmark	Omicron	0.7220429	0.00019676049	1.0362852	0.45252198	0.89574635	0.5304667	0.7810887	0.5874207
2021-10-19	Denmark	Omicron	0.75313306	0.00017217253	1.1010712	0.50104445	0.93477714	0.55778795	0.82988113	0.63141596
2021-10-20	Denmark	Omicron	0.7830945	0.0001503288	1.1345215	0.5129229	0.9627583	0.57068425	0.8637967	0.6567198
2021-10-21	Denmark	Omicron	0.8155099	0.00013162628	1.1648388	0.52432036	1.0378133	0.63145065	0.91569376	0.700347
2021-10-22	Denmark	Omicron	0.8535162	0.00011675115	1.2152501	0.54764086	1.0569849	0.6335131	0.9308084	0.7081328
2021-10-23	Denmark	Omicron	0.89663875	0.000104009036	1.2771397	0.5809171	1.0888711	0.64641136	0.9904844	0.7600606
2021-10-24	Denmark	Omicron	0.9415679	9.4378076e-05	1.3673704	0.63512564	1.1957337	0.73064363	1.0386351	0.8029892
2021-10-25	Denmark	Omicron	0.9874842	8.569879e-05	1.4135087	0.6553346	1.2114086	0.7283215	1.0916166	0.8457373
2021-10-26	Denmark	Omicron	1.0431843	7.932159e-05	1.5147178	0.6889943	1.2883894	0.77414477	1.1642284	0.9004702
2021-10-27	Denmark	Omicron	1.1020986	7.402901e-05	1.6164662	0.7283244	1.3799107	0.8177577	1.2612448	0.9682555
2021-10-28	Denmark	Omicron	1.1692328	7.00515e-05	1.68136	0.7301936	1.4766989	0.8594557	1.3367662	1.0134306
2021-10-29	Denmark	Omicron	1.2406257	6.734061e-05	1.8132664	0.76195526	1.5689001	0.88590604	1.4015353	1.0531958
2021-10-30	Denmark	Omicron	1.3185523	6.526209e-05	1.962668	0.78486156	1.6756397	0.92830783	1.4425434	1.0605024
2021-10-31	Denmark	Omicron	1.397794	6.402345e-05	2.0983126	0.8293125	1.8051349	0.9900836	1.6055784	1.1810642
2021-11-01	Denmark	Omicron	1.4837081	6.329121e-05	2.2305472	0.84627575	1.9219632	1.0324161	1.645144	1.1782894
2021-11-02	Denmark	Omicron	1.5854747	6.2231076e-05	2.3971157	0.8922664	2.0542405	1.1012627	1.794169	1.2945728
2021-11-03	Denmark	Omicron	1.6950333	6.257476e-05	2.588098	1.0099176	2.144555	1.145705	1.88847	1.3589711
2021-11-04	Denmark	Omicron	1.8108273	6.28074e-05	2.6756692	1.0462714	2.3289967	1.2867024	2.0829957	1.5248685
2021-11-05	Denmark	Omicron	1.9433632	6.453162e-05	2.8637695	1.1732006	2.4615889	1.3820955	2.1678722	1.5938051
2021-11-06	Denmark	Omicron	2.079843	6.616693e-05	2.972107	1.2530289	2.6095176	1.4939938	2.3125675	1.7228193
2021-11-07	Denmark	Omicron	2.2186658	6.89962e-05	3.1559653	1.3940017	2.8004036	1.6332866	2.4361725	1.8326097
2021-11-08	Denmark	Omicron	2.363566	7.248912e-05	3.3841825	1.5300319	2.9451475	1.7323666	2.6000662	1.974896
2021-11-09	Denmark	Omicron	2.514223	7.79058e-05	3.6259506	1.6690295	3.1144824	1.84465	2.7590926	2.1013649
2021-11-10	Denmark	Omicron	2.6762624	8.3805506e-05	3.7815633	1.7012812	3.3517263	1.9956816	2.965933	2.2702622
2021-11-11	Denmark	Omicron	2.8322072	9.2126276e-05	4.080422	1.8149397	3.6424565	2.180293	3.1409178	2.3868535
2021-11-12	Denmark	Omicron	3.0041335	0.00010224013	4.359663	1.8922737	3.7212663	2.1272278	3.263268	2.4324677
2021-11-13	Denmark	Omicron	3.187996	0.000114026385	4.598698	1.8708388	3.9724038	2.2544959	3.4603624	2.5478172
2021-11-14	Denmark	Omicron	3.373373	0.00012964549	5.03372	2.118955	4.213707	2.3632598	3.7343464	2.7580712
2021-11-15	Denmark	Omicron	3.5673492	0.00014957218	5.2121305	2.1584473	4.524209	2.5331604	3.9154234	2.8706036
2021-11-16	Denmark	Omicron	3.7524495	0.00017518332	5.5771174	2.331263	4.786206	2.6566033	4.1256013	3.013017
2021-11-17	Denmark	Omicron	3.9307334	0.00021006586	5.8074827	2.3810632	5.0940895	2.8471112	4.3326025	3.164353
2021-11-18	Denmark	Omicron	4.104947	0.00025514897	6.1239715	2.5590672	5.238868	2.9106677	4.561936	3.352428
2021-11-19	Denmark	Omicron	4.290847	0.00031214266	6.3464303	2.669678	5.5084963	3.0872955	4.7631626	3.5166845
2021-11-20	Denmark	Omicron	4.443051	0.00038362283	6.527534	2.7617452	5.759578	3.2577453	4.9673057	3.7051768
2021-11-21	Denmark	Omicron	4.6077023	0.0004785074	6.7481756	2.8668475	5.844227	3.3016562	5.0156956	3.7129917
2021-11-22	Denmark	Omicron	4.741847	0.00060184265	6.9149637	2.923804	6.0585313	3.4576087	5.1689787	3.8304126
2021-11-23	Denmark	Omicron	4.871003	0.00076956896	7.143414	3.0587964	6.2223215	3.54587	5.339696	3.9845812
2021-11-24	Denmark	Omicron	4.952217	0.000992826	7.3971415	3.1512427	6.35168	3.6235247	5.525219	4.11177
2021-11-25	Denmark	Omicron	5.015626	0.0012907479	7.400795	2.9897316	6.4561367	3.6463892	5.558631	4.0807986
2021-11-26	Denmark	Omicron	5.0777054	0.0016588755	7.6773033	3.121201	6.573203	3.6365755	5.63031	4.0983334
2021-11-27	Denmark	Omicron	5.1350784	0.0021724822	7.8598337	3.0841074	6.668643	3.6015384	5.70296	4.090874
2021-11-28	Denmark	Omicron	5.1807714	0.002851037	7.9369392	2.939567	6.737487	3.5721636	5.785547	4.1016607
2021-11-29	Denmark	Omicron	5.2528934	0.0037335309	8.180541	2.9440084	6.798267	3.5193791	5.750196	3.9915166
2021-11-30	Denmark	Omicron	5.298099	0.0048963265	8.3602705	2.9329004	6.980461	3.5820463	5.994128	4.176322
2021-12-01	Denmark	Omicron	5.349147	0.0063969092	8.507165	2.86804	7.204016	3.6053789	6.03473	4.1453156
2021-12-02	Denmark	Omicron	5.411401	0.008255588	8.664197	2.7432199	7.2981772	3.5240185	6.170003	4.1924047
2021-12-03	Denmark	Omicron	5.4340243	0.010758247	8.878379	2.5729446	7.449591	3.4117477	6.1219654	4.043583
2021-12-04	Denmark	Omicron	5.4008107	0.014047564	9.371476	2.5725946	7.368371	3.0088408	6.097	3.8796058
2021-12-05	Denmark	Omicron	5.386446	0.017989065	9.632515	2.3642383	7.629676	2.9001472	6.0702715	3.6859014
2021-12-06	Denmark	Omicron	5.450168	0.023124773	10.792315	1.9078176	8.098734	2.6319582	6.2575517	3.4645438
2021-10-01	Denmark	other	0.7155185	0.001401329	1.2616863	0.33131307	1.0134418	0.40107715	0.8265198	0.5137302
2021-10-02	Denmark	other	0.70754325	0.0014013287	1.1742928	0.35693675	0.9722598	0.4510092	0.7736191	0.5079449
2021-10-03	Denmark	other	0.70860016	0.0014010388	1.1423694	0.38498145	0.9361582	0.44983175	0.7917378	0.54375184
2021-10-04	Denmark	other	0.71225584	0.0013868975	1.114205	0.40844533	0.9340894	0.46870673	0.7994417	0.562001
2021-10-05	Denmark	other	0.7167245	0.0013112978	1.085099	0.41026327	0.95842934	0.5073164	0.79676527	0.566512
2021-10-06	Denmark	other	0.72817755	0.0011674921	1.085485	0.42615467	0.9508558	0.5187669	0.8130437	0.5905841
2021-10-07	Denmark	other	0.738173	0.0010162434	1.1017214	0.45355612	0.96042454	0.5361061	0.8178396	0.59895164
2021-10-08	Denmark	other	0.749051	0.00090431306	1.1086786	0.46348947	0.95645	0.5392409	0.8315625	0.6157428
2021-10-09	Denmark	other	0.75778353	0.00082964916	1.1027385	0.4668689	0.96313006	0.55428225	0.8248626	0.61378706
2021-10-10	Denmark	other	0.7678474	0.0007823747	1.0980947	0.47747174	0.95281565	0.55734956	0.8562057	0.64781564
2021-10-11	Denmark	other	0.77655727	0.0007299504	1.1103177	0.508223	0.9581158	0.5646561	0.8592352	0.6560555
2021-10-12	Denmark	other	0.7924413	0.00067390106	1.1036987	0.51227576	0.9840308	0.5976681	0.8581582	0.6589006
2021-10-13	Denmark	other	0.80978364	0.00061757804	1.1345662	0.53695273	0.9990175	0.6162589	0.8957731	0.694076
2021-10-14	Denmark	other	0.83225024	0.0005656141	1.1433221	0.5526437	1.0223099	0.640549	0.89347476	0.6893801
2021-10-15	Denmark	other	0.8566588	0.0005224548	1.1849916	0.5809644	1.0424966	0.6542326	0.9411525	0.7332324
2021-10-16	Denmark	other	0.87647545	0.0004816996	1.2268856	0.6008022	1.0649852	0.6687584	0.96634114	0.75717676
2021-10-17	Denmark	other	0.89646983	0.00044146666	1.225866	0.5841982	1.1026198	0.69763005	0.9850338	0.76875615
2021-10-18	Denmark	other	0.91485584	0.00040378107	1.2925775	0.62702715	1.1309583	0.7099228	0.99693835	0.7776855
2021-10-19	Denmark	other	0.9315822	0.00036909955	1.3030438	0.62081456	1.148738	0.7124477	1.0088952	0.7845705
2021-10-20	Denmark	other	0.9440316	0.0003369582	1.3153849	0.61877507	1.1552819	0.71338856	1.048174	0.8182436
2021-10-21	Denmark	other	0.9559208	0.00030991435	1.3350462	0.6209661	1.178593	0.72030467	1.0663725	0.8334511
2021-10-22	Denmark	other	0.959563	0.000284539	1.3370318	0.6126065	1.1848933	0.711107	1.0700554	0.82838064
2021-10-23	Denmark	other	0.9672982	0.00026314228	1.3632666	0.6146354	1.2131673	0.72676134	1.0799679	0.82838553
2021-10-24	Denmark	other	0.9787725	0.00024562553	1.390902	0.62476707	1.2248299	0.7326399	1.0610515	0.804466
2021-10-25	Denmark	other	0.9957118	0.00022975719	1.4471755	0.66470313	1.2404784	0.7431691	1.083817	0.82232213
2021-10-26	Denmark	other	1.015326	0.0002162027	1.447798	0.66332376	1.2705303	0.76398546	1.1136602	0.8484677
2021-10-27	Denmark	other	1.0422935	0.00020418507	1.4715688	0.6652727	1.3100059	0.78731495	1.1666452	0.8954803
2021-10-28	Denmark	other	1.0707502	0.00019474501	1.5389477	0.6964346	1.3584499	0.81802356	1.1746855	0.8935097
2021-10-29	Denmark	other	1.1052065	0.00018754788	1.5625832	0.69427645	1.3799884	0.8250475	1.1918987	0.9059117
2021-10-30	Denmark	other	1.1357499	0.00018038579	1.62934	0.74940616	1.3919177	0.8200587	1.2827375	0.98583907
2021-10-31	Denmark	other	1.168004	0.00017459576	1.6546043	0.76534414	1.4337599	0.8578235	1.3043437	0.999686
2021-11-01	Denmark	other	1.2063335	0.0001702737	1.6883402	0.78955925	1.4757583	0.88591915	1.3114666	1.0001286
2021-11-02	Denmark	other	1.2413038	0.00016555059	1.7434675	0.8116198	1.5009781	0.9082255	1.3839247	1.0714872
2021-11-03	Denmark	other	1.2749844	0.00016280095	1.7878795	0.8277568	1.5674015	0.9684884	1.4015553	1.0894883
2021-11-04	Denmark	other	1.3079903	0.00016094351	1.8032119	0.8264084	1.6030306	0.98792416	1.4500988	1.1358057
2021-11-05	Denmark	other	1.3346493	0.00015875493	1.9079037	0.91059154	1.626338	0.99073756	1.45246	1.1285398
2021-11-06	Denmark	other	1.3597832	0.000157115	1.9441516	0.9148422	1.6788031	1.017964	1.4826555	1.1455848
2021-11-07	Denmark	other	1.3870537	0.00015520785	2.0066526	0.9265796	1.7360725	1.042329	1.5060755	1.1496392
2021-11-08	Denmark	other	1.4179682	0.00015481657	2.056923	0.90317976	1.7699637	1.0268419	1.5225817	1.1421498
2021-11-09	Denmark	other	1.4601865	0.00015550855	2.14345	0.91883355	1.8738198	1.0971979	1.6082332	1.2074872
2021-11-10	Denmark	other	1.5046368	0.00015605974	2.1968691	0.93364674	1.9439697	1.1394964	1.6792027	1.2700043
2021-11-11	Denmark	other	1.5612102	0.00015690061	2.2933457	1.0098367	1.9910696	1.1830229	1.7316622	1.3144932
2021-11-12	Denmark	other	1.6168269	0.00015911649	2.3633502	1.0810493	2.0257342	1.2146287	1.8121502	1.3984463
2021-11-13	Denmark	other	1.6762075	0.00016305443	2.4274383	1.1299217	2.0612986	1.2435429	1.8537446	1.433169
2021-11-14	Denmark	other	1.7262416	0.00016685775	2.470572	1.1850969	2.1575017	1.3469297	1.8698235	1.4574816
2021-11-15	Denmark	other	1.7702467	0.00017470247	2.512552	1.2205046	2.188701	1.3747904	1.899476	1.4831688
2021-11-16	Denmark	other	1.8072081	0.00018370744	2.5936584	1.2706635	2.2010248	1.37709	1.9548757	1.5349247
2021-11-17	Denmark	other	1.8538915	0.00019621183	2.5887337	1.242845	2.272804	1.4226322	2.0189536	1.5868611
2021-11-18	Denmark	other	1.8973949	0.00020856332	2.6726074	1.2669284	2.334471	1.4367809	2.094798	1.6380605
2021-11-19	Denmark	other	1.9399531	0.0002248256	2.7601538	1.2810034	2.4095879	1.4656665	2.1472843	1.6471605
2021-11-20	Denmark	other	1.9944538	0.0002440268	2.8783627	1.2629632	2.4721892	1.4549575	2.193467	1.6458433
