date	location	variant	median_r	median_freq	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50
2021-10-01	Australia	Delta	0.00857979	0.9980636	0.021102363	-0.0046220054	0.01626518	-0.0005834375	0.0138278995	0.0050351457
2021-10-02	Australia	Delta	0.005265078	0.99806595	0.015591861	-0.005486772	0.012943337	-0.0011732689	0.008714798	0.0012458144
2021-10-03	Australia	Delta	0.0035436605	0.99811065	0.014156445	-0.006741931	0.010730332	-0.0029950202	0.006308257	-0.00083685474
2021-10-04	Australia	Delta	0.0027604157	0.99815804	0.012468226	-0.006961412	0.00952534	-0.003206017	0.0061518536	-0.00043650225
2021-10-05	Australia	Delta	0.0023598173	0.9981729	0.011353239	-0.006425928	0.008127303	-0.0032832348	0.0048671844	-0.0011908519
2021-10-06	Australia	Delta	0.002082915	0.99817985	0.009818473	-0.006399984	0.0072722505	-0.003134455	0.004446175	-0.0010157592
2021-10-07	Australia	Delta	0.0017169908	0.9981857	0.009404841	-0.0052312645	0.0063382587	-0.0033351232	0.004448634	-0.00051015435
2021-10-08	Australia	Delta	0.001199582	0.9981989	0.0077916267	-0.0058346214	0.005534357	-0.003403488	0.0036481752	-0.00103408
2021-10-09	Australia	Delta	0.0006133164	0.9982174	0.007232412	-0.0055355863	0.004781114	-0.0035938276	0.0030924033	-0.0013595509
2021-10-10	Australia	Delta	1.0820338e-05	0.99823517	0.0059696296	-0.006459865	0.0038628606	-0.0041109906	0.0016579708	-0.0026085621
2021-10-11	Australia	Delta	-0.00087989017	0.9982508	0.0049269423	-0.0071272827	0.0032042954	-0.00450249	0.0007397176	-0.0033818474
2021-10-12	Australia	Delta	-0.0018955264	0.9982641	0.0035650553	-0.008183126	0.0017074001	-0.0057896185	-1.2664714e-05	-0.0039959014
2021-10-13	Australia	Delta	-0.0032306085	0.9982761	0.0024894155	-0.008832715	0.00029534605	-0.007093715	-0.0013575836	-0.0053137694
2021-10-14	Australia	Delta	-0.0046992237	0.998288	0.0007480788	-0.010535443	-0.0010381376	-0.008472447	-0.0030027668	-0.0068978425
2021-10-15	Australia	Delta	-0.0064500277	0.99829984	-0.0010876899	-0.012543476	-0.002718364	-0.010213292	-0.0046215137	-0.008490891
2021-10-16	Australia	Delta	-0.008550034	0.9983127	-0.0026781566	-0.014460029	-0.0045515504	-0.012318093	-0.006473144	-0.010466095
2021-10-17	Australia	Delta	-0.010954854	0.9983226	-0.0049451403	-0.017322622	-0.006984528	-0.015045925	-0.009222616	-0.01336324
2021-10-18	Australia	Delta	-0.0136608	0.99832946	-0.0072365925	-0.019729534	-0.009445663	-0.017506815	-0.011707113	-0.015958523
2021-10-19	Australia	Delta	-0.016726889	0.9983351	-0.010749022	-0.022616105	-0.01293141	-0.020668812	-0.014573027	-0.018652664
2021-10-20	Australia	Delta	-0.020059677	0.99834275	-0.014431257	-0.025235364	-0.016733652	-0.023864254	-0.01824973	-0.021975491
2021-10-21	Australia	Delta	-0.023421235	0.99834657	-0.019040598	-0.028731193	-0.020169478	-0.026581144	-0.021817368	-0.025062116
2021-10-22	Australia	Delta	-0.026728693	0.99835163	-0.021970818	-0.03119528	-0.023631249	-0.029589074	-0.025048712	-0.028129805
2021-10-23	Australia	Delta	-0.029703671	0.9983537	-0.024707135	-0.034170013	-0.026873661	-0.033038426	-0.028177759	-0.03138771
2021-10-24	Australia	Delta	-0.03217489	0.99835384	-0.026794968	-0.037091874	-0.029060353	-0.03578187	-0.030141281	-0.033639815
2021-10-25	Australia	Delta	-0.034005493	0.99834824	-0.028466588	-0.03960895	-0.030216284	-0.037496652	-0.03185901	-0.03565375
2021-10-26	Australia	Delta	-0.035098594	0.99833953	-0.02932828	-0.040734515	-0.03168896	-0.039361067	-0.033000678	-0.036941126
2021-10-27	Australia	Delta	-0.035356067	0.9983316	-0.029589811	-0.040949937	-0.03130828	-0.03894842	-0.033681497	-0.03761887
2021-10-28	Australia	Delta	-0.034811486	0.9983137	-0.029592887	-0.040497202	-0.03141279	-0.03865369	-0.032606717	-0.03631748
2021-10-29	Australia	Delta	-0.03352829	0.99829674	-0.028597414	-0.03853036	-0.030259812	-0.0367846	-0.032101974	-0.035491813
2021-10-30	Australia	Delta	-0.03160719	0.99827486	-0.027347911	-0.03616329	-0.029136095	-0.034949444	-0.030018691	-0.03303154
2021-10-31	Australia	Delta	-0.029126504	0.998249	-0.025361273	-0.03370412	-0.026271287	-0.03162256	-0.028037462	-0.030863661
2021-11-01	Australia	Delta	-0.026377155	0.99820954	-0.022287436	-0.031157654	-0.023398366	-0.029099453	-0.02472816	-0.027728222
2021-11-02	Australia	Delta	-0.023555752	0.9981647	-0.019053508	-0.028942559	-0.020242885	-0.02668738	-0.02206648	-0.025445009
2021-11-03	Australia	Delta	-0.020867513	0.99810576	-0.015362051	-0.02629711	-0.017365167	-0.02435117	-0.019258235	-0.022934321
2021-11-04	Australia	Delta	-0.018426789	0.9980397	-0.0130975265	-0.024534993	-0.014733735	-0.022105703	-0.016406583	-0.02024854
2021-11-05	Australia	Delta	-0.016272066	0.9979552	-0.0105146635	-0.02186864	-0.0125586	-0.020079842	-0.014744186	-0.018618604
2021-11-06	Australia	Delta	-0.0143308	0.997857	-0.008947436	-0.020115132	-0.010611063	-0.018025083	-0.012497367	-0.01630502
2021-11-07	Australia	Delta	-0.012710454	0.9977302	-0.0073230322	-0.01826473	-0.009269833	-0.0165802	-0.010886489	-0.014741726
2021-11-08	Australia	Delta	-0.011141382	0.9975784	-0.0055561205	-0.016286576	-0.007643954	-0.014793738	-0.008799762	-0.012718201
2021-11-09	Australia	Delta	-0.009690227	0.997396	-0.004647335	-0.01517331	-0.0062390314	-0.013292908	-0.007905486	-0.011750149
2021-11-10	Australia	Delta	-0.008320717	0.9971694	-0.003016661	-0.0132732345	-0.004922024	-0.011914545	-0.0061460747	-0.009902207
2021-11-11	Australia	Delta	-0.0069507146	0.9969036	-0.0015355042	-0.011716827	-0.0037599443	-0.010613276	-0.0050886325	-0.008813534
2021-11-12	Australia	Delta	-0.005596451	0.99657035	-0.00052478636	-0.010734267	-0.0021943152	-0.008996619	-0.0036083367	-0.007241142
2021-11-13	Australia	Delta	-0.004216489	0.99616796	0.00077094906	-0.009328115	-0.00096301007	-0.0076312893	-0.002552493	-0.006177552
2021-11-14	Australia	Delta	-0.0029024326	0.9956976	0.0018401952	-0.007822612	4.180585e-05	-0.0063212905	-0.0011879009	-0.0046174563
2021-11-15	Australia	Delta	-0.0016631351	0.99512446	0.00291313	-0.0062140706	0.0016112466	-0.0044959732	0.00014115623	-0.003060926
2021-11-16	Australia	Delta	-0.0005063426	0.9944417	0.00381712	-0.0050064963	0.002331045	-0.003471361	0.0007141423	-0.0023145685
2021-11-17	Australia	Delta	0.00056560856	0.9936321	0.0048792344	-0.0040695537	0.003402996	-0.0022768204	0.0019961065	-0.0009904298
2021-11-18	Australia	Delta	0.0014366457	0.99264395	0.0059993854	-0.003063631	0.0042764926	-0.0013776257	0.00283665	-0.00016710044
2021-11-19	Australia	Delta	0.0021621003	0.99144024	0.0066016354	-0.0025002358	0.004996045	-0.0008136156	0.0035864501	0.00051372015
2021-11-20	Australia	Delta	0.002656393	0.9900143	0.0068347645	-0.002263172	0.0058756894	-2.7173803e-05	0.0045455256	0.0013550014
2021-11-21	Australia	Delta	0.002939689	0.9882796	0.007397176	-0.0017241224	0.0059870896	1.5000923e-05	0.004420846	0.001196385
2021-11-22	Australia	Delta	0.0030117426	0.9861946	0.0075644	-0.0017457631	0.006113491	-4.69701e-05	0.004464127	0.0012389286
2021-11-23	Australia	Delta	0.002921737	0.98372936	0.0077360496	-0.0017049409	0.0059130685	-0.00030149394	0.0041520586	0.0008843167
2021-11-24	Australia	Delta	0.002555567	0.9807582	0.0072929077	-0.002191856	0.0057310904	-0.0005056049	0.0041291886	0.00088357896
2021-11-25	Australia	Delta	0.0020425846	0.977181	0.006584667	-0.002977929	0.005196713	-0.000933623	0.0039757364	0.00073086465
