date	location	variant	median_r	median_freq	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50
2022-01-20	Australia	Delta		0.003443905	nan	nan	nan	nan	nan	nan
2022-01-21	Australia	Delta	-0.25228715	0.0029508779	-0.16563034	-0.3307047	-0.20099258	-0.30980062	-0.22820854	-0.28667212
2022-01-22	Australia	Delta	-0.24696279	0.0025250404	-0.16719103	-0.3213768	-0.19787169	-0.30014324	-0.21524715	-0.27003813
2022-01-23	Australia	Delta	-0.23959613	0.002162986	-0.19290733	-0.28704643	-0.20757008	-0.26912975	-0.21954727	-0.25314045
2022-01-24	Australia	Delta	-0.23830867	0.0018540478	-0.20331573	-0.2745812	-0.21594238	-0.2627654	-0.22667551	-0.25180387
2022-01-25	Australia	Delta	-0.24120069	0.0015888847	-0.20251226	-0.2795918	-0.21576834	-0.26635647	-0.23166466	-0.2587974
2022-01-26	Australia	Delta	-0.2443428	0.0013639824	-0.19809914	-0.29144788	-0.209054	-0.27057886	-0.2308793	-0.26367116
2022-01-20	Australia	Omicron		0.99644977	nan	nan	nan	nan	nan	nan
2022-01-21	Australia	Omicron	-0.09800291	0.99695396	-0.009931564	-0.1841116	-0.037452698	-0.15301704	-0.065413475	-0.12656021
2022-01-22	Australia	Omicron	-0.092083454	0.99738735	-0.018174171	-0.17137337	-0.040013313	-0.14166069	-0.066031456	-0.11959362
2022-01-23	Australia	Omicron	-0.08484697	0.99775565	-0.04050541	-0.13066483	-0.05436802	-0.11332989	-0.070809364	-0.102282524
2022-01-24	Australia	Omicron	-0.08461237	0.9980714	-0.046564102	-0.12147236	-0.061922073	-0.11072159	-0.073740005	-0.10020447
2022-01-25	Australia	Omicron	-0.08844519	0.9983437	-0.04398918	-0.13136196	-0.058530807	-0.11527252	-0.07397556	-0.10429764
2022-01-26	Australia	Omicron	-0.09172726	0.9985763	-0.03975296	-0.14573002	-0.057988167	-0.12815857	-0.07440472	-0.11158371
2022-01-20	Australia	other		9.9180485e-05	nan	nan	nan	nan	nan	nan
2022-01-21	Australia	other	-0.20054257	8.96073e-05	-0.11352563	-0.2808714	-0.14391267	-0.2537222	-0.17147851	-0.22954655
2022-01-22	Australia	other	-0.19475502	8.068935e-05	-0.12003124	-0.2732457	-0.14251757	-0.24318314	-0.16516376	-0.21856189
2022-01-23	Australia	other	-0.18666601	7.2913244e-05	-0.14020848	-0.23213983	-0.15603566	-0.21602118	-0.17056608	-0.20194447
2022-01-24	Australia	other	-0.18606022	6.587937e-05	-0.14975858	-0.22081423	-0.16411579	-0.21004963	-0.17367232	-0.1981287
2022-01-25	Australia	other	-0.18934917	5.948256e-05	-0.1506319	-0.22906792	-0.16435921	-0.2155689	-0.17558718	-0.20273888
2022-01-26	Australia	other	-0.19278294	5.374938e-05	-0.14476967	-0.23993957	-0.16257381	-0.22524267	-0.17622769	-0.20910716
2022-01-20	Brazil	Delta		0.0003971213	nan	nan	nan	nan	nan	nan
2022-01-21	Brazil	Delta	0.008922815	0.00030422187	0.39052057	-0.26943874	0.222754	-0.21237421	0.104466915	-0.119182825
2022-01-22	Brazil	Delta	-0.041754365	0.00023349185	0.22554398	-0.2992065	0.14548588	-0.20290422	0.037733078	-0.14872909
2022-01-23	Brazil	Delta	-0.0727272	0.00017647284	0.06863499	-0.22016215	0.022579193	-0.16085505	-0.01996231	-0.1176424
2022-01-24	Brazil	Delta	-0.055612564	0.00013254222	0.0789237	-0.16577506	0.02492857	-0.12929583	-0.017955303	-0.099576235
2022-01-25	Brazil	Delta	-0.028226376	9.9855024e-05	0.13635206	-0.16905093	0.06675148	-0.12665677	0.0037727356	-0.09836316
2022-01-26	Brazil	Delta	-0.015221357	7.664939e-05	0.18277836	-0.19582248	0.10618353	-0.13936853	0.030762672	-0.09871411
2022-01-20	Brazil	Omicron		0.99928933	nan	nan	nan	nan	nan	nan
2022-01-21	Brazil	Omicron	0.27147484	0.99942464	0.6521015	-0.04651451	0.51792336	0.054647446	0.36714745	0.12849522
2022-01-22	Brazil	Omicron	0.22555637	0.99953365	0.47471142	-0.012905121	0.38886642	0.06466961	0.32454205	0.15454865
2022-01-23	Brazil	Omicron	0.20555258	0.99962556	0.3399248	0.07005024	0.2949791	0.124157906	0.2594185	0.17122269
2022-01-24	Brazil	Omicron	0.22793102	0.9997002	0.37369633	0.08549118	0.31725407	0.13723755	0.27130413	0.17750359
2022-01-25	Brazil	Omicron	0.249187	0.99975693	0.45341015	0.06890774	0.37112808	0.12340641	0.30635452	0.17858887
2022-01-26	Brazil	Omicron	0.25064278	0.99980056	0.48751736	0.049010277	0.40367603	0.112957954	0.3090601	0.15799522
2022-01-20	Brazil	other		0.0003025788	nan	nan	nan	nan	nan	nan
2022-01-21	Brazil	other	0.114221096	0.00025852417	0.47379875	-0.19201946	0.346555	-0.09468269	0.20212317	-0.02482915
2022-01-22	Brazil	other	0.06741524	0.00022116964	0.31786156	-0.1873753	0.22808266	-0.10767102	0.1710782	-0.005361557
2022-01-23	Brazil	other	0.042019367	0.00018751035	0.1694088	-0.09152198	0.12751341	-0.04213786	0.09117603	0.0041868687
2022-01-24	Brazil	other	0.06235361	0.00015836695	0.20086575	-0.042482376	0.13491821	-0.017163277	0.106151104	0.027061462
2022-01-25	Brazil	other	0.08687091	0.00013456022	0.25707436	-0.069182634	0.1893735	-0.018065214	0.13646317	0.02972269
2022-01-26	Brazil	other	0.09457183	0.000115410556	0.31108713	-0.086595535	0.22233343	-0.03721738	0.15078974	0.016537428
2022-01-20	Canada	Delta		0.00092652556	nan	nan	nan	nan	nan	nan
2022-01-21	Canada	Delta	-0.27941024	0.0007759943	-0.19622993	-0.35230696	-0.2287023	-0.33094668	-0.25455213	-0.308316
2022-01-22	Canada	Delta	-0.27515197	0.0006496027	-0.20043588	-0.34431636	-0.22659373	-0.3221978	-0.25004268	-0.30059147
2022-01-23	Canada	Delta	-0.27087522	0.00054500694	-0.22157073	-0.31811976	-0.23716736	-0.30103946	-0.25596845	-0.2898624
2022-01-24	Canada	Delta	-0.2711352	0.0004579398	-0.22887373	-0.31087613	-0.24293423	-0.29657304	-0.25978708	-0.2885983
2022-01-25	Canada	Delta	-0.27317777	0.0003850371	-0.2282157	-0.31573367	-0.24503994	-0.30257028	-0.26006603	-0.29063547
2022-01-26	Canada	Delta	-0.27500337	0.00032264632	-0.22566259	-0.32452548	-0.24359858	-0.3086149	-0.260979	-0.29577613
2022-01-20	Canada	Omicron		0.99907064	nan	nan	nan	nan	nan	nan
2022-01-21	Canada	Omicron	-0.10292578	0.9992216	-0.024993896	-0.18859959	-0.0532856	-0.16028786	-0.074183464	-0.129323
2022-01-22	Canada	Omicron	-0.09843969	0.9993477	-0.032933235	-0.17570782	-0.04794979	-0.14140606	-0.07337189	-0.12224007
2022-01-23	Canada	Omicron	-0.09520435	0.9994532	-0.04955578	-0.14355946	-0.065478325	-0.1258707	-0.07549286	-0.10817337
2022-01-24	Canada	Omicron	-0.09652519	0.9995402	-0.05329323	-0.13868332	-0.068930626	-0.12443352	-0.08131218	-0.1104517
2022-01-25	Canada	Omicron	-0.09890032	0.9996135	-0.0517807	-0.14791965	-0.06967926	-0.1316452	-0.08150005	-0.11473465
2022-01-26	Canada	Omicron	-0.1001153	0.9996763	-0.04411888	-0.15539742	-0.06604862	-0.13684464	-0.07698059	-0.1154623
2022-01-20	Canada	other		3.1042605e-06	nan	nan	nan	nan	nan	nan
2022-01-21	Canada	other	-0.2741903	2.6159041e-06	-0.19417262	-0.34654427	-0.22357893	-0.32268882	-0.24364352	-0.29553652
2022-01-22	Canada	other	-0.27015316	2.2025017e-06	-0.19736099	-0.3383963	-0.22670722	-0.31891346	-0.24106526	-0.28900075
2022-01-23	Canada	other	-0.2661358	1.8532579e-06	-0.2180655	-0.31220818	-0.23851562	-0.29876637	-0.24928713	-0.28158832
2022-01-24	Canada	other	-0.2663852	1.5638925e-06	-0.22814202	-0.30556345	-0.24169326	-0.29283047	-0.25212073	-0.27877092
2022-01-25	Canada	other	-0.26855934	1.3215808e-06	-0.22640061	-0.31026745	-0.24223995	-0.2971244	-0.25393367	-0.28241968
2022-01-26	Canada	other	-0.27049065	1.1154748e-06	-0.22419357	-0.31979322	-0.2428019	-0.30485725	-0.2561326	-0.28903818
2022-01-20	Chile	Delta		0.011168392	nan	nan	nan	nan	nan	nan
2022-01-21	Chile	Delta	-0.043200254	0.009600146	0.015908718	-0.0982213	-0.0075745583	-0.081953526	-0.021574974	-0.061021328
2022-01-22	Chile	Delta	-0.041035175	0.008252479	0.008975983	-0.088439465	-0.009120464	-0.07260132	-0.020263195	-0.054469585
2022-01-23	Chile	Delta	-0.041185617	0.007107763	-0.008084297	-0.072556496	-0.018437862	-0.06130123	-0.03067875	-0.053350925
2022-01-24	Chile	Delta	-0.04271221	0.006123928	-0.012919426	-0.07310152	-0.021708488	-0.0614748	-0.030375957	-0.051559925
2022-01-25	Chile	Delta	-0.043715477	0.0052689677	-0.0075979233	-0.07576561	-0.0194211	-0.06409311	-0.034253597	-0.05799198
2022-01-26	Chile	Delta	-0.043665648	0.0045317654	-0.0023436546	-0.08087683	-0.015030384	-0.0664053	-0.03136921	-0.058778286
2022-01-20	Chile	Omicron		0.9887699	nan	nan	nan	nan	nan	nan
2022-01-21	Chile	Omicron	0.10855055	0.990353	0.16833115	0.052680016	0.14678764	0.070931435	0.12401676	0.08443642
2022-01-22	Chile	Omicron	0.1103425	0.9917071	0.15471935	0.06139946	0.14313412	0.08224392	0.12831593	0.096235275
2022-01-23	Chile	Omicron	0.10956144	0.9928576	0.14292145	0.082346916	0.12824154	0.08949947	0.118377686	0.09725571
2022-01-24	Chile	Omicron	0.108006954	0.9938499	0.13733673	0.077545166	0.12775326	0.08922291	0.11911583	0.09838295
2022-01-25	Chile	Omicron	0.10723162	0.9947041	0.14461136	0.073420525	0.12925434	0.08401775	0.11845589	0.09358978
2022-01-26	Chile	Omicron	0.107483864	0.9954454	0.14897728	0.06742668	0.13593578	0.08313656	0.12440777	0.09580898
2022-01-20	Chile	other		5.813734e-05	nan	nan	nan	nan	nan	nan
2022-01-21	Chile	other	-0.060740635	4.909686e-05	-0.007566154	-0.1178644	-0.025803208	-0.09731929	-0.041276783	-0.078404844
