date	location	variant	median_I_smooth	I_smooth_upper_95	I_smooth_lower_95	I_smooth_upper_80	I_smooth_lower_80	I_smooth_upper_50	I_smooth_lower_50	median_freq
2022-01-02	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-03	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-04	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-05	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-06	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-07	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-08	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-09	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-10	Gauteng	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-11	Gauteng	Delta	3.8179515e-08	1.5594995e-07	9.703788e-09	9.342804e-08	1.5421898e-08	6.086298e-08	2.3722022e-08	3.2900422e-11
2022-01-12	Gauteng	Delta	0.09540067	0.38967836	0.02424724	0.23345235	0.038535308	0.15208074	0.059275158	8.63742e-05
2022-01-13	Gauteng	Delta	1.5855659	6.476482	0.40299088	3.8799946	0.6404596	2.5275931	0.9851574	0.0015009991
2022-01-14	Gauteng	Delta	3.427506	14.000228	0.87115425	8.387372	1.3844823	5.4638844	2.1296198	0.003359661
2022-01-15	Gauteng	Delta	4.232318	17.287512	1.0754741	10.35511	1.7095186	6.7453866	2.6298676	0.004277898
2022-01-16	Gauteng	Delta	4.494955	18.370369	1.1506776	10.970367	1.8198674	7.1414304	2.7964425	0.004698444
2022-01-17	Gauteng	Delta	4.6818714	19.248503	1.2036237	11.466593	1.9248538	7.483716	2.9353914	0.0050822357
2022-01-18	Gauteng	Delta	5.0513186	20.547344	1.3127209	12.244298	2.085176	8.0135975	3.17583	0.005558976
2022-01-19	Gauteng	Delta	5.4178915	21.495434	1.4358608	13.106504	2.2622654	8.669795	3.4179235	0.006101452
2022-01-20	Gauteng	Delta	5.7012095	22.526707	1.5032278	13.886221	2.3953888	9.10177	3.565106	0.006541463
2022-01-21	Gauteng	Delta	5.8450756	23.036016	1.5425887	14.290966	2.4730418	9.32905	3.6603892	0.006809233
2022-01-22	Gauteng	Delta	5.974755	23.36633	1.5581185	14.516774	2.5218267	9.516034	3.7379742	0.006958162
2022-01-23	Gauteng	Delta	6.0549574	23.743656	1.5682094	14.743994	2.5539849	9.63934	3.7826257	0.007081689
