date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	median_freq
2022-01-02	Gauteng	Delta	0.6469337	1.9927696	0.21009663	1.3827378	0.3098707	0.962052	0.44255704	0.0
2022-01-03	Gauteng	Delta	0.6064903	1.7901917	0.20358378	1.2409961	0.29859695	0.8762785	0.41956556	0.0
2022-01-04	Gauteng	Delta	0.568342	1.6153548	0.19516715	1.1378989	0.28505448	0.81349957	0.39544788	0.0
2022-01-05	Gauteng	Delta	0.53384006	1.486594	0.18655865	1.041598	0.26988494	0.7569288	0.37663084	0.0
2022-01-06	Gauteng	Delta	0.506392	1.3788949	0.17695247	0.9695994	0.25659055	0.7071744	0.35528174	0.0
2022-01-07	Gauteng	Delta	0.48300385	1.3060683	0.17035067	0.92153275	0.2441575	0.67075276	0.33897668	0.0
2022-01-08	Gauteng	Delta	0.4618951	1.2346901	0.1634744	0.88258773	0.23559448	0.6412722	0.32543024	0.0
2022-01-09	Gauteng	Delta	0.44350594	1.1829526	0.15588562	0.8425667	0.22451572	0.6153946	0.31020993	0.0
2022-01-10	Gauteng	Delta	0.4270357	1.1454693	0.15118912	0.8041362	0.21442594	0.59004384	0.2990847	0.0
2022-01-11	Gauteng	Delta	0.4118825	1.1114538	0.14756258	0.77667576	0.20701045	0.5647095	0.28798747	2.6259002e-11
2022-01-12	Gauteng	Delta	0.39725405	1.062098	0.14290641	0.7555853	0.19983861	0.5461588	0.2786817	6.921793e-05
2022-01-13	Gauteng	Delta	0.3832442	1.0365388	0.13805278	0.7314681	0.19461565	0.5320267	0.27058336	0.0012081129
2022-01-14	Gauteng	Delta	0.3722534	0.9978908	0.13539048	0.7082686	0.1899904	0.51961774	0.26225635	0.0027251067
2022-01-15	Gauteng	Delta	0.36261263	0.9691961	0.13234124	0.69075644	0.18511567	0.5068172	0.2552113	0.0034854824
2022-01-16	Gauteng	Delta	0.35449386	0.9489608	0.13019216	0.67409986	0.18132977	0.49398118	0.2501151	0.0038336264
2022-01-17	Gauteng	Delta	0.3459056	0.92195505	0.13076147	0.65295887	0.17824288	0.48059303	0.24458435	0.0041535874
2022-01-18	Gauteng	Delta	0.33733118	0.8890926	0.12861814	0.6354253	0.1759889	0.46999198	0.24011607	0.0046239323
2022-01-19	Gauteng	Delta	0.33090782	0.86454225	0.1263514	0.6202626	0.17398497	0.4625212	0.23735152	0.0051564006
2022-01-20	Gauteng	Delta	0.32512748	0.8511603	0.1253071	0.61377317	0.17169872	0.45238075	0.2326805	0.005543563
2022-01-21	Gauteng	Delta	0.32087052	0.8387613	0.122155644	0.6008957	0.16888769	0.44530317	0.22855084	0.005761302
2022-01-22	Gauteng	Delta	0.31576923	0.826675	0.11859904	0.5900402	0.16628382	0.43794772	0.22431418	0.0059481524
2022-01-23	Gauteng	Delta	0.30988607	0.8269778	0.116558336	0.58119285	0.1640049	0.43031898	0.22146723	0.0060586515
