date	location	variant	median_I_smooth	I_smooth_upper_95	I_smooth_lower_95	I_smooth_upper_80	I_smooth_lower_80	I_smooth_upper_50	I_smooth_lower_50	median_freq
2022-01-01	Massachusetts	Delta	673.67645	918.6651	493.3174	823.0222	542.9706	752.0388	600.59424	0.048227042
2022-01-02	Massachusetts	Delta	800.5628	1084.772	589.5866	974.2738	649.7214	890.9688	715.5457	0.049925573
2022-01-03	Massachusetts	Delta	798.1952	990.60394	642.3224	921.9541	689.0498	858.899	741.38434	0.044134438
2022-01-04	Massachusetts	Delta	700.7606	872.35077	566.6979	808.3759	607.58563	756.90857	650.7813	0.03526451
2022-01-05	Massachusetts	Delta	642.3883	809.82446	510.17322	744.32623	552.74976	696.7666	593.592	0.030160643
2022-01-06	Massachusetts	Delta	624.31085	762.8032	513.8564	710.0463	549.83154	670.0206	584.1864	0.027930364
2022-01-07	Massachusetts	Delta	606.64545	724.37726	508.00854	683.40784	541.6654	646.8727	570.37006	0.026127826
2022-01-08	Massachusetts	Delta	556.0642	670.40485	463.0206	629.4878	494.00757	592.5663	521.13916	0.023499846
2022-01-09	Massachusetts	Delta	480.14648	596.82117	393.07895	553.37585	420.85855	517.50555	447.08267	0.020313269
2022-01-10	Massachusetts	Delta	409.34473	515.95526	330.0916	476.27533	354.39624	443.7175	379.1839	0.017490651
2022-01-11	Massachusetts	Delta	354.6314	445.6495	287.06326	412.143	307.89163	383.51584	328.6922	0.015555141
2022-01-12	Massachusetts	Delta	311.1001	389.16342	253.94084	358.61862	271.38553	335.1656	289.35144	0.014084572
2022-01-13	Massachusetts	Delta	269.62625	336.97125	219.23729	310.55145	234.4039	290.55408	250.61992	0.0127368895
2022-01-14	Massachusetts	Delta	228.28667	286.99545	183.21718	264.22586	196.54863	246.67665	211.04286	0.011345653
2022-01-15	Massachusetts	Delta	190.24915	241.39836	150.69258	221.49892	162.73212	206.36977	175.22855	0.010027986
2022-01-16	Massachusetts	Delta	158.6502	204.28326	124.31545	185.95494	134.78986	172.66432	145.57968	0.008916274
2022-01-17	Massachusetts	Delta	133.57512	173.76979	103.09647	157.9763	112.45487	145.71045	121.82454	0.008039243
2022-01-18	Massachusetts	Delta	112.50093	147.53406	86.07508	134.08543	94.04079	123.11274	102.12395	0.0072924364
2022-01-19	Massachusetts	Delta	94.181694	124.95649	71.654335	113.04987	78.11397	103.72275	85.403786	0.0066096205
2022-01-20	Massachusetts	Delta	78.50264	104.96443	59.15686	95.21758	64.927284	86.89228	70.849106	0.005963303
2022-01-21	Massachusetts	Delta	65.29913	88.36611	48.831287	79.80601	53.709793	72.56444	58.872055	0.005387097
2022-01-22	Massachusetts	Delta	54.61274	74.65988	40.546997	67.16523	44.509598	60.961033	49.09573	0.0048990957
2022-01-23	Massachusetts	Delta	45.84288	63.85648	33.66414	56.965794	37.227108	51.397118	41.05745	0.0044887746
2022-01-24	Massachusetts	Delta	38.667088	54.252438	27.884352	48.073208	31.18672	43.429295	34.530746	0.0041082622
