date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	median_freq
2022-01-01	Massachusetts	Delta	nan	nan	nan	nan	nan	nan	nan	0.048227042
2022-01-02	Massachusetts	Delta	0.1724379	0.18478277	0.16527805	0.17972359	0.16736135	0.17616415	0.16948557	0.049925573
2022-01-03	Massachusetts	Delta	-0.0087275505	0.16538952	-0.12739876	0.09779938	-0.09121356	0.047053576	-0.055913568	0.044134438
2022-01-04	Massachusetts	Delta	-0.12844396	0.05248158	-0.31207263	-0.0068403264	-0.248983	-0.06142485	-0.19455135	0.03526451
2022-01-05	Massachusetts	Delta	-0.08499575	-0.042979985	-0.15070452	-0.05480873	-0.12473593	-0.068256736	-0.10466468	0.030160643
2022-01-06	Massachusetts	Delta	-0.02662301	0.022063876	-0.076721825	0.0056613903	-0.059795283	-0.008833766	-0.04445672	0.027930364
2022-01-07	Massachusetts	Delta	-0.02958703	0.01159248	-0.064945474	-0.0030571464	-0.053908158	-0.015560269	-0.04347098	0.026127826
2022-01-08	Massachusetts	Delta	-0.088849306	-0.05278425	-0.11491054	-0.06592226	-0.10615654	-0.07704234	-0.09861612	0.023499846
2022-01-09	Massachusetts	Delta	-0.14585042	-0.094376855	-0.19235191	-0.110691935	-0.17689995	-0.12812352	-0.16332924	0.020313269
2022-01-10	Massachusetts	Delta	-0.16074038	-0.12575668	-0.19775791	-0.13676263	-0.18385735	-0.1470927	-0.17312896	0.017490651
2022-01-11	Massachusetts	Delta	-0.14274788	-0.1042998	-0.18098804	-0.11735463	-0.16859946	-0.1294365	-0.15694201	0.015555141
2022-01-12	Massachusetts	Delta	-0.1317029	-0.08401622	-0.17705771	-0.100578934	-0.1627531	-0.115039825	-0.14843237	0.014084572
2022-01-13	Massachusetts	Delta	-0.14455175	-0.10915986	-0.17785014	-0.12135591	-0.1666481	-0.13210344	-0.15656555	0.0127368895
2022-01-14	Massachusetts	Delta	-0.16806054	-0.14315759	-0.19196078	-0.15195328	-0.18397088	-0.15913391	-0.17625737	0.011345653
2022-01-15	Massachusetts	Delta	-0.18265557	-0.15729354	-0.20634013	-0.16654721	-0.1979535	-0.17371571	-0.19052184	0.010027986
2022-01-16	Massachusetts	Delta	-0.18124533	-0.15122928	-0.21100478	-0.16185327	-0.199646	-0.17103732	-0.19113147	0.008916274
2022-01-17	Massachusetts	Delta	-0.17338943	-0.13891861	-0.20887646	-0.15054947	-0.1963335	-0.16153967	-0.18542254	0.008039243
