date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2021-11-15	California	Delta	9205.0	13561.0	5517.0	11797.0	6531.0	10102.0	7365.0
2021-11-16	California	Delta	9689.0	14192.0	5824.0	12387.0	6923.0	10629.0	7789.0
2021-11-17	California	Delta	8188.0	11372.0	5655.0	9982.0	6333.0	9026.0	7127.0
2021-11-18	California	Delta	6038.0	8061.0	4475.0	7123.0	4775.0	6636.0	5447.0
2021-11-19	California	Delta	5212.0	6833.0	3811.0	6169.0	4177.0	5599.0	4577.0
2021-11-20	California	Delta	5205.0	6528.0	4133.0	5958.0	4378.0	5473.0	4646.0
2021-11-21	California	Delta	5262.0	6400.0	4337.0	5946.0	4596.0	5494.0	4773.0
2021-11-22	California	Delta	4967.0	5981.0	4126.0	5592.0	4358.0	5168.0	4523.0
2021-11-23	California	Delta	4474.0	5395.0	3647.0	5023.0	3903.0	4653.0	4060.0
2021-11-24	California	Delta	4166.0	5167.0	3410.0	4726.0	3622.0	4362.0	3780.0
2021-11-25	California	Delta	4197.0	5137.0	3414.0	4722.0	3600.0	4370.0	3787.0
2021-11-26	California	Delta	4411.0	5376.0	3574.0	5013.0	3844.0	4633.0	4021.0
2021-11-27	California	Delta	4591.0	5658.0	3762.0	5216.0	3998.0	4785.0	4141.0
2021-11-28	California	Delta	4706.0	5764.0	3844.0	5342.0	4098.0	4893.0	4247.0
2021-11-29	California	Delta	4863.0	5874.0	3911.0	5521.0	4259.0	5109.0	4457.0
2021-11-30	California	Delta	5165.0	6226.0	4187.0	5840.0	4505.0	5498.0	4819.0
2021-12-01	California	Delta	5600.0	6771.0	4582.0	6332.0	4898.0	5928.0	5213.0
2021-12-02	California	Delta	6050.0	7251.0	4947.0	6731.0	5242.0	6413.0	5659.0
2021-12-03	California	Delta	6397.0	7589.0	5240.0	7112.0	5573.0	6801.0	6033.0
2021-12-04	California	Delta	6669.0	7951.0	5543.0	7494.0	5907.0	6968.0	6188.0
2021-12-05	California	Delta	6897.0	8227.0	5742.0	7705.0	6054.0	7321.0	6506.0
2021-12-06	California	Delta	7100.0	8539.0	5957.0	7981.0	6284.0	7469.0	6617.0
2021-12-07	California	Delta	7206.0	8594.0	5963.0	8023.0	6305.0	7605.0	6721.0
2021-12-08	California	Delta	7148.0	8524.0	5900.0	7914.0	6208.0	7510.0	6612.0
2021-12-09	California	Delta	6938.0	8320.0	5774.0	7716.0	6055.0	7354.0	6476.0
2021-12-10	California	Delta	6625.0	7986.0	5558.0	7386.0	5815.0	6970.0	6132.0
2021-12-11	California	Delta	6249.0	7446.0	5160.0	6964.0	5500.0	6538.0	5762.0
2021-12-12	California	Delta	5818.0	6906.0	4782.0	6502.0	5138.0	6114.0	5400.0
2021-12-13	California	Delta	5326.0	6306.0	4368.0	5967.0	4721.0	5603.0	4955.0
2021-12-14	California	Delta	4816.0	5726.0	3988.0	5411.0	4288.0	5057.0	4483.0
2021-12-15	California	Delta	4325.0	5183.0	3609.0	4831.0	3818.0	4548.0	4036.0
2021-12-16	California	Delta	3871.0	4629.0	3218.0	4320.0	3395.0	4022.0	3554.0
2021-12-17	California	Delta	3459.0	4176.0	2874.0	3885.0	3043.0	3669.0	3240.0
2021-12-18	California	Delta	3108.0	3771.0	2558.0	3498.0	2724.0	3305.0	2904.0
2021-12-19	California	Delta	2808.0	3422.0	2301.0	3141.0	2418.0	3015.0	2634.0
2021-12-20	California	Delta	2556.0	3107.0	2057.0	2870.0	2192.0	2759.0	2398.0
2021-12-21	California	Delta	2356.0	2908.0	1916.0	2653.0	2012.0	2485.0	2146.0
2021-12-22	California	Delta	2200.0	2724.0	1781.0	2505.0	1896.0	2320.0	1999.0
2021-12-23	California	Delta	2078.0	2553.0	1655.0	2356.0	1773.0	2205.0	1904.0
2021-12-24	California	Delta	1989.0	2443.0	1581.0	2241.0	1681.0	2144.0	1852.0
2021-12-25	California	Delta	1935.0	2337.0	1504.0	2180.0	1635.0	2055.0	1773.0
2021-12-26	California	Delta	1904.0	2335.0	1519.0	2140.0	1605.0	2026.0	1748.0
2021-12-27	California	Delta	1903.0	2300.0	1480.0	2136.0	1607.0	2031.0	1753.0
2021-12-28	California	Delta	1920.0	2347.0	1521.0	2164.0	1626.0	2052.0	1773.0
2021-12-29	California	Delta	1959.0	2391.0	1551.0	2230.0	1680.0	2096.0	1804.0
2021-12-30	California	Delta	2015.0	2483.0	1606.0	2308.0	1732.0	2156.0	1848.0
2021-12-31	California	Delta	2079.0	2589.0	1642.0	2401.0	1785.0	2212.0	1886.0
2022-01-01	California	Delta	2152.0	2697.0	1675.0	2480.0	1821.0	2303.0	1957.0
2022-01-02	California	Delta	2234.0	2797.0	1699.0	2612.0	1905.0	2430.0	2059.0
2022-01-03	California	Delta	2306.0	2902.0	1734.0	2669.0	1914.0	2487.0	2091.0
2022-01-04	California	Delta	2370.0	3052.0	1820.0	2758.0	1955.0	2502.0	2088.0
2022-01-05	California	Delta	2420.0	3135.0	1846.0	2822.0	1986.0	2585.0	2154.0
2022-01-06	California	Delta	2450.0	3178.0	1867.0	2856.0	1994.0	2671.0	2231.0
2022-01-07	California	Delta	2461.0	3195.0	1875.0	2896.0	2025.0	2663.0	2220.0
2022-01-08	California	Delta	2447.0	3162.0	1838.0	2873.0	2012.0	2621.0	2183.0
2022-01-09	California	Delta	2401.0	3120.0	1816.0	2824.0	1975.0	2553.0	2123.0
2022-01-10	California	Delta	2334.0	3042.0	1774.0	2733.0	1920.0	2514.0	2097.0
2022-01-11	California	Delta	2241.0	2851.0	1645.0	2618.0	1838.0	2441.0	2047.0
2022-01-12	California	Delta	2129.0	2690.0	1551.0	2492.0	1753.0	2298.0	1920.0
