date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-06-22	Arizona	Delta	0.004086966	0.52073497	3.1719796e-05	0.1003266	0.00015479178	0.023180826	0.0007744756	1.3753373e-06
2022-06-23	Arizona	Delta	0.003698388	0.50718725	2.6402724e-05	0.09702477	0.00013621137	0.022706473	0.0006828875	1.220874e-06
2022-06-24	Arizona	Delta	0.0033483044	0.5109355	2.2027947e-05	0.09762021	0.00011587112	0.021561267	0.000603972	1.0684467e-06
2022-06-25	Arizona	Delta	0.003066051	0.52317905	1.7936656e-05	0.096062586	9.634144e-05	0.020597667	0.0005303189	9.36045e-07
2022-06-26	Arizona	Delta	0.0027713072	0.53851014	1.4353315e-05	0.0932466	7.799594e-05	0.01963501	0.00045687123	8.000203e-07
2022-06-27	Arizona	Delta	0.0025145677	0.57432425	1.1290925e-05	0.09226099	6.8181085e-05	0.019045612	0.00040165844	6.965893e-07
2022-06-28	Arizona	Delta	0.0023230873	0.618464	9.486269e-06	0.089798175	5.7003876e-05	0.01799775	0.00034429753	6.1418064e-07
2022-06-22	Arizona	Omicron 21K	0.26881075	10.246774	0.006925855	2.880449	0.0231755	0.9739417	0.07252563	8.7565146e-05
2022-06-23	Arizona	Omicron 21K	0.24380735	11.116523	0.0052678674	2.9093614	0.018638691	0.93954015	0.06164323	7.6311684e-05
2022-06-24	Arizona	Omicron 21K	0.2203142	12.487041	0.003889812	3.0770218	0.014675144	0.9031759	0.050678387	6.734918e-05
2022-06-25	Arizona	Omicron 21K	0.19915694	13.930021	0.0029050426	3.1803439	0.011706485	0.8761195	0.042521283	5.910181e-05
2022-06-26	Arizona	Omicron 21K	0.18003127	15.586674	0.0020539311	3.2832887	0.009227563	0.8447639	0.035787597	5.1167764e-05
2022-06-27	Arizona	Omicron 21K	0.16046649	17.49015	0.001488546	3.424997	0.0070609725	0.82323647	0.029669786	4.442608e-05
2022-06-28	Arizona	Omicron 21K	0.14491783	19.812113	0.0011036666	3.6588004	0.005653389	0.7960586	0.024558086	3.8628015e-05
2022-06-22	Arizona	Omicron 21L	421.228	1586.5187	118.788795	1024.86	181.08966	660.85657	269.04703	0.14144403
2022-06-23	Arizona	Omicron 21L	412.00024	1922.0605	98.19721	1150.062	153.99728	694.4391	248.92859	0.13433307
2022-06-24	Arizona	Omicron 21L	402.89127	2288.3784	77.74674	1280.8401	132.77338	726.7726	225.16745	0.12759955
2022-06-25	Arizona	Omicron 21L	392.70648	2687.1248	63.413067	1406.0983	115.82232	754.7874	207.42398	0.120341465
2022-06-26	Arizona	Omicron 21L	385.073	3219.1191	50.709427	1552.0563	100.928894	780.97003	191.02954	0.11324029
2022-06-27	Arizona	Omicron 21L	376.48407	3870.544	41.173782	1746.9807	86.30667	819.06134	175.44781	0.10643675
2022-06-28	Arizona	Omicron 21L	367.32635	4663.026	32.927753	1946.4546	75.07632	861.5153	160.25583	0.10012209
2022-06-22	Arizona	Omicron 22A	479.54773	2267.075	98.63914	1334.3097	178.30472	824.187	287.9521	0.16209824
2022-06-23	Arizona	Omicron 22A	499.47284	2919.1433	82.72201	1575.1808	163.18097	919.1356	283.07758	0.16360155
2022-06-24	Arizona	Omicron 22A	512.9667	3740.514	70.428665	1853.3003	148.1351	1027.9742	278.79218	0.16405532
2022-06-25	Arizona	Omicron 22A	524.63	4777.32	60.025955	2201.34	135.43863	1138.3406	273.29532	0.16485223
2022-06-26	Arizona	Omicron 22A	543.09753	6138.19	50.984306	2655.584	122.7792	1264.0573	266.77466	0.16544071
2022-06-27	Arizona	Omicron 22A	564.3123	7945.861	43.44098	3189.5078	109.96591	1410.9886	259.68137	0.16498554
2022-06-28	Arizona	Omicron 22A	583.056	10080.023	36.78189	3825.1858	99.105034	1583.1721	252.34517	0.16348496
2022-06-22	Arizona	Omicron 22B	631.1121	2672.0718	156.74998	1635.8655	242.591	1047.7161	381.1701	0.21275768
2022-06-23	Arizona	Omicron 22B	683.9458	3456.6072	139.71077	2014.0017	234.52336	1211.7297	384.29184	0.22397766
2022-06-24	Arizona	Omicron 22B	740.9654	4701.577	123.12048	2532.8071	226.55371	1414.392	386.8977	0.23577672
2022-06-25	Arizona	Omicron 22B	808.73444	6247.8213	113.21223	3114.4758	216.35803	1622.4102	394.22375	0.24745464
2022-06-26	Arizona	Omicron 22B	879.7262	8340.994	100.54986	3872.5132	206.726	1875.065	399.9118	0.25943714
2022-06-27	Arizona	Omicron 22B	942.4335	11138.622	88.61196	4847.1743	194.32697	2162.7207	402.24506	0.27244687
2022-06-28	Arizona	Omicron 22B	1018.5633	14894.076	79.46345	6017.681	182.991	2536.0488	410.2906	0.2839417
2022-06-22	Arizona	Omicron 22C	1305.8292	4269.15	424.37524	2781.1348	626.11005	1899.3219	884.46515	0.43413204
2022-06-23	Arizona	Omicron 22C	1308.8296	5166.3125	361.16797	3208.3088	554.06494	2009.2252	829.83405	0.42199433
2022-06-24	Arizona	Omicron 22C	1304.5015	6342.34	296.70547	3673.4639	486.2415	2155.4858	784.89465	0.40823853
2022-06-25	Arizona	Omicron 22C	1309.5887	7690.846	241.81056	4184.6147	432.68323	2271.946	735.4533	0.39514926
2022-06-26	Arizona	Omicron 22C	1304.1458	9181.584	201.20575	4701.576	379.36618	2435.185	691.7648	0.38102007
2022-06-27	Arizona	Omicron 22C	1290.605	11036.605	169.61014	5320.9336	335.12958	2597.0044	643.6018	0.36652333
2022-06-28	Arizona	Omicron 22C	1288.8273	13499.543	139.58763	6054.8877	296.02423	2752.839	595.7934	0.3524015
2022-06-22	Arizona	other	5.4384766	24.336966	1.2762612	14.2872925	2.135349	9.095208	3.2621245	0.0017764582
2022-06-23	Arizona	other	5.4352436	27.111631	1.1118457	15.187372	1.9561101	9.337089	3.056414	0.0016991813
2022-06-24	Arizona	other	5.3698807	30.32259	0.97098804	16.260508	1.8017836	9.545101	2.9336674	0.0016205816
2022-06-25	Arizona	other	5.3065248	33.36777	0.8580416	17.47251	1.6491141	9.873447	2.7937202	0.0015433168
2022-06-26	Arizona	other	5.2305107	36.59532	0.76872605	18.39433	1.4970495	10.114889	2.6206017	0.0014716262
2022-06-27	Arizona	other	5.1880417	40.408047	0.67776567	19.775951	1.3603394	10.374857	2.4885798	0.0013933904
2022-06-28	Arizona	other	5.141264	46.477375	0.5781853	21.47017	1.2489904	10.70969	2.342679	0.0013206052
2022-06-22	California	Delta	0.0032830257	3.2044404	4.364911e-06	0.27522865	5.514589e-05	0.03689418	0.00037031667	1.7736647e-07
2022-06-23	California	Delta	0.0029534358	3.5416462	3.2643645e-06	0.26587975	4.5438614e-05	0.03354445	0.0003083758	1.4789407e-07
2022-06-24	California	Delta	0.0026006803	3.6206336	2.382843e-06	0.26323774	3.650035e-05	0.031384245	0.00025967832	1.2252585e-07
2022-06-25	California	Delta	0.0022679486	3.519991	1.8955767e-06	0.26252013	2.9819936e-05	0.02907984	0.00022445519	1.0136998e-07
2022-06-26	California	Delta	0.0020342486	3.6051054	1.4849251e-06	0.2605742	2.3344064e-05	0.027789917	0.0001849903	8.503521e-08
2022-06-27	California	Delta	0.0017781076	3.7845721	1.1226246e-06	0.2526659	1.865972e-05	0.026341358	0.00015578247	7.142141e-08
2022-06-28	California	Delta	0.0015591765	3.9996674	8.295335e-07	0.25381884	1.4883965e-05	0.024959546	0.0001291104	5.963574e-08
2022-06-22	California	Omicron 21K	7.780707	1079.6567	0.08097022	169.10147	0.35865715	39.28307	1.4911467	0.0004049496
2022-06-23	California	Omicron 21K	7.625766	1465.1833	0.060923412	195.16336	0.28331646	41.40183	1.3020648	0.00037301792
2022-06-24	California	Omicron 21K	7.1903486	1917.9685	0.045490853	228.12477	0.23065606	43.899666	1.1555227	0.0003295659
2022-06-25	California	Omicron 21K	6.7709737	2533.3933	0.031176558	262.65768	0.1844973	45.86447	1.0205026	0.0002935941
2022-06-26	California	Omicron 21K	6.542014	3192.789	0.022359034	309.55276	0.15152223	48.751728	0.87764627	0.00026421092
2022-06-27	California	Omicron 21K	6.206653	3814.2007	0.01611495	358.34134	0.118299834	52.035336	0.7702495	0.00024124456
2022-06-28	California	Omicron 21K	5.868026	5038.3755	0.011921636	418.24274	0.09582628	55.373405	0.66002244	0.00021189847
2022-06-22	California	Omicron 21L	2235.4897	6283.5737	837.03674	4221.5835	1202.1119	3107.3987	1617.6163	0.11917049
2022-06-23	California	Omicron 21L	2126.0593	6645.74	725.1178	4269.2397	1075.2404	3048.9927	1496.4666	0.10770828
2022-06-24	California	Omicron 21L	2030.0366	6894.632	639.3868	4309.4336	964.8967	2996.6338	1379.256	0.097656175
2022-06-25	California	Omicron 21L	1930.7322	7069.633	562.48035	4383.6475	865.52423	2920.745	1275.312	0.08804698
2022-06-26	California	Omicron 21L	1840.4076	7340.3574	492.17914	4428.2573	777.2415	2875.4185	1181.6156	0.07884269
2022-06-27	California	Omicron 21L	1749.8953	7766.1475	429.59467	4497.413	693.4339	2816.0884	1088.8759	0.070309624
2022-06-28	California	Omicron 21L	1658.2998	8126.7246	370.27905	4603.5396	618.2827	2755.381	1000.42523	0.062632985
2022-06-22	California	Omicron 22A	1180.7882	5263.714	274.15985	3195.4111	476.14584	2011.396	711.56476	0.06433101
2022-06-23	California	Omicron 22A	1163.1749	5963.915	253.96283	3428.5308	438.70416	2072.9072	691.4878	0.060437016
2022-06-24	California	Omicron 22A	1150.6632	6683.654	229.37862	3666.6692	401.82523	2146.0327	665.5131	0.05712185
2022-06-25	California	Omicron 22A	1139.2451	7380.5425	199.01704	4021.8708	372.20892	2236.6484	636.75354	0.053918038
2022-06-26	California	Omicron 22A	1130.5621	8400.308	176.885	4369.9067	340.21313	2315.2107	607.7336	0.050572526
2022-06-27	California	Omicron 22A	1118.9458	9424.346	156.5696	4657.0186	314.575	2394.7053	583.9158	0.04761536
2022-06-28	California	Omicron 22A	1109.0403	10747.641	133.4754	5020.8647	287.20132	2492.7673	556.58014	0.044616796
2022-06-22	California	Omicron 22B	9094.786	23021.451	3571.4497	16527.688	4987.3765	12693.748	6512.8765	0.5117261
2022-06-23	California	Omicron 22B	9973.789	28536.361	3398.8035	20052.52	4925.1025	14426.439	6710.543	0.5371511
2022-06-24	California	Omicron 22B	10755.494	35382.6	3178.4712	24000.295	4880.904	16494.043	6957.6514	0.5629816
2022-06-25	California	Omicron 22B	11639.192	45065.06	3008.3896	28672.988	4781.4272	18713.96	7224.477	0.589484
2022-06-26	California	Omicron 22B	12553.479	57588.082	2810.6233	35043.33	4746.661	21490.574	7464.4307	0.61477685
2022-06-27	California	Omicron 22B	13587.035	72761.7	2617.6665	42727.31	4619.0596	24900.254	7702.473	0.6346512
2022-06-28	California	Omicron 22B	14840.738	93118.9	2379.0146	52162.73	4522.6284	28420.473	7899.588	0.65606666
2022-06-22	California	Omicron 22C	4253.5527	14585.277	1366.7147	9474.212	2006.0177	6396.352	2885.2036	0.24059293
2022-06-23	California	Omicron 22C	4016.7097	16753.5	1076.4064	9939.519	1700.2256	6373.0693	2550.2705	0.21802098
2022-06-24	California	Omicron 22C	3792.995	19289.494	832.5031	10394.606	1448.5885	6392.071	2259.0989	0.19951957
2022-06-25	California	Omicron 22C	3577.5537	21615.658	665.0685	10997.124	1238.42	6369.7783	2021.5925	0.180454
2022-06-26	California	Omicron 22C	3362.7046	24407.465	531.079	11681.552	1038.4789	6347.348	1799.0743	0.16142191
2022-06-27	California	Omicron 22C	3173.8267	28161.1	417.57104	12347.733	890.7233	6353.211	1602.1587	0.14462663
2022-06-28	California	Omicron 22C	2988.0542	32332.574	322.6744	13167.476	742.72394	6368.232	1420.6467	0.12818289
2022-06-22	California	other	52.064934	157.55913	18.48037	108.35931	25.735306	78.160675	35.90975	0.0027729683
2022-06-23	California	other	50.61682	164.08269	16.905476	109.551186	24.12166	78.041145	34.300365	0.0025857035
2022-06-24	California	other	49.5587	168.5602	15.401722	111.91059	22.787575	76.968994	32.707443	0.0023947535
2022-06-25	California	other	48.58803	175.3657	14.007	113.86136	21.269941	76.88886	31.347172	0.0022071297
2022-06-26	California	other	47.436344	181.86441	13.047859	115.77694	19.850592	76.59343	29.98757	0.0020432272
2022-06-27	California	other	46.310036	188.70567	11.941586	117.40705	18.79308	77.28304	28.670004	0.0018634266
2022-06-28	California	other	45.08384	199.08688	10.923289	120.25632	17.685389	77.15463	27.301878	0.0017032216
2022-06-22	Colorado	Delta	0.00026882708	0.041713957	1.8747314e-06	0.0071535376	9.4407815e-06	0.0013445616	4.7587775e-05	2.0263676e-07
2022-06-23	Colorado	Delta	0.00022515099	0.038879734	1.4577712e-06	0.0063426467	7.3856518e-06	0.0011665836	3.818065e-05	1.803615e-07
2022-06-24	Colorado	Delta	0.00018859314	0.03510881	1.1212052e-06	0.0055957623	5.7927864e-06	0.0010198797	3.059892e-05	1.5713417e-07
2022-06-25	Colorado	Delta	0.00015717128	0.032112423	8.7428225e-07	0.0049975323	4.6114033e-06	0.0008814243	2.468318e-05	1.3788971e-07
2022-06-26	Colorado	Delta	0.0001295768	0.029517405	6.633389e-07	0.0044227573	3.6484842e-06	0.0007586311	2.02696e-05	1.2093122e-07
2022-06-27	Colorado	Delta	0.00010925685	0.027378816	5.0295375e-07	0.0038931225	2.85245e-06	0.00064834475	1.6476679e-05	1.0573611e-07
