date	location	variant	median_R_forecast	R_forecast_upper_95	R_forecast_lower_95	R_forecast_upper_80	R_forecast_lower_80	R_forecast_upper_50	R_forecast_lower_50	median_freq
2022-05-27	Arizona	Delta	0.70300937	1.6178912	0.3086305	1.230102	0.40288788	0.9467195	0.52357566	1.0609712e-05
2022-05-28	Arizona	Delta	0.70300937	1.6178912	0.3086305	1.230102	0.40288788	0.9467195	0.52357566	9.3619865e-06
2022-05-29	Arizona	Delta	0.70300937	1.6178912	0.3086305	1.230102	0.40288788	0.9467195	0.52357566	8.256668e-06
2022-05-30	Arizona	Delta	0.70300937	1.6178912	0.3086305	1.230102	0.40288788	0.9467195	0.52357566	7.317361e-06
2022-05-31	Arizona	Delta	0.70300937	1.6178912	0.3086305	1.230102	0.40288788	0.9467195	0.52357566	6.4073884e-06
2022-06-01	Arizona	Delta	0.70300937	1.6178912	0.3086305	1.230102	0.40288788	0.9467195	0.52357566	5.584975e-06
2022-06-02	Arizona	Delta	0.70300937	1.6178912	0.3086305	1.230102	0.40288788	0.9467195	0.52357566	4.9216333e-06
2022-05-27	Arizona	Omicron 21K	0.63663757	1.522783	0.26027358	1.1405686	0.3588067	0.8830792	0.4762906	0.0002006504
2022-05-28	Arizona	Omicron 21K	0.63663757	1.522783	0.26027358	1.1405686	0.3588067	0.8830792	0.4762906	0.00016921613
2022-05-29	Arizona	Omicron 21K	0.63663757	1.522783	0.26027358	1.1405686	0.3588067	0.8830792	0.4762906	0.00014297126
2022-05-30	Arizona	Omicron 21K	0.63663757	1.522783	0.26027358	1.1405686	0.3588067	0.8830792	0.4762906	0.000119114164
2022-05-31	Arizona	Omicron 21K	0.63663757	1.522783	0.26027358	1.1405686	0.3588067	0.8830792	0.4762906	9.8995864e-05
2022-06-01	Arizona	Omicron 21K	0.63663757	1.522783	0.26027358	1.1405686	0.3588067	0.8830792	0.4762906	8.253909e-05
2022-06-02	Arizona	Omicron 21K	0.63663757	1.522783	0.26027358	1.1405686	0.3588067	0.8830792	0.4762906	6.854354e-05
2022-05-27	Arizona	Omicron 21L	0.84360516	1.7542521	0.39730853	1.3673757	0.51329094	1.1038399	0.65145326	0.15452361
2022-05-28	Arizona	Omicron 21L	0.84360516	1.7542521	0.39730853	1.3673757	0.51329094	1.1038399	0.65145326	0.1402711
2022-05-29	Arizona	Omicron 21L	0.84360516	1.7542521	0.39730853	1.3673757	0.51329094	1.1038399	0.65145326	0.126895
2022-05-30	Arizona	Omicron 21L	0.84360516	1.7542521	0.39730853	1.3673757	0.51329094	1.1038399	0.65145326	0.11394231
2022-05-31	Arizona	Omicron 21L	0.84360516	1.7542521	0.39730853	1.3673757	0.51329094	1.1038399	0.65145326	0.102498055
2022-06-01	Arizona	Omicron 21L	0.84360516	1.7542521	0.39730853	1.3673757	0.51329094	1.1038399	0.65145326	0.09225494
2022-06-02	Arizona	Omicron 21L	0.84360516	1.7542521	0.39730853	1.3673757	0.51329094	1.1038399	0.65145326	0.08254442
2022-05-27	Arizona	Omicron 22A	1.3095868	2.7923126	0.5869806	2.161939	0.7633057	1.6968069	0.9958737	0.022981048
2022-05-28	Arizona	Omicron 22A	1.3095868	2.7923126	0.5869806	2.161939	0.7633057	1.6968069	0.9958737	0.023287823
2022-05-29	Arizona	Omicron 22A	1.3095868	2.7923126	0.5869806	2.161939	0.7633057	1.6968069	0.9958737	0.023512542
2022-05-30	Arizona	Omicron 22A	1.3095868	2.7923126	0.5869806	2.161939	0.7633057	1.6968069	0.9958737	0.023766955
