date	location	variant	median_freq	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50
2022-02-21	Arizona	Delta	0.093774125	0.11809444	0.07178882	0.11015627	0.07915504	0.102186985	0.08582717
2022-02-22	Arizona	Delta	0.07180375	0.09504781	0.051285654	0.08644951	0.058461856	0.07952835	0.06461051
2022-02-23	Arizona	Delta	0.047255427	0.076678835	0.027298111	0.06522383	0.033397052	0.05587039	0.03947921
2022-02-24	Arizona	Delta	0.043328457	0.07262429	0.02362675	0.06109518	0.029759822	0.05176165	0.03564529
2022-02-25	Arizona	Delta	0.022392545	0.04263479	0.008929485	0.03479862	0.012842009	0.028406998	0.017109487
2022-02-26	Arizona	Delta	0.008700229	0.019624244	0.0028498506	0.0152419135	0.004290335	0.011705273	0.006165321
2022-02-27	Arizona	Delta	0.0070389495	0.018090406	0.001854266	0.013545926	0.0031047084	0.009946455	0.0046866965
2022-02-28	Arizona	Delta	0.0067401477	0.020056909	0.0013243345	0.014347612	0.0025143973	0.010047509	0.0041202493
2022-03-01	Arizona	Delta	0.0048413095	0.0160196	0.0007347521	0.011187942	0.0015585901	0.0075926306	0.002707158
2022-03-02	Arizona	Delta	0.0029785219	0.011019662	0.00037004243	0.0074132765	0.000852008	0.0048941723	0.0015727838
2022-03-03	Arizona	Delta	0.0019736164	0.008172363	0.00019309661	0.0053431825	0.00049054244	0.0034328708	0.0009732546
2022-03-04	Arizona	Delta	0.0015413905	0.007238125	0.00011781661	0.004603104	0.00032407473	0.0028185197	0.00070276565
2022-03-05	Arizona	Delta	0.001282968	0.0065434477	7.845441e-05	0.0041270847	0.00023613758	0.0024613785	0.0005478025
2022-03-06	Arizona	Delta	0.0010025203	0.0055862754	4.961017e-05	0.0034606827	0.00016352038	0.0020225605	0.0004072149
2022-03-07	Arizona	Delta	0.00073932216	0.004543429	2.9753684e-05	0.0027505723	0.00010703047	0.0015607993	0.0002801576
2022-03-08	Arizona	Delta	0.00054854597	0.0037359875	1.7825001e-05	0.002215122	6.8840694e-05	0.0012314547	0.00019685309
2022-03-09	Arizona	Delta	0.00043856227	0.003304485	1.1325827e-05	0.0019016103	4.798606e-05	0.0010360732	0.0001478946
2022-03-10	Arizona	Delta	0.00036404282	0.0029236923	7.589104e-06	0.0016544268	3.4758996e-05	0.0008866674	0.000115987525
2022-03-11	Arizona	Delta	0.000293601	0.00249382	5.196949e-06	0.0014044037	2.4953119e-05	0.00074129517	8.846104e-05
2022-03-12	Arizona	Delta	0.00023072687	0.0021098102	3.4126383e-06	0.0011669579	1.8010316e-05	0.000604089	6.679826e-05
2022-03-13	Arizona	Delta	0.00018549796	0.0018209448	2.2243082e-06	0.00097339245	1.2608295e-05	0.0004998652	5.0990668e-05
2022-03-14	Arizona	Delta	0.00015369194	0.0016110834	1.4921653e-06	0.0008356312	9.4336e-06	0.00042472448	3.984238e-05
2022-03-15	Arizona	Delta	0.00012709285	0.0014087479	9.836813e-07	0.00072809646	7.0479814e-06	0.00036454428	3.140996e-05
2022-03-16	Arizona	Delta	0.00010517497	0.0012340756	6.6749885e-07	0.00062534283	5.198383e-06	0.00031046482	2.5172903e-05
2022-03-17	Arizona	Delta	8.751571e-05	0.001054073	4.5383993e-07	0.0005282631	3.911497e-06	0.00026091415	2.0165058e-05
2022-03-18	Arizona	Delta	7.253523e-05	0.00090343814	3.134014e-07	0.0004375452	2.9070268e-06	0.00021951282	1.6428061e-05
2022-03-19	Arizona	Delta	6.0685634e-05	0.00077263464	2.2212254e-07	0.00037075114	2.2509882e-06	0.00018527581	1.3538611e-05
2022-03-20	Arizona	Delta	5.0516875e-05	0.0006427617	1.5350408e-07	0.00031055068	1.7362522e-06	0.00015418528	1.1170223e-05
2022-03-21	Arizona	Delta	4.16778e-05	0.0005248646	1.0886453e-07	0.00025332038	1.3257254e-06	0.00012549036	9.386676e-06
2022-03-22	Arizona	Delta	3.4250214e-05	0.00043572925	7.818557e-08	0.00020706147	1.0316643e-06	0.00010041526	7.9492675e-06
2022-03-23	Arizona	Delta	2.7921455e-05	0.0003566142	5.817407e-08	0.00016298615	8.1349884e-07	8.056079e-05	6.7018254e-06
2022-03-24	Arizona	Delta	2.31478e-05	0.0002836563	4.4436288e-08	0.00012926107	6.5622544e-07	6.378036e-05	5.594399e-06
2022-03-25	Arizona	Delta	1.8520428e-05	0.00023244435	3.322705e-08	0.00010497807	5.2835145e-07	5.0550167e-05	4.645857e-06
2022-03-26	Arizona	Delta	1.4964424e-05	0.00019220455	2.4779556e-08	8.5789674e-05	4.3065646e-07	3.9983108e-05	3.7326074e-06
2022-03-27	Arizona	Delta	1.2099679e-05	0.00015578303	1.8566437e-08	7.0538976e-05	3.504195e-07	3.2149495e-05	3.0231672e-06
2022-03-28	Arizona	Delta	9.8753735e-06	0.00013132935	1.39815715e-08	5.7686546e-05	2.8816325e-07	2.6085796e-05	2.4853339e-06
2022-03-29	Arizona	Delta	7.989346e-06	0.0001103932	1.0767079e-08	4.6516496e-05	2.4021318e-07	2.0854995e-05	2.0398004e-06
2022-03-30	Arizona	Delta	6.4839696e-06	9.345439e-05	8.003735e-09	3.8121285e-05	1.9979844e-07	1.7004622e-05	1.6528224e-06
2022-03-31	Arizona	Delta	5.246853e-06	8.066483e-05	6.060647e-09	3.204408e-05	1.6375047e-07	1.3916713e-05	1.3655952e-06
2022-04-01	Arizona	Delta	4.251109e-06	6.910877e-05	4.5089377e-09	2.6683634e-05	1.3359974e-07	1.1385862e-05	1.1268571e-06
2022-04-02	Arizona	Delta	3.5431206e-06	5.9804453e-05	3.2985952e-09	2.2291264e-05	1.0820791e-07	9.482064e-06	9.2530615e-07
2022-04-03	Arizona	Delta	2.9765738e-06	5.1874962e-05	2.4062383e-09	1.9142959e-05	8.650919e-08	7.913764e-06	7.821574e-07
2022-04-04	Arizona	Delta	2.4912897e-06	4.5063734e-05	1.7385718e-09	1.6547714e-05	6.9973e-08	6.736192e-06	6.452042e-07
2022-04-05	Arizona	Delta	2.1092135e-06	3.9623574e-05	1.2532251e-09	1.4624338e-05	5.650924e-08	5.831643e-06	5.421388e-07
2022-04-06	Arizona	Delta	1.7925859e-06	3.4951623e-05	9.1797575e-10	1.28906395e-05	4.6909726e-08	5.0128806e-06	4.596194e-07
2022-04-07	Arizona	Delta	1.5590966e-06	3.088689e-05	6.8000205e-10	1.1411219e-05	3.8060563e-08	4.386501e-06	3.875952e-07
2022-04-08	Arizona	Delta	1.3633828e-06	2.8067867e-05	4.828629e-10	1.0150286e-05	3.0878027e-08	3.8691223e-06	3.27245e-07
2022-04-09	Arizona	Delta	1.1990537e-06	2.6004387e-05	3.5074382e-10	9.2198425e-06	2.5092751e-08	3.489848e-06	2.7796384e-07
2022-04-10	Arizona	Delta	1.0629972e-06	2.4397543e-05	2.5136365e-10	8.543954e-06	2.0720428e-08	3.1451343e-06	2.4072529e-07
2022-04-11	Arizona	Delta	9.566204e-07	2.3111708e-05	1.8329518e-10	8.0297195e-06	1.6972221e-08	2.8684867e-06	2.1186888e-07
2022-04-12	Arizona	Delta	8.8007494e-07	2.1705502e-05	1.3223993e-10	7.6162632e-06	1.4262828e-08	2.6323155e-06	1.8675522e-07
2022-04-13	Arizona	Delta	8.0953464e-07	2.0861753e-05	9.97702e-11	7.1245895e-06	1.20866455e-08	2.5210384e-06	1.6977688e-07
2022-04-14	Arizona	Delta	7.5729514e-07	2.0420164e-05	7.440977e-11	6.9338207e-06	1.03534195e-08	2.427187e-06	1.5522849e-07
2022-04-15	Arizona	Delta	7.2152807e-07	2.0127201e-05	5.6523713e-11	6.800252e-06	8.757032e-09	2.349999e-06	1.4508475e-07
2022-04-16	Arizona	Delta	7.005859e-07	2.0615338e-05	4.4443203e-11	6.8870154e-06	7.555753e-09	2.3150333e-06	1.3523842e-07
2022-04-17	Arizona	Delta	6.9575844e-07	2.1399022e-05	3.5042587e-11	6.9313733e-06	6.863245e-09	2.3388409e-06	1.3069977e-07
2022-04-18	Arizona	Delta	6.8949726e-07	2.2523118e-05	2.8841398e-11	7.1161085e-06	6.4555263e-09	2.4297592e-06	1.3050688e-07
2022-04-19	Arizona	Delta	7.0534986e-07	2.4407182e-05	2.5028729e-11	7.5983185e-06	6.2270447e-09	2.5270824e-06	1.3144711e-07
2022-04-20	Arizona	Delta	7.3241887e-07	2.645143e-05	2.5886564e-11	8.215331e-06	5.9698997e-09	2.719203e-06	1.3342496e-07
2022-04-21	Arizona	Delta	7.8128767e-07	2.9389197e-05	3.416747e-11	9.141109e-06	6.109563e-09	2.9539774e-06	1.4130853e-07
2022-04-22	Arizona	Delta	8.441317e-07	3.3609344e-05	4.8398646e-11	1.0162508e-05	6.1740306e-09	3.2069322e-06	1.5087704e-07
2022-04-23	Arizona	Delta	9.3585936e-07	3.904444e-05	7.942825e-11	1.1507179e-05	6.492323e-09	3.5306516e-06	1.6355658e-07
2022-04-24	Arizona	Delta	1.0417261e-06	4.4053668e-05	1.1194533e-10	1.3315932e-05	7.3222437e-09	3.9595975e-06	1.7566143e-07
2022-04-25	Arizona	Delta	1.1567124e-06	5.1737607e-05	1.6155853e-10	1.5373194e-05	8.679965e-09	4.579155e-06	1.9354262e-07
2022-04-26	Arizona	Delta	1.3114573e-06	5.9424336e-05	2.331607e-10	1.7680653e-05	1.0312185e-08	5.2325745e-06	2.1744475e-07
2022-04-27	Arizona	Delta	1.5102503e-06	6.8814916e-05	4.0061057e-10	2.0411457e-05	1.2643109e-08	6.025216e-06	2.44391e-07
2022-04-28	Arizona	Delta	1.707808e-06	8.090917e-05	6.779532e-10	2.3795776e-05	1.611213e-08	6.9429e-06	2.7677575e-07
2022-04-29	Arizona	Delta	1.9664903e-06	9.802475e-05	1.0552468e-09	2.8014396e-05	2.2180883e-08	8.204752e-06	3.1907786e-07
2022-04-30	Arizona	Delta	2.2678e-06	0.00011278083	1.7054961e-09	3.3114018e-05	3.0047808e-08	9.47048e-06	3.8065264e-07
2022-05-01	Arizona	Delta	2.6877772e-06	0.00012979597	2.7086788e-09	3.908339e-05	4.175982e-08	1.1062049e-05	4.7477593e-07
