date	location	variant	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-06-02	Arizona	Delta	5.76006e-06	0.00044192545	8.2508244e-08	9.470886e-05	3.6099763e-07	2.4706294e-05	1.4201813e-06
2022-06-03	Arizona	Delta	5.231648e-06	0.00043052438	6.722155e-08	9.054891e-05	3.0752426e-07	2.2994353e-05	1.2619759e-06
2022-06-04	Arizona	Delta	4.7366693e-06	0.00042116985	5.7671812e-08	8.507902e-05	2.5490732e-07	2.1390533e-05	1.0992492e-06
2022-06-05	Arizona	Delta	4.2756956e-06	0.00042478906	4.917784e-08	8.077047e-05	2.1779974e-07	1.9539984e-05	9.4785065e-07
2022-06-06	Arizona	Delta	3.8693747e-06	0.00042444014	4.1441265e-08	7.461892e-05	1.8508412e-07	1.833407e-05	8.094685e-07
2022-06-07	Arizona	Delta	3.443737e-06	0.00040759298	3.396049e-08	6.999228e-05	1.5507139e-07	1.6555963e-05	6.9118425e-07
2022-06-08	Arizona	Delta	3.0761257e-06	0.0003857667	2.8203177e-08	6.741533e-05	1.3019022e-07	1.5016196e-05	6.045258e-07
2022-06-02	Arizona	Omicron 21K	0.00049671246	0.005956214	4.569763e-05	0.0024394977	9.983874e-05	0.0011341021	0.00021247342
2022-06-03	Arizona	Omicron 21K	0.00045014033	0.0062137204	3.6919744e-05	0.0023464647	8.419613e-05	0.001067567	0.0001857695
2022-06-04	Arizona	Omicron 21K	0.00040200865	0.0061570373	2.9387107e-05	0.002292422	6.9947e-05	0.0010016693	0.00016179826
2022-06-05	Arizona	Omicron 21K	0.00035802182	0.0061016567	2.362765e-05	0.002192951	5.853992e-05	0.00092299207	0.00014007202
2022-06-06	Arizona	Omicron 21K	0.00031966786	0.006234619	1.9242185e-05	0.002109949	4.8148686e-05	0.00085337233	0.00012109745
2022-06-07	Arizona	Omicron 21K	0.00028535255	0.006496823	1.5598956e-05	0.0020595363	3.9662325e-05	0.0007958545	0.000103758604
2022-06-08	Arizona	Omicron 21K	0.000251717	0.0066954023	1.2200293e-05	0.0019604352	3.2749085e-05	0.00074461807	8.868168e-05
2022-06-02	Arizona	Omicron 21L	0.25468802	0.4654255	0.11271237	0.387219	0.15281615	0.32055876	0.19600402
2022-06-03	Arizona	Omicron 21L	0.24275309	0.46854454	0.09926747	0.3837528	0.13855545	0.31183046	0.18279856
2022-06-04	Arizona	Omicron 21L	0.23098099	0.4702729	0.08650552	0.3807271	0.12536913	0.3045231	0.16951223
