date	location	variant	median_r	median_freq	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50
2022-03-30	California	Delta		2.294159e-05	nan	nan	nan	nan	nan	nan
2022-03-31	California	Delta	-0.45839715	2.139544e-05	0.03713572	-0.94171524	-0.112764835	-0.7303896	-0.3456781	-0.6641693
2022-04-01	California	Delta	-0.45711726	2.0301031e-05	0.04434192	-0.9744978	-0.12325525	-0.775583	-0.28821826	-0.6290002
2022-04-02	California	Delta	-0.39731574	1.8822244e-05	0.07547581	-0.87483215	-0.09250927	-0.70024824	-0.260108	-0.57503605
2022-04-03	California	Delta	-0.36648512	1.8364324e-05	0.077017665	-0.79738617	-0.087472916	-0.643394	-0.22803998	-0.51077795
2022-04-04	California	Delta	-0.37887728	1.791877e-05	0.06964266	-0.790802	-0.110565424	-0.64739513	-0.260921	-0.5308418
2022-04-05	California	Delta	-0.4087751	1.7176899e-05	0.047818422	-0.8281517	-0.11544746	-0.6671324	-0.29615986	-0.57629776
2022-03-30	California	Omicron 21K		0.37099743	nan	nan	nan	nan	nan	nan
2022-03-31	California	Omicron 21K	-0.4376216	0.3532344	-0.09628725	-0.77194786	-0.22088957	-0.66123104	-0.34116316	-0.57411766
2022-04-01	California	Omicron 21K	-0.45110655	0.33321422	-0.06843233	-0.809608	-0.22010899	-0.7089734	-0.3305292	-0.59174347
2022-04-02	California	Omicron 21K	-0.40306592	0.31995973	-0.06592989	-0.7424016	-0.20261621	-0.64771414	-0.29983902	-0.5350623
2022-04-03	California	Omicron 21K	-0.38808012	0.30384356	-0.07379818	-0.69311213	-0.20267868	-0.602051	-0.29903698	-0.50749755
2022-04-04	California	Omicron 21K	-0.40530849	0.29032087	-0.073788166	-0.6964172	-0.21413326	-0.61704373	-0.30930424	-0.5197916
2022-04-05	California	Omicron 21K	-0.4166665	0.2766691	-0.07333422	-0.72224534	-0.21244192	-0.6391673	-0.31595707	-0.54145765
2022-03-30	California	Omicron 21L		0.62062716	nan	nan	nan	nan	nan	nan
2022-03-31	California	Omicron 21L	-0.37876892	0.6361142	-0.02910328	-0.6895313	-0.15832233	-0.59103775	-0.30419207	-0.52325535
2022-04-01	California	Omicron 21L	-0.38755393	0.6557182	-0.017970085	-0.734303	-0.13510323	-0.6093478	-0.30712175	-0.55216074
2022-04-02	California	Omicron 21L	-0.33936024	0.66792005	-0.029888153	-0.67365336	-0.12419462	-0.54303026	-0.22672701	-0.44443703
2022-04-03	California	Omicron 21L	-0.329072	0.67789495	-0.0370574	-0.62693906	-0.12626791	-0.50724673	-0.26559734	-0.46052122
2022-04-04	California	Omicron 21L	-0.3469379	0.68678594	-0.035335064	-0.63448334	-0.14656925	-0.5376785	-0.28178787	-0.48087144
2022-04-05	California	Omicron 21L	-0.35684967	0.69951904	-0.035454273	-0.6634538	-0.1472168	-0.5621829	-0.28155804	-0.4947362
2022-03-30	California	other		0.0031633975	nan	nan	nan	nan	nan	nan
2022-03-31	California	other	-0.3297643	0.0033475836	-0.029044867	-0.6383106	-0.12265764	-0.5250081	-0.23008513	-0.43690884
2022-04-01	California	other	-0.31916875	0.0035718137	0.0013535023	-0.6291212	-0.10643053	-0.5257891	-0.20576856	-0.4223522
2022-04-02	California	other	-0.25160468	0.0038706472	0.013206482	-0.49424648	-0.07504225	-0.4088317	-0.16062653	-0.33369607
