date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2022-01-20	Arizona	Delta	30.0	49.0	14.0	40.0	18.0	34.0	23.0
2022-01-21	Arizona	Delta	25.0	43.0	12.0	35.0	16.0	28.0	18.0
2022-01-22	Arizona	Delta	20.0	36.0	8.0	29.0	11.0	23.0	15.0
2022-01-23	Arizona	Delta	17.0	31.0	6.0	24.0	9.0	20.0	12.0
2022-01-24	Arizona	Delta	14.0	26.0	5.0	20.0	8.0	16.0	10.0
2022-01-25	Arizona	Delta	12.0	23.0	4.0	17.0	6.0	14.0	8.0
2022-01-26	Arizona	Delta	10.0	20.0	3.0	14.0	5.0	11.0	6.0
2022-01-20	Arizona	Omicron	31679.0	44340.0	20784.0	39089.0	23582.0	34738.0	26441.0
2022-01-21	Arizona	Omicron	32997.0	47516.0	20518.0	41957.0	24548.0	36470.0	27266.0
2022-01-22	Arizona	Omicron	34489.0	50509.0	19957.0	44191.0	24833.0	38270.0	28080.0
2022-01-23	Arizona	Omicron	35995.0	54943.0	21046.0	47049.0	25528.0	40309.0	29095.0
2022-01-24	Arizona	Omicron	37608.0	57895.0	20423.0	50072.0	26266.0	42153.0	29927.0
2022-01-25	Arizona	Omicron	39311.0	63487.0	21972.0	52219.0	25912.0	44688.0	31148.0
2022-01-26	Arizona	Omicron	40950.0	67194.0	20905.0	56478.0	27163.0	47379.0	32222.0
2022-01-20	Arizona	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-21	Arizona	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-22	Arizona	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-23	Arizona	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-24	Arizona	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-25	Arizona	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-26	Arizona	other	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01-20	California	Delta	973.0	3883.0	61.0	1922.0	131.0	1071.0	238.0
2022-01-21	California	Delta	880.0	3946.0	54.0	1818.0	86.0	954.0	174.0
2022-01-22	California	Delta	787.0	4036.0	35.0	1711.0	69.0	819.0	103.0
