date	location	variant	median_R	median_freq	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50
2021-10-15	Arizona	Delta	1.0933981	0.9908812	1.1956835	0.99037224	1.1622878	1.0260448	1.132886	1.0606931
2021-10-16	Arizona	Delta	1.0952234	0.99084544	1.1858071	1.0044557	1.1563933	1.0383948	1.1213747	1.0598074
2021-10-17	Arizona	Delta	1.0964689	0.9910668	1.182305	1.0119939	1.1499529	1.039248	1.1194037	1.0635271
2021-10-18	Arizona	Delta	1.0981373	0.9913714	1.183722	1.018738	1.1478335	1.0436832	1.1249276	1.0716162
2021-10-19	Arizona	Delta	1.1012003	0.9914987	1.1776745	1.018667	1.1521883	1.052317	1.1260223	1.07476
2021-10-20	Arizona	Delta	1.1034243	0.9915385	1.1784503	1.0279034	1.1539338	1.057185	1.1303319	1.0812907
2021-10-21	Arizona	Delta	1.1057549	0.99160445	1.1775417	1.0351325	1.1516304	1.0594374	1.1278186	1.0802158
2021-10-22	Arizona	Delta	1.1079652	0.99173236	1.1729789	1.0397451	1.1538743	1.0666363	1.130745	1.0853662
2021-10-23	Arizona	Delta	1.1103454	0.99190426	1.1720998	1.0461164	1.1545693	1.0711131	1.1316692	1.0886694
2021-10-24	Arizona	Delta	1.1124249	0.9920551	1.1730843	1.0527309	1.1538178	1.0751952	1.1282449	1.0873697
2021-10-25	Arizona	Delta	1.1136198	0.99216247	1.1720953	1.0579448	1.153437	1.0774729	1.1318575	1.0934063
2021-10-26	Arizona	Delta	1.1145723	0.9922633	1.1694453	1.0605011	1.1551796	1.0824764	1.1311944	1.0946859
2021-10-27	Arizona	Delta	1.1153885	0.99238145	1.1706924	1.0662413	1.1502148	1.0808221	1.1314254	1.0961934
2021-10-28	Arizona	Delta	1.1160898	0.99252367	1.1670102	1.0665119	1.1487517	1.0832076	1.1317306	1.0979538
2021-10-29	Arizona	Delta	1.1163502	0.9926961	1.1675634	1.0723747	1.1479964	1.0850195	1.1304522	1.0981146
2021-10-30	Arizona	Delta	1.1164789	0.99285275	1.1624155	1.0702226	1.1441764	1.0845348	1.1286647	1.0972769
2021-10-31	Arizona	Delta	1.1163161	0.99297464	1.161054	1.0719631	1.1461494	1.0879769	1.1310049	1.1004827
2021-11-01	Arizona	Delta	1.1154666	0.9930985	1.1612214	1.07466	1.1467012	1.0903037	1.1323055	1.102304
2021-11-02	Arizona	Delta	1.11368	0.99323833	1.1561143	1.0715162	1.1406869	1.0857822	1.1257882	1.0966382
2021-11-03	Arizona	Delta	1.1119856	0.9933679	1.1511137	1.069048	1.1389246	1.0857344	1.1263115	1.0980338
2021-11-04	Arizona	Delta	1.1096044	0.99348986	1.1468651	1.0679048	1.1345996	1.0827202	1.1193625	1.0923349
2021-11-05	Arizona	Delta	1.1066544	0.99361587	1.1451126	1.0688899	1.1307213	1.0801332	1.117516	1.0910497
2021-11-06	Arizona	Delta	1.1035194	0.9937275	1.1407398	1.0662911	1.1261233	1.0774603	1.1179539	1.092588
2021-11-07	Arizona	Delta	1.1003404	0.9938379	1.1363652	1.0636017	1.1228927	1.0753433	1.1136854	1.08928
2021-11-08	Arizona	Delta	1.0962907	0.9939425	1.1331303	1.061927	1.1198729	1.0724297	1.1086286	1.0840523
2021-11-09	Arizona	Delta	1.0919578	0.99404216	1.12933	1.0579747	1.1170132	1.0696551	1.1059232	1.0815026
2021-11-10	Arizona	Delta	1.0874553	0.9941292	1.1237543	1.0521039	1.111567	1.0644363	1.0990316	1.0745059
2021-11-11	Arizona	Delta	1.0831652	0.99420696	1.1207249	1.0492246	1.1050044	1.0584484	1.0958121	1.0712379
2021-11-12	Arizona	Delta	1.0786111	0.99428236	1.1165186	1.0452313	1.0993193	1.0528302	1.0916094	1.0671991
2021-11-13	Arizona	Delta	1.0737257	0.9943475	1.1075284	1.0381268	1.0970917	1.0518109	1.086618	1.0624936
2021-11-14	Arizona	Delta	1.0687978	0.9944091	1.1022962	1.0351162	1.090962	1.0467527	1.0821657	1.0583531
2021-11-15	Arizona	Delta	1.0641431	0.99445367	1.0964042	1.030637	1.0862933	1.04309	1.0754482	1.0525372
2021-11-16	Arizona	Delta	1.0588492	0.99448836	1.0890007	1.0244969	1.0807716	1.0386357	1.069094	1.0467972
2021-11-17	Arizona	Delta	1.0535461	0.9945148	1.0833205	1.0193893	1.0741966	1.0323298	1.0627537	1.0408423
2021-11-18	Arizona	Delta	1.047782	0.9945369	1.0784743	1.0140628	1.0689988	1.0271103	1.056829	1.0347549
2021-11-19	Arizona	Delta	1.0422325	0.9945434	1.0774317	1.0125045	1.0628902	1.0204711	1.050464	1.0284959
2021-11-20	Arizona	Delta	1.0362644	0.9945332	1.0681288	1.0030081	1.0591547	1.0158985	1.0462965	1.0239165
2021-11-21	Arizona	Delta	1.0298619	0.99450314	1.0617659	0.99742323	1.0514816	1.007532	1.0408766	1.0182322
2021-11-22	Arizona	Delta	1.0234194	0.9944468	1.0562302	0.99132186	1.0441408	1.0002979	1.034291	1.0117013
2021-11-23	Arizona	Delta	1.0167894	0.9943685	1.0480201	0.98272604	1.0363382	0.9932771	1.028744	1.0066309
2021-11-24	Arizona	Delta	1.009581	0.99425817	1.043793	0.9788893	1.0307583	0.9881053	1.0217116	1.0000275
2021-11-25	Arizona	Delta	1.0020274	0.9941116	1.0318029	0.9672947	1.0216621	0.98004365	1.0139438	0.9923398
2021-11-26	Arizona	Delta	0.99379665	0.99391055	1.0249095	0.96091676	1.0155245	0.97494346	1.0051488	0.9838415
