date	location	variant	median_R	median_freq	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50
2022-01-18	Arizona	Delta	0.25574958	0.001135081	0.35053217	0.17789438	0.31402206	0.1995964	0.27912772	0.2173699
2022-01-19	Arizona	Delta	0.25574958	0.00089263613	0.35053217	0.17789438	0.31402206	0.1995964	0.27912772	0.2173699
2022-01-20	Arizona	Delta	0.25574958	0.00070066715	0.35053217	0.17789438	0.31402206	0.1995964	0.27912772	0.2173699
2022-01-21	Arizona	Delta	0.25574958	0.0005506815	0.35053217	0.17789438	0.31402206	0.1995964	0.27912772	0.2173699
2022-01-22	Arizona	Delta	0.25574958	0.00043322146	0.35053217	0.17789438	0.31402206	0.1995964	0.27912772	0.2173699
2022-01-23	Arizona	Delta	0.25574958	0.00034144387	0.35053217	0.17789438	0.31402206	0.1995964	0.27912772	0.2173699
2022-01-24	Arizona	Delta	0.25574958	0.00026878095	0.35053217	0.17789438	0.31402206	0.1995964	0.27912772	0.2173699
2022-01-18	Arizona	Omicron	1.20156	0.99885845	1.6333292	0.84933317	1.4541936	0.94308484	1.2833074	1.0075508
2022-01-19	Arizona	Omicron	1.20156	0.9991028	1.6333292	0.84933317	1.4541936	0.94308484	1.2833074	1.0075508
2022-01-20	Arizona	Omicron	1.20156	0.9992968	1.6333292	0.84933317	1.4541936	0.94308484	1.2833074	1.0075508
2022-01-21	Arizona	Omicron	1.20156	0.999447	1.6333292	0.84933317	1.4541936	0.94308484	1.2833074	1.0075508
2022-01-22	Arizona	Omicron	1.20156	0.9995644	1.6333292	0.84933317	1.4541936	0.94308484	1.2833074	1.0075508
2022-01-23	Arizona	Omicron	1.20156	0.99965703	1.6333292	0.84933317	1.4541936	0.94308484	1.2833074	1.0075508
2022-01-24	Arizona	Omicron	1.20156	0.99972975	1.6333292	0.84933317	1.4541936	0.94308484	1.2833074	1.0075508
2022-01-18	Arizona	other	0.24520165	5.4265565e-06	0.333481	0.169393	0.29767126	0.18920186	0.2688192	0.21014756
2022-01-19	Arizona	other	0.24520165	4.238829e-06	0.333481	0.169393	0.29767126	0.18920186	0.2688192	0.21014756
2022-01-20	Arizona	other	0.24520165	3.3060646e-06	0.333481	0.169393	0.29767126	0.18920186	0.2688192	0.21014756
2022-01-21	Arizona	other	0.24520165	2.5814104e-06	0.333481	0.169393	0.29767126	0.18920186	0.2688192	0.21014756
2022-01-22	Arizona	other	0.24520165	2.0236048e-06	0.333481	0.169393	0.29767126	0.18920186	0.2688192	0.21014756
2022-01-23	Arizona	other	0.24520165	1.5881922e-06	0.333481	0.169393	0.29767126	0.18920186	0.2688192	0.21014756
2022-01-24	Arizona	other	0.24520165	1.2449543e-06	0.333481	0.169393	0.29767126	0.18920186	0.2688192	0.21014756
2022-01-18	California	Delta	0.22733773	0.00044966507	0.56907666	0.044570804	0.38470274	0.07331389	0.2638401	0.1122439
2022-01-19	California	Delta	0.22733773	0.00035425925	0.56907666	0.044570804	0.38470274	0.07331389	0.2638401	0.1122439
2022-01-20	California	Delta	0.22733773	0.00028038752	0.56907666	0.044570804	0.38470274	0.07331389	0.2638401	0.1122439
2022-01-21	California	Delta	0.22733773	0.00022138018	0.56907666	0.044570804	0.38470274	0.07331389	0.2638401	0.1122439
2022-01-22	California	Delta	0.22733773	0.00017446344	0.56907666	0.044570804	0.38470274	0.07331389	0.2638401	0.1122439
2022-01-23	California	Delta	0.22733773	0.00013729496	0.56907666	0.044570804	0.38470274	0.07331389	0.2638401	0.1122439
2022-01-24	California	Delta	0.22733773	0.00010829557	0.56907666	0.044570804	0.38470274	0.07331389	0.2638401	0.1122439
2022-01-18	California	Omicron	1.0589576	0.9995445	2.6937847	0.2165637	1.7804452	0.3401837	1.3116634	0.60237354
2022-01-19	California	Omicron	1.0589576	0.9996412	2.6937847	0.2165637	1.7804452	0.3401837	1.3116634	0.60237354
2022-01-20	California	Omicron	1.0589576	0.9997158	2.6937847	0.2165637	1.7804452	0.3401837	1.3116634	0.60237354
2022-01-21	California	Omicron	1.0589576	0.99977523	2.6937847	0.2165637	1.7804452	0.3401837	1.3116634	0.60237354
2022-01-22	California	Omicron	1.0589576	0.9998229	2.6937847	0.2165637	1.7804452	0.3401837	1.3116634	0.60237354
2022-01-23	California	Omicron	1.0589576	0.9998609	2.6937847	0.2165637	1.7804452	0.3401837	1.3116634	0.60237354
2022-01-24	California	Omicron	1.0589576	0.99988997	2.6937847	0.2165637	1.7804452	0.3401837	1.3116634	0.60237354
2022-01-18	California	other	0.23464328	6.3400917e-06	0.59839	0.05401121	0.39441657	0.07416276	0.28960127	0.13169573
2022-01-19	California	other	0.23464328	5.0375247e-06	0.59839	0.05401121	0.39441657	0.07416276	0.28960127	0.13169573
2022-01-20	California	other	0.23464328	3.9977886e-06	0.59839	0.05401121	0.39441657	0.07416276	0.28960127	0.13169573
2022-01-21	California	other	0.23464328	3.168045e-06	0.59839	0.05401121	0.39441657	0.07416276	0.28960127	0.13169573
2022-01-22	California	other	0.23464328	2.5071631e-06	0.59839	0.05401121	0.39441657	0.07416276	0.28960127	0.13169573
2022-01-23	California	other	0.23464328	1.997558e-06	0.59839	0.05401121	0.39441657	0.07416276	0.28960127	0.13169573
2022-01-24	California	other	0.23464328	1.5752951e-06	0.59839	0.05401121	0.39441657	0.07416276	0.28960127	0.13169573
