date	location	variant	median_freq	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50
2021-10-15	Alabama	Delta	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2021-10-16	Alabama	Delta	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2021-10-17	Alabama	Delta	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2021-10-18	Alabama	Delta	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2021-10-19	Alabama	Delta	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2021-10-20	Alabama	Delta	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2021-10-21	Alabama	Delta	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2021-10-22	Alabama	Delta	0.9999279	0.99997133	0.99985	0.9999654	0.99989015	0.9999548	0.9999177
2021-10-23	Alabama	Delta	0.99884903	0.9995531	0.9976155	0.9994451	0.9982453	0.9992816	0.9986887
2021-10-24	Alabama	Delta	0.99756485	0.9990857	0.9950198	0.9988322	0.9963058	0.9985133	0.99726796
2021-10-25	Alabama	Delta	0.997053	0.998908	0.9940205	0.9986727	0.99563175	0.9982369	0.99672675
2021-10-26	Alabama	Delta	0.9968653	0.9989267	0.99376434	0.99860257	0.99536055	0.9979648	0.99635756
2021-10-27	Alabama	Delta	0.9964969	0.9987383	0.9930156	0.99844104	0.99485123	0.99779046	0.99600345
2021-10-28	Alabama	Delta	0.9957454	0.99842983	0.9915384	0.9980818	0.9937731	0.9972453	0.9950984
2021-10-29	Alabama	Delta	0.99465287	0.99831766	0.989706	0.997581	0.9922078	0.9964789	0.99379736
2021-10-30	Alabama	Delta	0.9933981	0.9976819	0.98713785	0.99676687	0.99015176	0.9956119	0.9923151
2021-10-31	Alabama	Delta	0.9920999	0.9972323	0.98467696	0.99610007	0.9882313	0.99458635	0.9906592
2021-11-01	Alabama	Delta	0.9907987	0.9967412	0.98215765	0.9954473	0.9863236	0.9936791	0.9891381
2021-11-02	Alabama	Delta	0.98947036	0.996095	0.97954065	0.99487007	0.98448104	0.99277043	0.98757976
2021-11-03	Alabama	Delta	0.988089	0.9955508	0.97685117	0.99406844	0.98234254	0.991874	0.9860343
2021-11-04	Alabama	Delta	0.9866116	0.99499404	0.97406083	0.9933453	0.980273	0.9908441	0.98431945
2021-11-05	Alabama	Delta	0.9852515	0.9944454	0.97154725	0.9928235	0.97854215	0.989929	0.9827615
2021-11-06	Alabama	Delta	0.98633	0.9950109	0.9742561	0.99294215	0.9800139	0.9907725	0.9842598
2021-11-07	Alabama	Delta	0.98810756	0.9948918	0.97750115	0.9938295	0.9829389	0.99134594	0.9858486
2021-11-08	Alabama	Delta	0.98800015	0.99468005	0.9775864	0.993293	0.9825744	0.99145645	0.98604214
2021-11-09	Alabama	Delta	0.9868841	0.99407595	0.97559416	0.99280417	0.9812429	0.99062485	0.9847711
2021-11-10	Alabama	Delta	0.9857743	0.9935059	0.97376794	0.9919036	0.97951424	0.9897726	0.98348176
2021-11-11	Alabama	Delta	0.98523474	0.9931979	0.97300524	0.99149257	0.97879374	0.98928183	0.98283875
2021-11-12	Alabama	Delta	0.9852493	0.99315584	0.9734761	0.9914976	0.97904235	0.9891446	0.98278546
2021-11-13	Alabama	Delta	0.98533523	0.9929972	0.9738332	0.9914726	0.9793396	0.98957515	0.9833713
2021-11-14	Alabama	Delta	0.985125	0.99278367	0.9737872	0.99119365	0.97916967	0.989301	0.98314923
2021-11-15	Alabama	Delta	0.9846059	0.992444	0.9731261	0.99083734	0.978638	0.98893493	0.98270154
2021-11-16	Alabama	Delta	0.9840116	0.99203366	0.97230005	0.9903315	0.9778657	0.98845893	0.98209375
2021-11-17	Alabama	Delta	0.9835012	0.99166614	0.97164905	0.98985267	0.9772362	0.9878292	0.9813776
2021-11-18	Alabama	Delta	0.9830878	0.9914169	0.9713098	0.9896104	0.9769737	0.9873769	0.9809286
2021-11-19	Alabama	Delta	0.98269963	0.99056906	0.9704928	0.98926526	0.976588	0.98695606	0.980528
2021-11-20	Alabama	Delta	0.9823024	0.99023235	0.9701548	0.9886632	0.9759679	0.9865382	0.9801298
2021-11-21	Alabama	Delta	0.98177034	0.9896422	0.9693611	0.9882717	0.97550106	0.9860668	0.97960895
