date	location	variant	median_r	median_freq	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50
2021-11-15	California	Delta		0.9920691	nan	nan	nan	nan	nan	nan
2021-11-16	California	Delta	0.050826073	0.9919863	0.05906105	0.04492092	0.055189133	0.04639435	0.05199051	0.04754162
2021-11-17	California	Delta	-0.1789155	0.99261665	-0.033176422	-0.2928095	-0.098716736	-0.26355743	-0.15696526	-0.24217415
2021-11-18	California	Delta	-0.2987361	0.9940294	-0.053318024	-0.5164356	-0.14420319	-0.44401932	-0.20696163	-0.37328053
2021-11-19	California	Delta	-0.097100735	0.9952568	-0.012372971	-0.20081806	-0.03948307	-0.16078949	-0.05453396	-0.115942955
2021-11-20	California	Delta	0.047813416	0.99590576	0.13107872	-0.042681694	0.10489464	-0.006594658	0.07701683	0.018198013
2021-11-21	California	Delta	0.039525032	0.99618965	0.119130135	-0.035983086	0.08806038	-0.011543274	0.061904907	0.009273529
2021-11-22	California	Delta	-0.03928423	0.996344	-0.0047750473	-0.06827545	-0.018445015	-0.060560226	-0.027355194	-0.049362183
2021-11-23	California	Delta	-0.08957052	0.99652374	-0.03612137	-0.14223576	-0.057257652	-0.12730217	-0.072387695	-0.10905266
2021-11-24	California	Delta	-0.049895287	0.99677557	-0.0016651154	-0.09888172	-0.016259193	-0.07990646	-0.03212166	-0.064050674
2021-11-25	California	Delta	0.026816368	0.99699813	0.08016491	-0.026427269	0.06093216	-0.009087563	0.04123783	0.00537014
2021-11-26	California	Delta	0.057559013	0.99708194	0.12269306	0.0015888214	0.09705353	0.01829815	0.07295227	0.031899452
2021-11-27	California	Delta	0.036838055	0.99703693	0.07333088	0.0030956268	0.058259964	0.012840271	0.04665661	0.022830963
2021-11-28	California	Delta	0.01446867	0.9972194	0.035131454	-0.0052843094	0.028039932	0.0016727448	0.019963264	0.0060338974
2021-11-29	California	Delta	0.020762444	0.99738777	0.04330921	-0.0012321472	0.036005974	0.006734848	0.027952194	0.012554169
2021-11-30	California	Delta	0.047905445	0.9971867	0.07280254	0.022628784	0.064538956	0.031882286	0.057196617	0.03996849
2021-12-01	California	Delta	0.06375837	0.99683356	0.09424019	0.032463074	0.084926605	0.044879913	0.0767746	0.055304527
2021-12-02	California	Delta	0.0563426	0.99636316	0.08433628	0.025424004	0.077747345	0.039218903	0.06707096	0.046868324
2021-12-03	California	Delta	0.039465427	0.9955317	0.0692997	0.009899139	0.05776024	0.018849373	0.04928589	0.02918911
2021-12-04	California	Delta	0.028621674	0.994156	0.057250023	-0.0027275085	0.04699421	0.007929802	0.038746834	0.018138885
2021-12-05	California	Delta	0.02640152	0.9921142	0.052872658	-0.0027866364	0.043689728	0.0074062347	0.036595345	0.017499924
2021-12-06	California	Delta	0.022711277	0.98908067	0.048678398	-0.0054712296	0.040481567	0.005997658	0.03143406	0.01356411
2021-12-07	California	Delta	0.010670185	0.9843469	0.03519249	-0.016878128	0.026532173	-0.0066814423	0.019043922	0.0017328262
2021-12-08	California	Delta	-0.0062737465	0.97697914	0.018257141	-0.031603813	0.009112358	-0.023163795	0.0022096634	-0.014368057
2021-12-09	California	Delta	-0.022271633	0.9657247	0.0016365051	-0.045466423	-0.0074100494	-0.037900925	-0.015553474	-0.031295776
2021-12-10	California	Delta	-0.03437233	0.9489299	-0.011143684	-0.054392815	-0.019857407	-0.04726219	-0.027274132	-0.041446686
2021-12-11	California	Delta	-0.044605732	0.92431265	-0.025043488	-0.06455135	-0.03237915	-0.057463646	-0.038451195	-0.051581383
2021-12-12	California	Delta	-0.056245327	0.8894111	-0.038095474	-0.07700443	-0.043398857	-0.06821823	-0.04982567	-0.062932014
2021-12-13	California	Delta	-0.068716526	0.84171796	-0.051015854	-0.09078312	-0.0560112	-0.08136654	-0.06221199	-0.07584095
