date	location	variant	median_r	median_freq	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50
2022-01-03	Arizona	Delta	-0.28462085	0.025636092	-0.17927767	-0.43711916	-0.22594345	-0.3942307	-0.26330394	-0.3507867
2022-01-04	Arizona	Delta	-0.28462085	0.020126428	-0.17927767	-0.43711916	-0.22594345	-0.3942307	-0.26330394	-0.3507867
2022-01-05	Arizona	Delta	-0.28462085	0.015740052	-0.17927767	-0.43711916	-0.22594345	-0.3942307	-0.26330394	-0.3507867
2022-01-06	Arizona	Delta	-0.28462085	0.012334542	-0.17927767	-0.43711916	-0.22594345	-0.3942307	-0.26330394	-0.3507867
2022-01-07	Arizona	Delta	-0.28462085	0.009766048	-0.17927767	-0.43711916	-0.22594345	-0.3942307	-0.26330394	-0.3507867
2022-01-08	Arizona	Delta	-0.28462085	0.0077319155	-0.17927767	-0.43711916	-0.22594345	-0.3942307	-0.26330394	-0.3507867
2022-01-09	Arizona	Delta	-0.28462085	0.0061328197	-0.17927767	-0.43711916	-0.22594345	-0.3942307	-0.26330394	-0.3507867
2022-01-03	Arizona	Omicron	-0.042534348	0.9742093	0.07338292	-0.19169481	0.025104295	-0.14588816	-0.023397133	-0.11808442
2022-01-04	Arizona	Omicron	-0.042534348	0.97976464	0.07338292	-0.19169481	0.025104295	-0.14588816	-0.023397133	-0.11808442
2022-01-05	Arizona	Omicron	-0.042534348	0.98416775	0.07338292	-0.19169481	0.025104295	-0.14588816	-0.023397133	-0.11808442
2022-01-06	Arizona	Omicron	-0.042534348	0.9875815	0.07338292	-0.19169481	0.025104295	-0.14588816	-0.023397133	-0.11808442
2022-01-07	Arizona	Omicron	-0.042534348	0.99017954	0.07338292	-0.19169481	0.025104295	-0.14588816	-0.023397133	-0.11808442
2022-01-08	Arizona	Omicron	-0.042534348	0.99221945	0.07338292	-0.19169481	0.025104295	-0.14588816	-0.023397133	-0.11808442
2022-01-09	Arizona	Omicron	-0.042534348	0.9938284	0.07338292	-0.19169481	0.025104295	-0.14588816	-0.023397133	-0.11808442
2022-01-03	Arizona	other	-0.28253287	0.00014580836	-0.18169776	-0.43633148	-0.22033209	-0.37427074	-0.26530987	-0.35226798
2022-01-04	Arizona	other	-0.28253287	0.000114835326	-0.18169776	-0.43633148	-0.22033209	-0.37427074	-0.26530987	-0.35226798
2022-01-05	Arizona	other	-0.28253287	8.967954e-05	-0.18169776	-0.43633148	-0.22033209	-0.37427074	-0.26530987	-0.35226798
2022-01-06	Arizona	other	-0.28253287	7.0256036e-05	-0.18169776	-0.43633148	-0.22033209	-0.37427074	-0.26530987	-0.35226798
2022-01-07	Arizona	other	-0.28253287	5.549504e-05	-0.18169776	-0.43633148	-0.22033209	-0.37427074	-0.26530987	-0.35226798
