date	location	variant	median_I_smooth	I_smooth_upper_95	I_smooth_lower_95	I_smooth_upper_80	I_smooth_lower_80	I_smooth_upper_50	I_smooth_lower_50	median_freq
2022-07-13	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-14	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-15	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-16	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-17	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-18	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-19	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-20	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-21	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-22	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-23	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-24	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-25	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-26	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-27	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-28	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-29	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-30	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-07-31	USA	BA.2.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-08-01	USA	BA.2.3.20	2.9654345e-08	4.3788678e-08	2.0355662e-08	3.7998678e-08	2.2919664e-08	3.372701e-08	2.5911064e-08	2.321091e-13
2022-08-02	USA	BA.2.3.20	0.07409849	0.109416515	0.0508635	0.09494881	0.057270274	0.08427502	0.06474501	5.8822366e-07
2022-08-03	USA	BA.2.3.20	1.231545	1.8185433	0.8453706	1.5780855	0.95185405	1.4006827	1.0760868	9.909334e-06
2022-08-04	USA	BA.2.3.20	2.6694129	3.9415631	1.8323759	3.420673	2.0632987	3.0359635	2.3325179	2.1792854e-05
2022-08-05	USA	BA.2.3.20	3.429456	5.062711	2.3551729	4.391654	2.6518776	3.8991983	2.99792	2.83957e-05
2022-08-06	USA	BA.2.3.20	4.2338777	6.236181	2.9124553	5.4079037	3.2781963	4.810577	3.700314	3.5522895e-05
2022-08-07	USA	BA.2.3.20	5.4119034	7.9486876	3.738941	6.9036117	4.200257	6.1476955	4.736193	4.6115165e-05
2022-08-08	USA	BA.2.3.20	6.6609154	9.737848	4.614636	8.479301	5.1786733	7.5660496	5.8353434	5.7589088e-05
2022-08-09	USA	BA.2.3.20	7.8212733	11.411011	5.4271326	9.942264	6.0916004	8.876085	6.857994	6.8615336e-05
2022-08-10	USA	BA.2.3.20	9.051111	13.179752	6.306045	11.492974	7.069263	10.254759	7.945715	8.058323e-05
2022-08-11	USA	BA.2.3.20	10.413409	15.123549	7.2883983	13.202457	8.156973	11.786625	9.150598	9.415459e-05
2022-08-12	USA	BA.2.3.20	11.845686	17.126625	8.298893	14.991044	9.299885	13.400564	10.423251	0.000108707565
2022-08-13	USA	BA.2.3.20	13.327351	19.187574	9.379301	16.819878	10.484267	15.047858	11.746328	0.00012412056
2022-08-14	USA	BA.2.3.20	14.881459	21.364052	10.509687	18.73637	11.732864	16.783855	13.124649	0.00014076347
2022-08-15	USA	BA.2.3.20	16.53915	23.677788	11.713615	20.772257	13.06316	18.613255	14.596499	0.00015881303
2022-08-16	USA	BA.2.3.20	18.20428	25.956602	12.923629	22.806253	14.41449	20.464903	16.09559	0.00017761048
2022-08-17	USA	BA.2.3.20	18.863903	26.734884	13.489018	23.537249	14.969449	21.180874	16.715683	0.00018697367
2022-08-18	USA	BA.2.3.20	19.34071	27.251728	13.89813	24.021877	15.415112	21.669306	17.171211	0.00019473635
2022-08-19	USA	BA.2.3.20	20.587692	28.904724	14.850381	25.476954	16.486229	23.01219	18.311863	0.00021080778
2022-08-20	USA	BA.2.3.20	21.86894	30.629906	15.877548	26.98579	17.59974	24.430264	19.519	0.00022779033
2022-08-21	USA	BA.2.3.20	22.907654	31.926357	16.671616	28.147884	18.46649	25.533981	20.499405	0.0002427122
2022-08-22	USA	BA.2.3.20	23.996239	33.2335	17.55293	29.358322	19.403826	26.68143	21.515228	0.00025857915
2022-08-23	USA	BA.2.3.20	25.274334	34.755722	18.606775	30.81582	20.499937	28.049784	22.706127	0.00027715095
2022-08-24	USA	BA.2.3.20	26.59992	36.42184	19.693043	32.316372	21.62377	29.477007	23.970514	0.00029691338
