date	location	variant	median_I_smooth_forecast	I_smooth_forecast_upper_95	I_smooth_forecast_lower_95	I_smooth_forecast_upper_80	I_smooth_forecast_lower_80	I_smooth_forecast_upper_50	I_smooth_forecast_lower_50	median_freq
2022-12-20	USA	BA.2	24.110498	32.91768	18.035872	29.650211	19.958006	26.81749	21.79932	0.00034022157
2022-12-21	USA	BA.2	22.85992	31.74212	17.020435	28.448639	18.847347	25.586658	20.618008	0.00031297133
2022-12-22	USA	BA.2	21.712055	30.512577	15.925667	27.310051	17.728666	24.427574	19.46967	0.00028727285
2022-12-23	USA	BA.2	20.635082	29.4349	14.894792	26.238764	16.683558	23.332243	18.40742	0.00026303987
2022-12-24	USA	BA.2	19.561718	28.460047	13.9650345	25.117493	15.704299	22.317791	17.411871	0.00024054127
2022-12-25	USA	BA.2	18.605412	27.548508	12.983957	24.135517	14.794514	21.318378	16.424877	0.00021952094
2022-12-26	USA	BA.2	17.685268	26.605164	12.117174	23.207415	13.878787	20.342575	15.5068	0.00019987542
2022-12-20	USA	BA.2.3.20	291.58514	386.01096	225.1098	352.46518	244.82661	322.1889	266.42422	0.004122544
2022-12-21	USA	BA.2.3.20	288.3977	389.97794	219.47354	351.3186	239.82341	320.8606	261.8665	0.00394624
2022-12-22	USA	BA.2.3.20	284.81387	392.87292	212.96233	350.589	235.1146	319.48553	257.66055	0.003771205
2022-12-23	USA	BA.2.3.20	281.36084	395.14908	206.67966	350.72443	229.76515	318.04025	253.51747	0.0035954255
2022-12-24	USA	BA.2.3.20	277.68604	397.08307	200.89577	351.55884	225.1438	316.32697	249.0959	0.0034234065
2022-12-25	USA	BA.2.3.20	274.5403	398.2135	195.50494	351.33493	220.17198	314.87238	244.24551	0.003253654
2022-12-26	USA	BA.2.3.20	271.8927	401.59784	190.62074	351.0942	215.1167	313.54962	239.80566	0.0030860612
2022-12-20	USA	BA.2.75	111.87272	147.80371	85.054756	133.69875	93.08267	123.063965	101.099976	0.0015691421
2022-12-21	USA	BA.2.75	108.27098	144.20798	81.49808	130.27415	89.21277	119.56027	97.33634	0.0014694151
2022-12-22	USA	BA.2.75	104.6615	142.07556	77.44317	127.17919	85.347946	116.29898	93.417595	0.0013737527
2022-12-23	USA	BA.2.75	101.22452	139.26228	74.10669	124.43167	81.76991	113.215996	89.9929	0.0012797215
2022-12-24	USA	BA.2.75	97.89352	136.94743	70.3296	121.92542	78.29824	110.25157	86.57713	0.0011915728
2022-12-25	USA	BA.2.75	94.624084	134.42357	66.71064	119.326904	74.9839	107.390755	83.19899	0.0011069219
2022-12-26	USA	BA.2.75	91.58348	132.47394	63.27833	116.533585	71.60672	104.331955	79.80678	0.0010258867
2022-12-20	USA	BA.2.75.2	115.00571	159.82863	84.59788	141.35336	92.61832	128.21544	102.38272	0.0016132348
2022-12-21	USA	BA.2.75.2	113.20654	159.63853	82.002686	140.65198	90.32259	126.92053	100.39968	0.0015386498
2022-12-22	USA	BA.2.75.2	111.37276	160.14311	79.46632	140.39955	87.91698	126.03597	98.610504	0.0014665159
2022-12-23	USA	BA.2.75.2	109.87501	160.43211	76.98778	139.77121	85.82249	124.93301	96.751015	0.00139453
2022-12-24	USA	BA.2.75.2	108.33797	160.0728	74.92771	139.32529	83.760826	123.88568	94.874855	0.001321605
2022-12-25	USA	BA.2.75.2	106.84512	160.09058	72.35701	138.95055	81.70765	122.843544	93.04641	0.0012518096
2022-12-26	USA	BA.2.75.2	105.18928	160.08087	69.77366	138.71996	79.81839	122.0144	91.25046	0.0011824314
2022-12-20	USA	BA.2.75.4	122.49309	204.62764	74.34055	171.14413	89.3864	145.90926	103.54921	0.0017287175
2022-12-21	USA	BA.2.75.4	124.02731	211.14035	73.8963	176.17262	89.99632	148.68388	104.52928	0.0016984242
2022-12-22	USA	BA.2.75.4	125.88007	217.44542	73.86795	181.01028	90.44067	151.79099	105.390854	0.0016640904
2022-12-23	USA	BA.2.75.4	127.40259	224.59807	73.64075	185.73438	90.6206	155.09032	106.15934	0.0016281691
2022-12-24	USA	BA.2.75.4	129.39722	231.88383	73.3046	190.27939	91.071266	158.46187	106.91055	0.0015899378
2022-12-25	USA	BA.2.75.4	131.22833	238.13234	73.00254	194.6939	91.40272	161.44267	107.811874	0.0015505815
2022-12-26	USA	BA.2.75.4	132.88025	246.55801	72.793976	199.69882	91.66814	164.45847	108.78812	0.0015060403
2022-12-20	USA	BA.4.6	285.24103	375.87073	219.60017	342.5303	239.4425	314.43466	258.7239	0.004009188
2022-12-21	USA	BA.4.6	270.8588	362.89877	204.98695	328.38037	225.16838	300.84464	244.24033	0.0036870127
