date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	median_freq
2022-07-03	USA	BA.2.3.20	1.3356321	1.4358426	1.2419246	1.4002687	1.2747722	1.3697064	1.3032956	0.0
2022-07-04	USA	BA.2.3.20	1.3364103	1.431543	1.245978	1.3978957	1.2776824	1.3677447	1.3050861	0.0
2022-07-05	USA	BA.2.3.20	1.3364167	1.4257989	1.2510514	1.3958367	1.2801518	1.3662522	1.306574	0.0
2022-07-06	USA	BA.2.3.20	1.3361652	1.4228395	1.2532966	1.3936253	1.2813827	1.3650646	1.307682	0.0
2022-07-07	USA	BA.2.3.20	1.3354365	1.4207069	1.2547135	1.3911847	1.2827543	1.363863	1.308334	0.0
2022-07-08	USA	BA.2.3.20	1.3344436	1.4171821	1.2564452	1.3887631	1.2832124	1.3626564	1.3086684	0.0
2022-07-09	USA	BA.2.3.20	1.3337071	1.4148451	1.2567487	1.3864093	1.2834241	1.3615546	1.3082511	0.0
2022-07-10	USA	BA.2.3.20	1.3327525	1.4127544	1.2575469	1.383475	1.2834102	1.3604244	1.3076173	0.0
2022-07-11	USA	BA.2.3.20	1.332108	1.4102378	1.2581029	1.3808528	1.2841314	1.3588297	1.3071176	0.0
2022-07-12	USA	BA.2.3.20	1.3306575	1.407316	1.2575687	1.3781013	1.283756	1.3569684	1.3058609	0.0
2022-07-13	USA	BA.2.3.20	1.3289418	1.4043388	1.2574079	1.376214	1.2833612	1.3553545	1.3047972	0.0
2022-07-14	USA	BA.2.3.20	1.3269522	1.4019406	1.2571913	1.3741834	1.2826804	1.3527689	1.3034899	0.0
2022-07-15	USA	BA.2.3.20	1.3252094	1.3986459	1.2562845	1.3719091	1.2813324	1.3506104	1.3019005	0.0
2022-07-16	USA	BA.2.3.20	1.3231213	1.3953054	1.2553693	1.3698841	1.2801158	1.3481188	1.3003718	0.0
2022-07-17	USA	BA.2.3.20	1.321646	1.3916582	1.255199	1.367394	1.2785907	1.3456267	1.298691	0.0
2022-07-18	USA	BA.2.3.20	1.3198799	1.387833	1.2537987	1.3654866	1.2768193	1.343147	1.29659	0.0
2022-07-19	USA	BA.2.3.20	1.3177259	1.3853567	1.2515599	1.3628324	1.2750925	1.3408351	1.29463	0.0
2022-07-20	USA	BA.2.3.20	1.315484	1.3824556	1.2509576	1.3600824	1.2731862	1.338291	1.2924266	0.0
2022-07-21	USA	BA.2.3.20	1.3134091	1.3788306	1.2483592	1.357013	1.2715027	1.3358352	1.2903731	0.0
2022-07-22	USA	BA.2.3.20	1.3108428	1.3757639	1.2460428	1.3540634	1.2695436	1.3330956	1.2880518	0.0
2022-07-23	USA	BA.2.3.20	1.3080776	1.3734798	1.2441233	1.3507478	1.267536	1.3303889	1.285879	0.0
2022-07-24	USA	BA.2.3.20	1.3053198	1.3698289	1.2418966	1.3476603	1.2650453	1.3274958	1.2832899	0.0
2022-07-25	USA	BA.2.3.20	1.302658	1.3663672	1.23964	1.3443043	1.2622713	1.3250027	1.2807927	0.0
2022-07-26	USA	BA.2.3.20	1.2998657	1.3643641	1.2371036	1.3413271	1.2592727	1.3220675	1.278434	0.0
2022-07-27	USA	BA.2.3.20	1.2968009	1.3605702	1.2347907	1.3384523	1.2566179	1.318958	1.2753541	0.0
2022-07-28	USA	BA.2.3.20	1.2940128	1.3572768	1.2318994	1.3348037	1.2541214	1.3161199	1.2726605	0.0
2022-07-29	USA	BA.2.3.20	1.2910802	1.3535105	1.2292545	1.3314906	1.2509314	1.312721	1.2696167	0.0
2022-07-30	USA	BA.2.3.20	1.2875376	1.3497834	1.2264261	1.3280418	1.2482353	1.3090805	1.2668287	0.0
2022-07-31	USA	BA.2.3.20	1.2846115	1.3465235	1.2247351	1.324518	1.2453077	1.3054075	1.2640532	0.0
2022-08-01	USA	BA.2.3.20	1.2812607	1.3427185	1.2221338	1.320642	1.2422838	1.3018334	1.2608669	1.5386335e-13
2022-08-02	USA	BA.2.3.20	1.2779236	1.3382964	1.2198435	1.3167739	1.2391962	1.298459	1.2576694	3.8843896e-07
2022-08-03	USA	BA.2.3.20	1.2746389	1.3340908	1.2166936	1.3133094	1.2361443	1.29502	1.2544885	6.5190643e-06
2022-08-04	USA	BA.2.3.20	1.2709506	1.332143	1.2139643	1.3096156	1.2337538	1.2913041	1.2512928	1.4273997e-05
2022-08-05	USA	BA.2.3.20	1.2670985	1.3278744	1.210472	1.3058052	1.2309101	1.2878065	1.2481625	1.8576444e-05
2022-08-06	USA	BA.2.3.20	1.2638485	1.3240485	1.207042	1.3023297	1.227349	1.2841604	1.2446179	2.3247392e-05
2022-08-07	USA	BA.2.3.20	1.2602732	1.3211747	1.2045561	1.2997009	1.2242267	1.2805052	1.2411956	3.0217372e-05
