date	location	variant	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-10-05	USA	B.1.1.529	0.00010640547	0.00015541149	7.266727e-05	0.00013680858	8.286626e-05	0.00012155617	9.293818e-05
2022-10-06	USA	B.1.1.529	0.00010143427	0.00014879311	6.897128e-05	0.00013079213	7.874894e-05	0.00011606747	8.845351e-05
2022-10-07	USA	B.1.1.529	9.64973e-05	0.00014227476	6.5389104e-05	0.00012470629	7.4767406e-05	0.00011068588	8.414842e-05
2022-10-08	USA	B.1.1.529	9.179364e-05	0.00013603146	6.196504e-05	0.00011885702	7.0844464e-05	0.00010539482	7.9938865e-05
2022-10-09	USA	B.1.1.529	8.732012e-05	0.00012994504	5.8578873e-05	0.00011327763	6.701663e-05	0.000100248144	7.579975e-05
2022-10-10	USA	B.1.1.529	8.282941e-05	0.0001240219	5.533451e-05	0.00010775203	6.334411e-05	9.540386e-05	7.187795e-05
2022-10-11	USA	B.1.1.529	7.854503e-05	0.00011823739	5.220272e-05	0.000102284976	5.9868766e-05	9.060526e-05	6.810772e-05
2022-10-05	USA	BA.2	6.492366e-06	1.1985565e-05	3.5697763e-06	9.69623e-06	4.3524888e-06	7.987323e-06	5.261265e-06
2022-10-06	USA	BA.2	5.892659e-06	1.0986003e-05	3.2203204e-06	8.849357e-06	3.9272227e-06	7.2674056e-06	4.7603e-06
2022-10-07	USA	BA.2	5.343526e-06	1.003347e-05	2.9002065e-06	8.087308e-06	3.5452545e-06	6.6206535e-06	4.2999472e-06
2022-10-08	USA	BA.2	4.843824e-06	9.143949e-06	2.6052091e-06	7.373607e-06	3.1942898e-06	6.012255e-06	3.8837966e-06
2022-10-09	USA	BA.2	4.3858636e-06	8.329027e-06	2.346525e-06	6.7108144e-06	2.8726743e-06	5.4658353e-06	3.5058258e-06
2022-10-10	USA	BA.2	3.9619363e-06	7.630227e-06	2.103436e-06	6.1028663e-06	2.5794873e-06	4.9671403e-06	3.1600857e-06
2022-10-11	USA	BA.2	3.5793187e-06	6.9453877e-06	1.8779721e-06	5.536868e-06	2.3204295e-06	4.501369e-06	2.8431716e-06
2022-10-05	USA	BA.2.12	4.552716e-07	1.0440197e-06	2.0177447e-07	7.708775e-07	2.6862378e-07	6.052868e-07	3.4618904e-07
2022-10-06	USA	BA.2.12	4.1108947e-07	9.4835826e-07	1.8035155e-07	6.994824e-07	2.4151805e-07	5.483889e-07	3.1140567e-07
2022-10-07	USA	BA.2.12	3.708725e-07	8.6069525e-07	1.610562e-07	6.3370186e-07	2.1703207e-07	4.9623213e-07	2.8023965e-07
2022-10-08	USA	BA.2.12	3.3442564e-07	7.8042376e-07	1.4370156e-07	5.7472346e-07	1.9467585e-07	4.4897658e-07	2.519059e-07
2022-10-09	USA	BA.2.12	3.0124662e-07	7.080011e-07	1.281359e-07	5.196118e-07	1.7443375e-07	4.05616e-07	2.2622298e-07
2022-10-10	USA	BA.2.12	2.7098264e-07	6.4335023e-07	1.14449016e-07	4.6953892e-07	1.5627036e-07	3.661563e-07	2.0290399e-07
2022-10-11	USA	BA.2.12	2.4358167e-07	5.840072e-07	1.0219052e-07	4.2427857e-07	1.4009157e-07	3.2971866e-07	1.8197795e-07
2022-10-05	USA	BA.2.12.1	0.00010529483	0.0001314185	8.3672996e-05	0.00012170276	9.14086e-05	0.000113782284	9.788691e-05
2022-10-06	USA	BA.2.12.1	9.580073e-05	0.00011996307	7.583899e-05	0.0001109507	8.284741e-05	0.00010365098	8.888466e-05
