date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	median_freq
2022-09-16	USA	BA.2	nan	nan	nan	nan	nan	nan	nan	0.008598965
2022-09-17	USA	BA.2	0.06422043	0.06566069	0.06287477	0.06514444	0.06333351	0.06474018	0.06374717	0.008615371
2022-09-18	USA	BA.2	-0.03551054	-0.012492355	-0.057498835	-0.020621968	-0.049933147	-0.0271945	-0.043168545	0.008889309
2022-09-19	USA	BA.2	-0.06327915	-0.034216635	-0.09275689	-0.044208907	-0.08302021	-0.05287075	-0.07379341	0.009332034
2022-09-20	USA	BA.2	0.005534172	0.018113568	-0.008122921	0.014185237	-0.0030415535	0.010171413	0.0010499954	0.009591021
2022-09-21	USA	BA.2	0.013118744	0.023226809	0.0026849986	0.019999791	0.006368446	0.01677847	0.009646177	0.00979217
2022-09-22	USA	BA.2	-0.0120482445	0.0009187001	-0.025351238	-0.0031106027	-0.020493697	-0.0072677135	-0.016422749	0.010075034
2022-09-23	USA	BA.2	-0.014473915	-0.0006405574	-0.028891753	-0.0049608247	-0.023588467	-0.009407282	-0.019189596	0.010407463
2022-09-24	USA	BA.2	-0.0019845963	0.010442169	-0.015101528	0.0062569566	-0.010191441	0.002487421	-0.0062704086	0.010715739
2022-09-25	USA	BA.2	0.0012230873	0.012891866	-0.010825301	0.008950424	-0.0063095093	0.005257368	-0.002887249	0.011007078
2022-09-26	USA	BA.2	-0.0021586418	0.009134316	-0.013968324	0.005515001	-0.009385777	0.0018186569	-0.006136179	0.01131958
2022-09-27	USA	BA.2	-0.0019741058	0.009161068	-0.013355136	0.005566978	-0.008996582	0.00192976	-0.0057508945	0.011651324
2022-09-28	USA	BA.2	0.0011510849	0.011782471	-0.009726072	0.008187956	-0.005749607	0.0048179626	-0.0025055408	0.011979625
2022-09-29	USA	BA.2	0.0026750565	0.012866998	-0.00731802	0.00940046	-0.003861809	0.0062134266	-0.0008172989	0.012310278
2022-09-30	USA	BA.2	0.002939701	0.012620044	-0.0067852973	0.009324836	-0.0034066201	0.0063176155	-0.0004029274	0.0126458015
2022-10-01	USA	BA.2	0.0037059784	0.013067582	-0.0055825235	0.009889219	-0.0024936676	0.0069344044	0.00049853325	0.01299261
2022-10-02	USA	BA.2	0.0049991608	0.014274484	-0.004263425	0.011114977	-0.0011820794	0.008112907	0.001739502	0.013342319
2022-10-03	USA	BA.2	0.0058965683	0.01489749	-0.0031624318	0.011863324	-7.8487414e-05	0.009057045	0.002824545	0.013699926
2022-10-04	USA	BA.2	0.0065202713	0.015556527	-0.0023499727	0.012481689	0.00054636004	0.009713411	0.0033836365	0.01405812
2022-10-05	USA	BA.2	0.0072546005	0.01624968	-0.0018496991	0.01318798	0.0012842177	0.01028657	0.0040330887	0.014425282
2022-10-06	USA	BA.2	0.008012295	0.016946228	-0.0011085033	0.013911818	0.0019682883	0.011018753	0.0047433376	0.014795413
2022-10-07	USA	BA.2	0.008633614	0.017550563	-0.0004197836	0.014604086	0.0025629043	0.011692762	0.005320072	0.015162844
2022-10-08	USA	BA.2	0.0090518	0.018179229	0.00016593927	0.015117645	0.003074932	0.012173891	0.005843878	0.015535867
2022-10-09	USA	BA.2	0.009516716	0.018639497	0.0007577657	0.015424059	0.0035580634	0.0126206875	0.006378174	0.015913345
2022-10-10	USA	BA.2	0.009911537	0.018990612	0.0012890577	0.015668869	0.004049587	0.013050318	0.006869793	0.016289864
2022-10-11	USA	BA.2	0.010303974	0.019259453	0.0018014192	0.015948007	0.0044163703	0.013427734	0.007260084	0.016665626
2022-10-12	USA	BA.2	0.010577202	0.019339573	0.0022963763	0.016162394	0.0047805784	0.013656378	0.0076682568	0.017048392
2022-10-13	USA	BA.2	0.010829926	0.019532185	0.002694273	0.016385077	0.005252075	0.013847351	0.007943153	0.017431943
2022-10-14	USA	BA.2	0.011070251	0.01963818	0.0030794144	0.016571898	0.0055796625	0.01391077	0.008237362	0.017810056
2022-10-15	USA	BA.2	0.011270523	0.019548584	0.003256464	0.016652675	0.0058675767	0.014012575	0.008463383	0.018184986
2022-10-16	USA	BA.2	0.01139307	0.019476656	0.0034471988	0.01673145	0.00609684	0.01410532	0.008620739	0.018559221
2022-10-17	USA	BA.2	0.01151371	0.019525552	0.0035992146	0.016815852	0.006321716	0.014101982	0.008797407	0.018934712
2022-10-18	USA	BA.2	0.011537552	0.019430952	0.0035808564	0.016816806	0.006474209	0.014200449	0.008831739	0.019305762
2022-10-19	USA	BA.2	0.01155901	0.01941748	0.0036074638	0.016755104	0.0064925193	0.014196634	0.00887537	0.01966707
2022-10-20	USA	BA.2	0.01154232	0.019312408	0.0037039518	0.016617868	0.0065779686	0.014206171	0.008856058	0.020021066
2022-10-21	USA	BA.2	0.011479855	0.019076454	0.0037878752	0.0164772	0.0066075325	0.0141301155	0.008826733	0.020367084
2022-10-22	USA	BA.2	0.0114398	0.018946461	0.0037798642	0.016386699	0.006538868	0.0140144825	0.008756638	0.020708904
2022-10-23	USA	BA.2	0.011339188	0.018748427	0.003816414	0.01618595	0.006526756	0.013854504	0.008739471	0.021031663
2022-10-24	USA	BA.2	0.011220932	0.018510249	0.003939414	0.01602478	0.0064725876	0.01368022	0.008678436	0.021347629
2022-10-25	USA	BA.2	0.011042595	0.01826024	0.003958368	0.01585121	0.0063874247	0.013518572	0.008569479	0.021655936
2022-10-26	USA	BA.2	0.010909557	0.017943455	0.0038574457	0.015539454	0.0063710213	0.013319254	0.008497715	0.021950655
2022-10-27	USA	BA.2	0.010786533	0.017519813	0.0038413524	0.015273475	0.0062878607	0.013118267	0.008410931	0.022230312
2022-10-28	USA	BA.2	0.010623932	0.017299892	0.0037151338	0.014954567	0.00618391	0.012885809	0.0082473755	0.022502113
2022-10-29	USA	BA.2	0.010433674	0.017009549	0.003735423	0.014681816	0.0060199737	0.012655497	0.008047819	0.022757657
2022-10-30	USA	BA.2	0.010222435	0.016700272	0.0036433935	0.014485642	0.005875492	0.012425423	0.007884741	0.02299463
