date	location	variant	median_r_forecast	r_forecast_upper_95	r_forecast_lower_95	r_forecast_upper_80	r_forecast_lower_80	r_forecast_upper_50	r_forecast_lower_50	median_freq
2022-10-02	USA	B.1.1.529	nan	nan	nan	nan	nan	nan	nan	0.00012101613
2022-10-03	USA	B.1.1.529	-0.05799079	-0.034727417	-0.080515824	-0.043399762	-0.072877094	-0.050065637	-0.06550905	0.00011567284
2022-10-04	USA	B.1.1.529	-0.057938874	-0.03525628	-0.08008264	-0.043665364	-0.07263007	-0.05022365	-0.06527656	0.0001105104
2022-10-05	USA	B.1.1.529	-0.057786286	-0.03671849	-0.07892415	-0.044582188	-0.07150619	-0.050623	-0.064801455	0.000105421976
2022-10-06	USA	B.1.1.529	-0.057801783	-0.036464583	-0.07918954	-0.044458073	-0.07174871	-0.050551355	-0.06490104	0.00010058917
2022-10-07	USA	B.1.1.529	-0.05784434	-0.035933126	-0.0796366	-0.044009034	-0.0721092	-0.05037117	-0.06514685	9.584772e-05
2022-10-08	USA	B.1.1.529	-0.057841897	-0.03599955	-0.079599306	-0.04407488	-0.07205795	-0.050388724	-0.06511259	9.126646e-05
2022-10-02	USA	BA.2	nan	nan	nan	nan	nan	nan	nan	7.200029e-06
2022-10-03	USA	BA.2	-0.1087251	-0.08469458	-0.13195705	-0.093523346	-0.12349689	-0.100801975	-0.116615474	6.53204e-06
2022-10-04	USA	BA.2	-0.10866439	-0.08498704	-0.13179336	-0.09372606	-0.12325939	-0.10088846	-0.11648455	5.9218755e-06
2022-10-05	USA	BA.2	-0.10879856	-0.08630205	-0.13020393	-0.094688475	-0.122529626	-0.101376	-0.11598721	5.3657996e-06
2022-10-06	USA	BA.2	-0.10878044	-0.08624948	-0.13040198	-0.0945785	-0.122615114	-0.10131121	-0.11608896	4.8709962e-06
2022-10-07	USA	BA.2	-0.108707726	-0.08563341	-0.1310342	-0.094114415	-0.12307773	-0.101139694	-0.11629227	4.4113985e-06
2022-10-08	USA	BA.2	-0.108704925	-0.0856892	-0.13105753	-0.09412878	-0.12307737	-0.10115343	-0.1162819	3.9933184e-06
2022-10-02	USA	BA.2.12	nan	nan	nan	nan	nan	nan	nan	6.07105e-07
2022-10-03	USA	BA.2.12	-0.111522794	-0.08888564	-0.13386568	-0.09680422	-0.12586895	-0.10380745	-0.11920929	5.498857e-07
2022-10-04	USA	BA.2.12	-0.11151397	-0.08923507	-0.13350268	-0.09698547	-0.12562606	-0.10388887	-0.119001985	4.9814923e-07
2022-10-05	USA	BA.2.12	-0.111430526	-0.09041334	-0.13190566	-0.09786324	-0.12465894	-0.10421705	-0.11845487	4.503621e-07
2022-10-06	USA	BA.2.12	-0.11143768	-0.090259664	-0.1320393	-0.09776869	-0.12473176	-0.10417086	-0.118579626	4.0703964e-07
2022-10-07	USA	BA.2.12	-0.11141384	-0.0897009	-0.1326871	-0.09731648	-0.12506986	-0.10412496	-0.11876571	3.6752937e-07
2022-10-08	USA	BA.2.12	-0.11141336	-0.08972058	-0.13270545	-0.09732098	-0.12506275	-0.104117095	-0.118754506	3.3151e-07
2022-10-02	USA	BA.2.12.1	nan	nan	nan	nan	nan	nan	nan	0.00013953686
2022-10-03	USA	BA.2.12.1	-0.10346073	-0.08159862	-0.12628832	-0.08926752	-0.11822931	-0.09591377	-0.1111843	0.00012738149
2022-10-04	USA	BA.2.12.1	-0.10342139	-0.08206817	-0.12600057	-0.08952199	-0.118011676	-0.095977426	-0.11103374	0.0001161463
2022-10-05	USA	BA.2.12.1	-0.10339522	-0.08346469	-0.12490977	-0.09037377	-0.11698739	-0.0965924	-0.11062342	0.000105897765
2022-10-06	USA	BA.2.12.1	-0.103404164	-0.08327682	-0.12504838	-0.09025555	-0.1171244	-0.09652877	-0.110675216	9.650679e-05
2022-10-07	USA	BA.2.12.1	-0.10342991	-0.08261443	-0.12534118	-0.0899648	-0.117541626	-0.09624323	-0.110832244	8.7833e-05
2022-10-08	USA	BA.2.12.1	-0.10342163	-0.08265955	-0.12533836	-0.08997827	-0.11752871	-0.09624666	-0.11082488	7.989737e-05
2022-10-02	USA	BA.2.13	nan	nan	nan	nan	nan	nan	nan	2.9396227e-07
2022-10-03	USA	BA.2.13	-0.123289466	-0.10116007	-0.14649616	-0.10881012	-0.13832083	-0.11579311	-0.13112485	2.6294757e-07
2022-10-04	USA	BA.2.13	-0.12326455	-0.1014795	-0.14610067	-0.10900259	-0.1380889	-0.115795135	-0.13097346	2.3524527e-07
2022-10-05	USA	BA.2.13	-0.12298298	-0.10256564	-0.1445019	-0.10982013	-0.13685398	-0.11596918	-0.13031375	2.1011417e-07
2022-10-06	USA	BA.2.13	-0.123001814	-0.102386825	-0.14463209	-0.109664634	-0.13691907	-0.11595082	-0.13041961	1.8775091e-07
