date	location	variant	median_I	I_upper_95	I_lower_95	I_upper_80	I_lower_80	I_upper_50	I_lower_50
2021-11-12	King County	probable Omicron	0.0	1.0	0.0	0.0	0.0	0.0	0.0
2021-11-13	King County	probable Omicron	0.0	1.0	0.0	1.0	0.0	0.0	0.0
2021-11-14	King County	probable Omicron	0.0	1.0	0.0	1.0	0.0	0.0	0.0
2021-11-15	King County	probable Omicron	0.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-16	King County	probable Omicron	0.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-17	King County	probable Omicron	1.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-18	King County	probable Omicron	1.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-19	King County	probable Omicron	1.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-20	King County	probable Omicron	1.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-21	King County	probable Omicron	1.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-22	King County	probable Omicron	1.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-23	King County	probable Omicron	1.0	1.0	0.0	1.0	0.0	1.0	0.0
2021-11-24	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-25	King County	probable Omicron	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2021-11-26	King County	probable Omicron	1.0	3.0	0.0	2.0	0.0	1.0	1.0
2021-11-27	King County	probable Omicron	2.0	4.0	1.0	3.0	1.0	2.0	1.0
2021-11-28	King County	probable Omicron	3.0	5.0	1.0	4.0	1.0	3.0	2.0
2021-11-29	King County	probable Omicron	4.0	7.0	2.0	6.0	2.0	4.0	2.0
2021-11-30	King County	probable Omicron	5.0	10.0	2.0	8.0	3.0	6.0	4.0
2021-12-01	King County	probable Omicron	7.0	13.0	3.0	10.0	4.0	8.0	5.0
2021-12-02	King County	probable Omicron	9.0	16.0	4.0	13.0	5.0	10.0	6.0
2021-12-03	King County	probable Omicron	11.0	19.0	5.0	15.0	6.0	12.0	7.0
2021-12-04	King County	probable Omicron	13.0	24.0	6.0	18.0	8.0	15.0	9.0
2021-12-05	King County	probable Omicron	15.0	29.0	7.0	21.0	9.0	17.0	11.0
2021-12-06	King County	probable Omicron	18.0	33.0	9.0	26.0	11.0	20.0	12.0
2021-12-07	King County	probable Omicron	22.0	39.0	10.0	30.0	12.0	24.0	15.0
2021-12-08	King County	probable Omicron	25.0	46.0	11.0	36.0	14.0	28.0	17.0
2021-12-09	King County	probable Omicron	28.0	57.0	11.0	43.0	15.0	32.0	19.0
2021-12-10	King County	probable Omicron	32.0	72.0	11.0	49.0	14.0	36.0	18.0
2021-12-11	King County	probable Omicron	35.0	96.0	8.0	59.0	12.0	40.0	17.0
2021-12-12	King County	probable Omicron	39.0	136.0	6.0	72.0	9.0	41.0	13.0
2021-11-12	King County	other	300.0	491.0	166.0	408.0	202.0	336.0	232.0
2021-11-13	King County	other	363.0	593.0	200.0	493.0	245.0	406.0	280.0
2021-11-14	King County	other	402.0	657.0	222.0	546.0	272.0	449.0	310.0
2021-11-15	King County	other	421.0	685.0	233.0	570.0	284.0	469.0	325.0
2021-11-16	King County	other	409.0	645.0	217.0	541.0	269.0	470.0	333.0
2021-11-17	King County	other	362.0	560.0	203.0	474.0	244.0	405.0	291.0
2021-11-18	King County	other	298.0	453.0	183.0	391.0	213.0	321.0	231.0
2021-11-19	King County	other	239.0	357.0	151.0	304.0	171.0	256.0	186.0
2021-11-20	King County	other	198.0	294.0	121.0	253.0	142.0	219.0	162.0
2021-11-21	King County	other	170.0	256.0	99.0	219.0	117.0	186.0	134.0
2021-11-22	King County	other	151.0	237.0	85.0	197.0	100.0	171.0	119.0
2021-11-23	King County	other	136.0	224.0	70.0	181.0	86.0	154.0	104.0
2021-11-24	King County	other	122.0	213.0	58.0	169.0	74.0	137.0	89.0
2021-11-25	King County	other	115.0	213.0	51.0	165.0	65.0	129.0	79.0
2021-11-26	King County	other	119.0	228.0	54.0	171.0	64.0	131.0	79.0
2021-11-27	King County	other	135.0	249.0	62.0	188.0	71.0	154.0	95.0
2021-11-28	King County	other	163.0	281.0	79.0	223.0	97.0	180.0	116.0
2021-11-29	King County	other	193.0	327.0	108.0	265.0	127.0	221.0	151.0
2021-11-30	King County	other	222.0	358.0	123.0	296.0	149.0	250.0	175.0
2021-12-01	King County	other	242.0	381.0	132.0	321.0	166.0	264.0	184.0
2021-12-02	King County	other	251.0	395.0	138.0	332.0	169.0	283.0	199.0
2021-12-03	King County	other	254.0	403.0	137.0	335.0	170.0	285.0	198.0
2021-12-04	King County	other	253.0	409.0	140.0	328.0	162.0	277.0	189.0
2021-12-05	King County	other	249.0	399.0	136.0	325.0	160.0	278.0	192.0
2021-12-06	King County	other	240.0	393.0	136.0	321.0	159.0	267.0	184.0
2021-12-07	King County	other	232.0	376.0	123.0	306.0	147.0	260.0	178.0
2021-12-08	King County	other	222.0	374.0	114.0	304.0	143.0	258.0	173.0
2021-12-09	King County	other	210.0	377.0	100.0	290.0	117.0	234.0	146.0
2021-12-10	King County	other	195.0	381.0	75.0	289.0	102.0	215.0	123.0
2021-12-11	King County	other	179.0	415.0	56.0	281.0	76.0	199.0	101.0
2021-12-12	King County	other	164.0	468.0	40.0	276.0	53.0	174.0	69.0
