date	location	variant	median_R	median_freq	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50
2021-11-12	King County	probable Delta	0.39313716	0.9996865	0.63137484	0.19280913	0.52010876	0.24718846	0.44066557	0.2979487
2021-11-13	King County	probable Delta	0.47470334	0.9996865	0.69038594	0.3032516	0.61061466	0.36010104	0.52949375	0.40195677
2021-11-14	King County	probable Delta	0.53498375	0.99968636	0.7221872	0.37832943	0.65119594	0.42677078	0.58452606	0.4664103
2021-11-15	King County	probable Delta	0.58167815	0.9996812	0.74392486	0.4392822	0.67767584	0.4804312	0.6177134	0.5159378
2021-11-16	King County	probable Delta	0.62254524	0.9996489	0.78129995	0.46992165	0.71393526	0.5175359	0.66258574	0.55705136
2021-11-17	King County	probable Delta	0.66822076	0.99955773	0.8592107	0.4916674	0.7825496	0.5442321	0.7200581	0.5975857
2021-11-18	King County	probable Delta	0.742159	0.9993981	0.9744583	0.5314351	0.8834303	0.59498405	0.8261254	0.6778039
2021-11-19	King County	probable Delta	0.867217	0.999181	1.1649159	0.6190948	1.050389	0.69933486	0.9291409	0.7448207
2021-11-20	King County	probable Delta	1.0449064	0.99895394	1.4205868	0.74516135	1.256838	0.82237345	1.1486917	0.9167808
2021-11-21	King County	probable Delta	1.2630098	0.99870956	1.6524016	0.95374596	1.4951892	1.0426708	1.3484005	1.1060762
2021-11-22	King County	probable Delta	1.4763356	0.99839246	1.8227702	1.1820862	1.7002233	1.2757444	1.5689957	1.347379
2021-11-23	King County	probable Delta	1.6189461	0.9979258	1.991646	1.2686981	1.8582193	1.3713655	1.7396305	1.4939506
2021-11-24	King County	probable Delta	1.6432616	0.9972418	2.0643625	1.263833	1.8927996	1.3548377	1.7884523	1.5071002
2021-11-25	King County	probable Delta	1.5480034	0.99632055	1.9799578	1.1965355	1.7962711	1.2660365	1.6523355	1.3774519
2021-11-26	King County	probable Delta	1.3834195	0.9951755	1.7510163	1.0534737	1.5988373	1.1338515	1.4759603	1.2388308
2021-11-27	King County	probable Delta	1.2071106	0.99374413	1.5430758	0.8942537	1.4079419	0.99594194	1.3074265	1.0920672
2021-11-28	King County	probable Delta	1.0678234	0.99193645	1.3547401	0.7911234	1.2442919	0.8774779	1.1500072	0.9586251
2021-11-29	King County	probable Delta	0.96335304	0.9895462	1.2190417	0.7525348	1.1279203	0.8234763	1.0202146	0.8646076
2021-11-30	King County	probable Delta	0.87813616	0.98638266	1.0908753	0.6968982	1.0039909	0.75065005	0.94444346	0.8125105
2021-12-01	King County	probable Delta	0.8056528	0.98224604	0.9784087	0.6478157	0.91297525	0.69386685	0.8609899	0.7439134
2021-12-02	King County	probable Delta	0.736927	0.9768145	0.90701544	0.5866094	0.8378319	0.62941504	0.7740072	0.6640351
2021-12-03	King County	probable Delta	0.6798775	0.96967673	0.85153157	0.54045385	0.7815957	0.57858133	0.7205788	0.61965865
2021-12-04	King County	probable Delta	0.64443827	0.9602603	0.81110716	0.5066488	0.7345773	0.5389888	0.6876286	0.58721995
2021-12-05	King County	probable Delta	0.6313982	0.9479134	0.7943282	0.50297874	0.7296119	0.53653884	0.6811806	0.58009726
2021-12-06	King County	probable Delta	0.64816606	0.9317551	0.79801154	0.50280875	0.74150944	0.54949033	0.69168115	0.5897609
