date	location	variant	median_freq	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50
2021-11-12	King County	probable Delta	0.9999748	0.99999756	0.9999187	0.99999446	0.99995357	0.99999094	0.99997157
2021-11-13	King County	probable Delta	0.9999744	0.99999744	0.9999174	0.9999944	0.99995285	0.9999911	0.99997145
2021-11-14	King County	probable Delta	0.999966	0.99999607	0.99989825	0.9999924	0.9999393	0.999988	0.99996287
2021-11-15	King County	probable Delta	0.99994683	0.9999911	0.99985254	0.9999846	0.9999077	0.99997866	0.9999415
2021-11-16	King County	probable Delta	0.9999281	0.9999865	0.99981374	0.99997586	0.9998768	0.9999659	0.99991786
2021-11-17	King County	probable Delta	0.99991494	0.9999799	0.9997848	0.9999697	0.9998575	0.9999613	0.9999063
2021-11-18	King County	probable Delta	0.9999001	0.999978	0.9997598	0.9999638	0.9998377	0.9999484	0.99988616
2021-11-19	King County	probable Delta	0.9998769	0.9999668	0.9997126	0.9999547	0.9998053	0.9999324	0.9998584
2021-11-20	King County	probable Delta	0.99983656	0.9999545	0.999641	0.9999278	0.9997401	0.9999051	0.99981093
2021-11-21	King County	probable Delta	0.99977475	0.9999303	0.9995306	0.9998997	0.9996554	0.9998614	0.9997396
2021-11-22	King County	probable Delta	0.9996855	0.9998888	0.9993756	0.99985343	0.9995362	0.9997898	0.99963045
2021-11-23	King County	probable Delta	0.99957037	0.99983627	0.9991877	0.9997772	0.99937326	0.99970067	0.999495
2021-11-24	King County	probable Delta	0.99941623	0.9997427	0.99892646	0.99968064	0.9991666	0.99957275	0.99930966
2021-11-25	King County	probable Delta	0.9991907	0.9996156	0.99857503	0.9995194	0.9988616	0.99940246	0.99906397
2021-11-26	King County	probable Delta	0.99885374	0.9994497	0.9981037	0.9993013	0.99844223	0.9991577	0.9987097
2021-11-27	King County	probable Delta	0.9983431	0.99913913	0.9973781	0.99895054	0.9978045	0.9987249	0.99812394
2021-11-28	King County	probable Delta	0.99758244	0.9986433	0.9962912	0.99838376	0.99684817	0.9980769	0.9972769
2021-11-29	King County	probable Delta	0.99643755	0.99782366	0.9946917	0.9975219	0.99547774	0.9970508	0.99597573
2021-11-30	King County	probable Delta	0.99474645	0.9967129	0.9925054	0.99621665	0.99347717	0.99556607	0.994139
2021-12-01	King County	probable Delta	0.9921843	0.9947433	0.98911923	0.99426126	0.9905869	0.9932716	0.9913557
2021-12-02	King County	probable Delta	0.9883079	0.9916317	0.98416394	0.99084926	0.98591787	0.98972845	0.98714966
2021-12-03	King County	probable Delta	0.9825095	0.987103	0.97718644	0.9860253	0.9794338	0.98406404	0.9805864
2021-12-04	King County	probable Delta	0.97375596	0.9801682	0.966948	0.97826207	0.9695033	0.97596467	0.9713551
2021-12-05	King County	probable Delta	0.9607993	0.96905684	0.95170534	0.96678907	0.9553022	0.9635686	0.9574705
2021-12-06	King County	probable Delta	0.94201386	0.95253205	0.929906	0.9497548	0.93472534	0.9455715	0.9376647
2021-12-07	King County	probable Delta	0.91540104	0.92932373	0.90000135	0.9258431	0.9064589	0.9202247	0.91008407
2021-12-08	King County	probable Delta	0.87878096	0.896733	0.8594869	0.8916005	0.86722064	0.8857306	0.87290305
2021-12-09	King County	probable Delta	0.8303464	0.8502963	0.8046485	0.8445906	0.81498665	0.839035	0.82337385
2021-12-10	King County	probable Delta	0.76918215	0.7944888	0.74027604	0.7854397	0.7506377	0.7793958	0.7608151
2021-12-11	King County	probable Delta	0.6966597	0.7259007	0.6653129	0.7164471	0.67721677	0.7078567	0.68710536
2021-12-12	King County	probable Delta	0.6155746	0.64579564	0.5816685	0.6355108	0.5929828	0.62594014	0.6036045
2021-12-13	King County	probable Delta	0.5314734	0.5625591	0.49813855	0.55267894	0.5098456	0.5442046	0.52156836
2021-12-14	King County	probable Delta	0.4495905	0.47894114	0.41658393	0.46976185	0.4285289	0.45931074	0.4374829
2021-12-15	King County	probable Delta	0.37452713	0.40351942	0.34468192	0.39256823	0.35411015	0.3834204	0.3631479
2021-12-16	King County	probable Delta	0.30949157	0.3360549	0.28239813	0.32520872	0.29026031	0.31864566	0.30031064
2021-12-17	King County	probable Delta	0.2555031	0.27945858	0.23138747	0.270068	0.2381994	0.2635481	0.24688073
2021-12-18	King County	probable Delta	0.21167153	0.23393969	0.19061428	0.22520201	0.19654123	0.21930847	0.2042997
2021-12-19	King County	probable Delta	0.17724454	0.1969747	0.15814136	0.18942961	0.16358861	0.18379845	0.17026855
2021-12-20	King County	probable Delta	0.15071467	0.16826218	0.13285242	0.16310097	0.13954882	0.1564048	0.14409432
2021-12-21	King County	probable Delta	0.13009799	0.14684573	0.11419919	0.1416912	0.120127164	0.13552794	0.12419225
2021-12-22	King County	probable Delta	0.11440678	0.1293577	0.09882078	0.12534456	0.10535906	0.11938712	0.10881687
2021-12-23	King County	probable Delta	0.10239349	0.11586848	0.0866112	0.1123495	0.09328447	0.10762641	0.09756318
2021-12-24	King County	probable Delta	0.09323485	0.10667275	0.078162625	0.103026435	0.08473933	0.0972975	0.087573394
2021-12-25	King County	probable Delta	0.08622508	0.099733405	0.07160367	0.095409766	0.07752015	0.09131812	0.08177844
2021-12-26	King County	probable Delta	0.08100915	0.09552903	0.06756692	0.08965037	0.07180492	0.08523723	0.075783744
2021-12-27	King County	probable Delta	0.07707102	0.09137692	0.06347344	0.08636403	0.06839754	0.08189238	0.07246128
2021-12-28	King County	probable Delta	0.07390787	0.08898227	0.060784623	0.08349751	0.06528684	0.07907981	0.069557235
2021-12-29	King County	probable Delta	0.07121103	0.086430855	0.058174513	0.08075861	0.062344532	0.076028675	0.06642422
2021-12-30	King County	probable Delta	0.068818286	0.08355552	0.05525473	0.07787347	0.059492107	0.07233386	0.062694564
2021-12-31	King County	probable Delta	0.06654717	0.08068623	0.052776072	0.07545465	0.05727981	0.07185459	0.062268995
2022-01-01	King County	probable Delta	0.06410289	0.078032844	0.050674606	0.07293276	0.05500075	0.06829808	0.05891526
2022-01-02	King County	probable Delta	0.061587848	0.07608017	0.04907694	0.06904516	0.051530883	0.065705426	0.056542642
2022-01-03	King County	probable Delta	0.059004534	0.072867416	0.046457164	0.06693023	0.049913798	0.06342454	0.054439392
2022-01-04	King County	probable Delta	0.056107454	0.069885984	0.04363635	0.06397555	0.047041364	0.061257847	0.05232238
2022-01-05	King County	probable Delta	0.053063467	0.066861816	0.04066714	0.061737377	0.04473688	0.057467423	0.048699707
2022-01-06	King County	probable Delta	0.049728837	0.062915094	0.03633501	0.058790106	0.04161029	0.05304531	0.044159535
2022-01-07	King County	probable Delta	0.04638008	0.06086335	0.033704672	0.055149388	0.037745	0.049691048	0.040596724
2022-01-08	King County	probable Delta	0.04294314	0.05883691	0.03064309	0.05151718	0.033531282	0.046699215	0.037254754
2022-01-09	King County	probable Delta	0.03960371	0.055889416	0.02668665	0.049012434	0.030294182	0.04268806	0.03299821
2022-01-10	King County	probable Delta	0.03618106	0.05297401	0.022589888	0.045345616	0.0258012	0.040373858	0.030252106
2022-01-11	King County	probable Delta	0.033013526	0.050258707	0.018558102	0.042371713	0.022290668	0.03690599	0.0264079
2022-01-12	King County	probable Delta	0.029731106	0.048887856	0.015805725	0.040452305	0.019450296	0.03261873	0.021851651
2022-01-13	King County	probable Delta	0.026762655	0.046442054	0.012029919	0.03776422	0.015843429	0.029439561	0.018365875
2022-01-14	King County	probable Delta	0.024076099	0.04485959	0.009226762	0.034988824	0.012456956	0.027378717	0.016202785
2022-01-15	King County	probable Delta	0.02148004	0.043828033	0.007145579	0.03276563	0.00990629	0.02442144	0.013191724
2022-01-16	King County	probable Delta	0.019275451	0.043351583	0.00521172	0.0303996	0.0074103703	0.022228181	0.011030241
2022-01-17	King County	probable Delta	0.01727532	0.04320358	0.0039192997	0.028308688	0.005258939	0.020263823	0.009131105
2021-11-12	King County	probable Omicron	2.5203628e-05	8.126458e-05	2.4910994e-06	4.6414625e-05	5.504829e-06	2.8387993e-05	8.9896275e-06
2021-11-13	King County	probable Omicron	2.5572057e-05	8.255644e-05	2.513509e-06	4.7095695e-05	5.5742867e-06	2.856217e-05	8.847698e-06
2021-11-14	King County	probable Omicron	3.3976736e-05	0.0001017962	3.907857e-06	6.0425555e-05	7.363483e-06	3.7043366e-05	1.1945097e-05
2021-11-15	King County	probable Omicron	5.314961e-05	0.00014749895	8.8904435e-06	9.2533606e-05	1.5549344e-05	5.8488924e-05	2.136318e-05
2021-11-16	King County	probable Omicron	7.18929e-05	0.00018622534	1.3425417e-05	0.00012281	2.3751994e-05	7.908519e-05	3.110962e-05
2021-11-17	King County	probable Omicron	8.5055195e-05	0.00021519604	2.0081754e-05	0.00014286287	3.058427e-05	9.364764e-05	3.8665086e-05
2021-11-18	King County	probable Omicron	9.989364e-05	0.00024021415	2.1952632e-05	0.00016230054	3.6176178e-05	0.0001138594	5.1656334e-05
2021-11-19	King County	probable Omicron	0.0001230939	0.00028743417	3.3246124e-05	0.00019479336	4.5348148e-05	0.00014162075	6.761324e-05
2021-11-20	King County	probable Omicron	0.00016341134	0.00035901842	4.546834e-05	0.00025986397	7.2151975e-05	0.00018909207	9.4912124e-05
2021-11-21	King County	probable Omicron	0.00022525463	0.00046934484	6.96375e-05	0.00034644606	0.000102121114	0.0002585291	0.0001367897
2021-11-22	King County	probable Omicron	0.00031451878	0.0006243894	0.00011123817	0.0004638257	0.00014656449	0.00036955473	0.0002102005
2021-11-23	King County	probable Omicron	0.00042963293	0.0008122817	0.00016377716	0.0006267621	0.00022279602	0.0005049795	0.00029932478
2021-11-24	King County	probable Omicron	0.0005838097	0.0010735615	0.00025734515	0.0008334116	0.00031934216	0.0006903464	0.00042726347
2021-11-25	King County	probable Omicron	0.00080928265	0.0014249148	0.00038437656	0.0011384006	0.0004806092	0.00093601627	0.0005975531
2021-11-26	King County	probable Omicron	0.0011462483	0.0018962881	0.0005503307	0.0015577471	0.00069865515	0.0012902842	0.00084229826
2021-11-27	King County	probable Omicron	0.0016568553	0.0026218623	0.00086086505	0.0021954186	0.0010495061	0.0018760603	0.001275118
2021-11-28	King County	probable Omicron	0.0024175425	0.0037087689	0.0013567646	0.0031518757	0.0016162366	0.0027230894	0.001923095
2021-11-29	King County	probable Omicron	0.0035623806	0.005308295	0.0021762946	0.0045223054	0.0024780768	0.0040242975	0.0029491386
2021-11-30	King County	probable Omicron	0.0052535734	0.0074946266	0.0032870832	0.0065227766	0.00378339	0.005860987	0.0044339905
2021-12-01	King County	probable Omicron	0.007815757	0.010880745	0.0052567064	0.009413063	0.0057387566	0.008644266	0.006728457
2021-12-02	King County	probable Omicron	0.011692101	0.01583614	0.008368258	0.014082188	0.009150732	0.012850329	0.010271504
2021-12-03	King County	probable Omicron	0.01749055	0.022813598	0.012897033	0.020566208	0.013974748	0.019413577	0.015936013
2021-12-04	King County	probable Omicron	0.02624404	0.033052053	0.019831758	0.030496728	0.021737954	0.028644929	0.024035372
2021-12-05	King County	probable Omicron	0.03920073	0.048294697	0.030943101	0.044697788	0.033210948	0.042529494	0.036431383
2021-12-06	King County	probable Omicron	0.057986096	0.07009403	0.047467895	0.065274656	0.050245214	0.06233533	0.054428488
2021-12-07	King County	probable Omicron	0.084598996	0.099998645	0.070676275	0.09354108	0.074156865	0.08991598	0.079775296
2021-12-08	King County	probable Omicron	0.121219	0.14051314	0.103266984	0.13277933	0.10839952	0.12709695	0.11426937
2021-12-09	King County	probable Omicron	0.16965358	0.1953515	0.14970367	0.18501335	0.1554094	0.17662615	0.16096506
2021-12-10	King County	probable Omicron	0.2308179	0.25972396	0.20551118	0.2493623	0.21456032	0.2391849	0.22060423
2021-12-11	King County	probable Omicron	0.3033403	0.3346871	0.27409926	0.3227832	0.28355289	0.3128946	0.2921433
2021-12-12	King County	probable Omicron	0.3844254	0.4183315	0.35420436	0.40701717	0.36448917	0.39639547	0.3740599
2021-12-13	King County	probable Omicron	0.4685266	0.50186145	0.43744087	0.49015436	0.44732112	0.47843167	0.45579544
2021-12-14	King County	probable Omicron	0.5504095	0.58341604	0.5210589	0.57147104	0.5302382	0.56251705	0.5406893
2021-12-15	King County	probable Omicron	0.6254729	0.6553181	0.5964805	0.6458899	0.6074317	0.6368521	0.6165796
2021-12-16	King County	probable Omicron	0.69050837	0.7176019	0.6639451	0.70969963	0.6747513	0.6996894	0.68135434
2021-12-17	King County	probable Omicron	0.7444969	0.76861256	0.7205415	0.76180065	0.72993195	0.7531193	0.73645186
2021-12-18	King County	probable Omicron	0.78832847	0.8093857	0.76606035	0.80345875	0.7747979	0.7957003	0.7806915
2021-12-19	King County	probable Omicron	0.8227555	0.8418586	0.8030253	0.8364114	0.81057036	0.8297314	0.81620157
2021-12-20	King County	probable Omicron	0.84928536	0.86714756	0.8317378	0.8604511	0.83689904	0.85590565	0.8435952
2021-12-21	King County	probable Omicron	0.869902	0.8858008	0.85315424	0.8798728	0.8583088	0.8758049	0.86446923
2021-12-22	King County	probable Omicron	0.88559324	0.90117925	0.87064236	0.894641	0.8746554	0.8911831	0.88061285
2021-12-23	King County	probable Omicron	0.8976065	0.9133888	0.8841315	0.9067155	0.8876505	0.90243685	0.8923736
2021-12-24	King County	probable Omicron	0.9067651	0.9218374	0.89332724	0.9152607	0.89697355	0.9124266	0.9027025
2021-12-25	King County	probable Omicron	0.9137749	0.92839634	0.9002666	0.92247987	0.90459025	0.91822153	0.90868187
2021-12-26	King County	probable Omicron	0.91899085	0.93243307	0.904471	0.9281951	0.91034967	0.9242163	0.91476274
2021-12-27	King County	probable Omicron	0.922929	0.93652654	0.9086231	0.9316025	0.91363597	0.92753875	0.9181076
2021-12-28	King County	probable Omicron	0.92609215	0.93921536	0.9110178	0.9347132	0.9165025	0.93044275	0.9209202
2021-12-29	King County	probable Omicron	0.92878896	0.9418255	0.9135691	0.93765545	0.9192414	0.9335758	0.9239713
2021-12-30	King County	probable Omicron	0.93118167	0.94474524	0.9164444	0.94050795	0.92212653	0.9373054	0.9276661
2021-12-31	King County	probable Omicron	0.93345284	0.94722396	0.9193137	0.94272023	0.9245454	0.937731	0.9281454
2022-01-01	King County	probable Omicron	0.9358971	0.9493254	0.9219672	0.9449993	0.9270673	0.94108474	0.9317019
2022-01-02	King County	probable Omicron	0.93841213	0.9509231	0.9239198	0.94846916	0.9309548	0.94345737	0.9342946
2022-01-03	King County	probable Omicron	0.94099545	0.9535428	0.9271326	0.95008624	0.9330697	0.9455606	0.9365755
2022-01-04	King County	probable Omicron	0.94389254	0.9563636	0.93011403	0.9529586	0.9360245	0.9476777	0.93874216
2022-01-05	King County	probable Omicron	0.9469365	0.9593329	0.93313825	0.95526314	0.9382626	0.9513003	0.9425326
2022-01-06	King County	probable Omicron	0.9502711	0.96366495	0.9370849	0.9583897	0.9412099	0.95584047	0.9469547
2022-01-07	King County	probable Omicron	0.95361996	0.9662953	0.9391367	0.962255	0.9448506	0.9594033	0.9503089
2022-01-08	King County	probable Omicron	0.9570569	0.9693569	0.9411631	0.9664687	0.9484828	0.96274525	0.9533008
2022-01-09	King County	probable Omicron	0.9603963	0.97331333	0.9441106	0.9697058	0.9509876	0.96700174	0.95731187
2022-01-10	King County	probable Omicron	0.9638189	0.97741014	0.947026	0.9741988	0.9546544	0.9697479	0.9596262
2022-01-11	King County	probable Omicron	0.96698654	0.98144186	0.9497413	0.9777094	0.9576283	0.9735921	0.963094
2022-01-12	King County	probable Omicron	0.9702689	0.9841943	0.95111215	0.9805497	0.9595477	0.97814834	0.96738124
2022-01-13	King County	probable Omicron	0.9732374	0.9879701	0.9535579	0.98415655	0.9622358	0.98163414	0.97056043
2022-01-14	King County	probable Omicron	0.9759239	0.9907732	0.9551404	0.98754305	0.9650111	0.9837972	0.97262126
2022-01-15	King County	probable Omicron	0.9785199	0.9928544	0.956172	0.9900937	0.9672344	0.98680824	0.97557855
2022-01-16	King County	probable Omicron	0.9807246	0.9947883	0.9566484	0.99258965	0.96960044	0.98896974	0.9777718
2022-01-17	King County	probable Omicron	0.98272467	0.9960807	0.95679647	0.9947411	0.9716913	0.9908689	0.97973615
