date	location	variant	median_r	median_freq	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50
2021-11-12	King County	probable Delta	-0.12767239	0.9998895	-0.019277021	-0.27511463	-0.060841594	-0.22720882	-0.10979809	-0.20454612
2021-11-13	King County	probable Delta	-0.12634382	0.9998883	-0.046171967	-0.25342834	-0.07632078	-0.21111079	-0.10388585	-0.17249796
2021-11-14	King County	probable Delta	-0.12209325	0.9998637	-0.047461808	-0.22454023	-0.07456578	-0.18792477	-0.09803534	-0.15727478
2021-11-15	King County	probable Delta	-0.115462445	0.9998066	-0.048058283	-0.20901889	-0.076225735	-0.18422838	-0.09333978	-0.1467806
2021-11-16	King County	probable Delta	-0.10644315	0.9997562	-0.04134841	-0.18270086	-0.06439794	-0.15674815	-0.084879585	-0.13379662
2021-11-17	King County	probable Delta	-0.09571326	0.99972653	-0.039312087	-0.16449088	-0.06201339	-0.14437392	-0.07431532	-0.116949506
2021-11-18	King County	probable Delta	-0.08269203	0.99969876	-0.033383247	-0.14315219	-0.05131682	-0.12276326	-0.06735719	-0.10508778
2021-11-19	King County	probable Delta	-0.068071336	0.9996519	-0.023510747	-0.12211551	-0.039013542	-0.10292296	-0.056429576	-0.0908249
2021-11-20	King County	probable Delta	-0.051708814	0.99958026	-0.008140255	-0.09823146	-0.025217049	-0.08636136	-0.042492542	-0.07502295
2021-11-21	King County	probable Delta	-0.03453808	0.9994731	0.0067937314	-0.07882902	-0.009089376	-0.06558031	-0.023369959	-0.0533213
2021-11-22	King County	probable Delta	-0.016859647	0.99934065	0.02045128	-0.05895663	0.006590357	-0.043747216	-0.0062058643	-0.033283036
2021-11-23	King County	probable Delta	0.0003713362	0.99917746	0.032644633	-0.037330847	0.02167964	-0.021811206	0.009474975	-0.013222889
2021-11-24	King County	probable Delta	0.015957374	0.99898875	0.045393515	-0.014487399	0.03424138	-0.0034696574	0.024753861	0.005531188
2021-11-25	King County	probable Delta	0.029416222	0.9987451	0.05794935	0.0028182205	0.048022132	0.01239476	0.03820287	0.019439818
2021-11-26	King County	probable Delta	0.039697316	0.99840677	0.06738695	0.0069358717	0.05778114	0.018874453	0.049077857	0.028568296
2021-11-27	King County	probable Delta	0.045420073	0.99793255	0.07762894	0.009812375	0.066987574	0.022618309	0.055571325	0.032196816
2021-11-28	King County	probable Delta	0.047074117	0.9972606	0.08209801	0.007924462	0.067809924	0.01854812	0.05695584	0.03064409
2021-11-29	King County	probable Delta	0.041922875	0.9963295	0.078322925	0.0026750963	0.06429526	0.013339823	0.054708153	0.028206551
2021-11-30	King County	probable Delta	0.03212476	0.99498534	0.06696643	-0.007663051	0.05331183	0.0033403044	0.04139661	0.015121253
2021-12-01	King County	probable Delta	0.017857092	0.99303067	0.05217618	-0.018725796	0.038052123	-0.009271724	0.02698237	0.002366961
2021-12-02	King County	probable Delta	0.0016749476	0.9900687	0.035372354	-0.031360816	0.021883998	-0.022253368	0.011490519	-0.011660448
2021-12-03	King County	probable Delta	-0.015247655	0.98554647	0.01674259	-0.0484231	0.004777941	-0.037503727	-0.0045520654	-0.026565293
2021-12-04	King County	probable Delta	-0.032224238	0.978626	-0.0011265505	-0.06665509	-0.012583133	-0.0543153	-0.022613637	-0.04447661
