date	location	variant	median_R_forecast	R_forecast_upper_95	R_forecast_lower_95	R_forecast_upper_80	R_forecast_lower_80	R_forecast_upper_50	R_forecast_lower_50	median_freq
2022-12-24	Australia	clade 21L	0.8536107	0.9559512	0.75740325	0.9211211	0.78898567	0.8877471	0.8195499	0.004024083
2022-12-25	Australia	clade 21L	0.8536107	0.9559512	0.75740325	0.9211211	0.78898567	0.8877471	0.8195499	0.0038427543
2022-12-26	Australia	clade 21L	0.8536107	0.9559512	0.75740325	0.9211211	0.78898567	0.8877471	0.8195499	0.0036681506
2022-12-27	Australia	clade 21L	0.8536107	0.9559512	0.75740325	0.9211211	0.78898567	0.8877471	0.8195499	0.0035007428
2022-12-28	Australia	clade 21L	0.8536107	0.9559512	0.75740325	0.9211211	0.78898567	0.8877471	0.8195499	0.0033387095
2022-12-29	Australia	clade 21L	0.8536107	0.9559512	0.75740325	0.9211211	0.78898567	0.8877471	0.8195499	0.0031879814
2022-12-30	Australia	clade 21L	0.8536107	0.9559512	0.75740325	0.9211211	0.78898567	0.8877471	0.8195499	0.0030426993
2022-12-24	Australia	clade 22A	0.77065045	0.8619199	0.6860967	0.8310219	0.7164742	0.8018348	0.7409142	0.0018716331
2022-12-25	Australia	clade 22A	0.77065045	0.8619199	0.6860967	0.8310219	0.7164742	0.8018348	0.7409142	0.001742213
2022-12-26	Australia	clade 22A	0.77065045	0.8619199	0.6860967	0.8310219	0.7164742	0.8018348	0.7409142	0.00162227
2022-12-27	Australia	clade 22A	0.77065045	0.8619199	0.6860967	0.8310219	0.7164742	0.8018348	0.7409142	0.0015096839
2022-12-28	Australia	clade 22A	0.77065045	0.8619199	0.6860967	0.8310219	0.7164742	0.8018348	0.7409142	0.0014057832
2022-12-29	Australia	clade 22A	0.77065045	0.8619199	0.6860967	0.8310219	0.7164742	0.8018348	0.7409142	0.0013078005
2022-12-30	Australia	clade 22A	0.77065045	0.8619199	0.6860967	0.8310219	0.7164742	0.8018348	0.7409142	0.0012170896
2022-12-24	Australia	clade 22B	0.7918637	0.8838391	0.70445406	0.8538149	0.7357462	0.8233399	0.76137936	0.039203532
2022-12-25	Australia	clade 22B	0.7918637	0.8838391	0.70445406	0.8538149	0.7357462	0.8233399	0.76137936	0.03676898
2022-12-26	Australia	clade 22B	0.7918637	0.8838391	0.70445406	0.8538149	0.7357462	0.8233399	0.76137936	0.034469105
2022-12-27	Australia	clade 22B	0.7918637	0.8838391	0.70445406	0.8538149	0.7357462	0.8233399	0.76137936	0.032309465
2022-12-28	Australia	clade 22B	0.7918637	0.8838391	0.70445406	0.8538149	0.7357462	0.8233399	0.76137936	0.030284945
2022-12-29	Australia	clade 22B	0.7918637	0.8838391	0.70445406	0.8538149	0.7357462	0.8233399	0.76137936	0.028375957
2022-12-30	Australia	clade 22B	0.7918637	0.8838391	0.70445406	0.8538149	0.7357462	0.8233399	0.76137936	0.026570339
2022-12-24	Australia	clade 22C	0.6094514	0.70337856	0.52665824	0.66725075	0.5548113	0.640087	0.5816393	3.2597413e-08
2022-12-25	Australia	clade 22C	0.6094514	0.70337856	0.52665824	0.66725075	0.5548113	0.640087	0.5816393	2.8661784e-08
